,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Oliver A Chadwick. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
30,400,pub.1052414458,10.1073/pnas.1515478113,26755592,PMC4743810,"Pedothem carbonates reveal anomalous North American atmospheric circulation 70,000–55,000 years ago",Proceedings of the National Academy of Sciences,,,2016-01-26,2016,113,4,919-924,All OA; Gold,Article,"Oerter, Erik J.; Sharp, Warren D.; Oster, Jessica L.; Ebeling, Angela; Valley, John W.; Kozdon, Reinhard; Orland, Ian J.; Hellstrom, John; Woodhead, Jon D.; Hergt, Janet M.; Chadwick, Oliver A.; Amundson, Ronald",,"Oerter, Erik J. (University of California, Berkeley); Sharp, Warren D. (Berkeley Geochronology Center); Oster, Jessica L. (Vanderbilt University); Ebeling, Angela (Wisconsin Lutheran College); Valley, John W. (University of Wisconsin–Madison); Kozdon, Reinhard (University of Wisconsin–Madison); Orland, Ian J. (University of Wisconsin–Madison; University of Minnesota); Hellstrom, John (University of Melbourne); Woodhead, Jon D. (University of Melbourne); Hergt, Janet M. (University of Melbourne); Chadwick, Oliver A. (University of California, Santa Barbara); Amundson, Ronald (University of California, Berkeley)",14,11,0.09,3.45,https://www.pnas.org/content/pnas/113/4/919.full.pdf,https://app.dimensions.ai/details/publication/pub.1052414458,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
31,100,pub.1025654608,10.1016/j.soilbio.2015.10.010,,,"Light, earthworms, and soil resources as predictors of diversity of 10 soil invertebrate groups across monocultures of 14 tree species",Soil Biology and Biochemistry,,,2016-01,2016,92,Oecologia 32 1978,184-198,"All OA; Green, Published",Article,"Mueller, Kevin E.; Eisenhauer, Nico; Reich, Peter B.; Hobbie, Sarah E.; Chadwick, Oliver A.; Chorover, Jon; Dobies, Tomasz; Hale, Cynthia M.; Jagodziński, Andrzej M.; Kałucka, Izabela; Kasprowicz, Marek; Kieliszewska-Rokicka, Barbara; Modrzyński, Jerzy; Rożen, Anna; Skorupski, Maciej; Sobczyk, Łukasz; Stasińska, Małgorzata; Trocha, Lidia K.; Weiner, January; Wierzbicka, Anna; Oleksyn, Jacek","Mueller, Kevin E.","Mueller, Kevin E. (Agricultural Research Service); Eisenhauer, Nico (German Center for Integrative Biodiversity Research; Leipzig University; University of Minnesota); Reich, Peter B. (University of Minnesota; Western Sydney University); Hobbie, Sarah E. (University of Minnesota); Chadwick, Oliver A. (University of California, Santa Barbara); Chorover, Jon (University of Arizona); Dobies, Tomasz (University of Life Sciences in Poznań); Hale, Cynthia M. (University of Minnesota, Duluth); Jagodziński, Andrzej M. (University of Life Sciences in Poznań; Institute of Dendrology); Kałucka, Izabela (University of Łódź); Kasprowicz, Marek (Adam Mickiewicz University in Poznań); Kieliszewska-Rokicka, Barbara (Kazimierz Wielki University in Bydgoszcz); Modrzyński, Jerzy (University of Life Sciences in Poznań); Rożen, Anna (Jagiellonian University); Skorupski, Maciej (University of Life Sciences in Poznań); Sobczyk, Łukasz (Jagiellonian University); Stasińska, Małgorzata (University of Szczecin); Trocha, Lidia K. (Institute of Dendrology); Weiner, January (Jagiellonian University); Wierzbicka, Anna (University of Life Sciences in Poznań); Oleksyn, Jacek (University of Minnesota; Institute of Dendrology)",39,29,,11.35,https://escholarship.org/content/qt1nb2907j/qt1nb2907j.pdf?t=nybcbb,https://app.dimensions.ai/details/publication/pub.1025654608,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
32,200,pub.1108096276,10.1130/abs/2016am-286399,,,STABLE VS. EVOLVING HILLSLOPES: SETTING THE GEOMORPHIC STAGE FOR INTERPRETING SOILS,Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Bingham, Nina L.; Chadwick, Oliver A.; Bookhagen, Bodo",,"Bingham, Nina L. (); Chadwick, Oliver A. (); Bookhagen, Bodo ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108096276,,,,,,
33,200,pub.1108095151,10.1130/abs/2016am-283950,,,EQUILIBRIUM LANDSCAPES: WHERE SOIL PRODUCTION FUNCTIONS FAIL,Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Heimsath, Arjun M.; Chadwick, Oliver A.; Roering, Joshua J.; Levick, Shaun",,"Heimsath, Arjun M. (); Chadwick, Oliver A. (); Roering, Joshua J. (); Levick, Shaun ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108095151,,,,,,
34,100,pub.1047305037,10.1016/j.jasrep.2015.07.001,,,"Soil nutrients and intensive dryland agricultural production in Kaupō, Maui, Hawaiian Islands",Journal of Archaeological Science Reports,,,2015-09,2015,3,Hawaii. Archaeol. 9 2004,429-436,Closed,Article,"Baer, Alexander; Chadwick, Oliver; Kirch, Patrick V.","Kirch, Patrick V.","Baer, Alexander (University of California, Berkeley); Chadwick, Oliver (University of California, Santa Barbara); Kirch, Patrick V. (University of California, Berkeley)",3,2,,0.69,,https://app.dimensions.ai/details/publication/pub.1047305037,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
35,400,pub.1028941297,10.1371/journal.pone.0123995,26066334,PMC4467043,Primary Succession on a Hawaiian Dryland Chronosequence,PLoS ONE,,Ecosystem; Hawaii,2015-06-12,2015,10,6,e0123995,All OA; Gold,Article,"Kinney, Kealohanuiopuna M.; Asner, Gregory P.; Cordell, Susan; Chadwick, Oliver A.; Heckman, Katherine; Hotchkiss, Sara; Jeraj, Marjeta; Kennedy-Bowdoin, Ty; Knapp, David E.; Questad, Erin J.; Thaxton, Jarrod M.; Trusdell, Frank; Kellner, James R.",,"Kinney, Kealohanuiopuna M. (Brown University); Asner, Gregory P. (Department of Plant Biology); Cordell, Susan (); Chadwick, Oliver A. (University of California, Santa Barbara); Heckman, Katherine (United States Department of Agriculture); Hotchkiss, Sara (University of Wisconsin–Madison); Jeraj, Marjeta (University of Wisconsin–Madison); Kennedy-Bowdoin, Ty (Department of Plant Biology); Knapp, David E. (Department of Plant Biology); Questad, Erin J. (New York University); Thaxton, Jarrod M. (Eastern Kentucky University); Trusdell, Frank (United States Geological Survey); Kellner, James R. (Brown University)",1,1,0,0.2,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0123995&type=printable,https://app.dimensions.ai/details/publication/pub.1028941297,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
36,400,pub.1029499113,10.1016/j.scitotenv.2015.02.001,25666285,,Steep spatial gradients of volcanic and marine sulfur in Hawaiian rainfall and ecosystems,The Science of The Total Environment,,,2015-05,2015,514,J. Geophys. Res. 113 2008,250-260,"All OA; Green, Accepted & Submitted",Article,"Bern, Carleton R.; Chadwick, Oliver A.; Kendall, Carol; Pribil, Michael J.","Bern, Carleton R.","Bern, Carleton R. (United States Geological Survey; University of California, Santa Barbara); Chadwick, Oliver A. (University of California, Santa Barbara); Kendall, Carol (United States Geological Survey); Pribil, Michael J. (United States Geological Survey)",8,4,0.19,1.78,https://escholarship.org/content/qt4f7889p8/qt4f7889p8.pdf?t=nupqjd,https://app.dimensions.ai/details/publication/pub.1029499113,0602 Ecology; 0502 Environmental Science and Management; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences
37,100,pub.1008525501,10.1007/s10533-015-0083-6,,,"Effects of litter traits, soil biota, and soil chemistry on soil carbon stocks at a common garden with 14 tree species",Biogeochemistry,,,2015-04,2015,123,3,313-327,"All OA; Green, Accepted & Submitted",Article,"Mueller, Kevin E.; Hobbie, Sarah E.; Chorover, Jon; Reich, Peter B.; Eisenhauer, Nico; Castellano, Michael J.; Chadwick, Oliver A.; Dobies, Tomasz; Hale, Cynthia M.; Jagodziński, Andrzej M.; Kałucka, Izabela; Kieliszewska-Rokicka, Barbara; Modrzyński, Jerzy; Rożen, Anna; Skorupski, Maciej; Sobczyk, Łukasz; Stasińska, Małgorzata; Trocha, Lidia K.; Weiner, January; Wierzbicka, Anna; Oleksyn, Jacek","Mueller, Kevin E.","Mueller, Kevin E. (University of Minnesota); Hobbie, Sarah E. (University of Minnesota); Chorover, Jon (University of Arizona); Reich, Peter B. (University of Minnesota; Western Sydney University); Eisenhauer, Nico (Leipzig University); Castellano, Michael J. (Iowa State University); Chadwick, Oliver A. (University of California, Santa Barbara); Dobies, Tomasz (University of Life Sciences in Poznań); Hale, Cynthia M. (University of Minnesota, Duluth); Jagodziński, Andrzej M. (University of Life Sciences in Poznań; Institute of Dendrology); Kałucka, Izabela (University of Łódź); Kieliszewska-Rokicka, Barbara (Kazimierz Wielki University in Bydgoszcz); Modrzyński, Jerzy (University of Life Sciences in Poznań); Rożen, Anna (Jagiellonian University); Skorupski, Maciej (University of Life Sciences in Poznań); Sobczyk, Łukasz (Jagiellonian University); Stasińska, Małgorzata (University of Szczecin); Trocha, Lidia K. (Institute of Dendrology); Weiner, January (Jagiellonian University); Wierzbicka, Anna (University of Life Sciences in Poznań); Oleksyn, Jacek (University of Minnesota; Institute of Dendrology)",36,18,,8.24,https://escholarship.org/content/qt5gn0t6fx/qt5gn0t6fx.pdf?t=nupqny,https://app.dimensions.ai/details/publication/pub.1008525501,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
38,100,pub.1008685843,10.1016/j.gca.2014.12.008,,,Quantification of colloidal and aqueous element transfer in soils: The dual-phase mass balance model,Geochimica et Cosmochimica Acta,,,2015-02,2015,151,Soil Sci. Soc. Am. Proc. 24 1960,1-18,"All OA; Green, Accepted & Submitted",Article,"Bern, Carleton R.; Thompson, Aaron; Chadwick, Oliver A.","Bern, Carleton R.","Bern, Carleton R. (Denver Federal Center); Thompson, Aaron (University of Georgia); Chadwick, Oliver A. (University of California, Santa Barbara)",19,7,,3.54,https://escholarship.org/content/qt4801646x/qt4801646x.pdf?t=nupqr8,https://app.dimensions.ai/details/publication/pub.1008685843,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
39,400,pub.1009992711,10.1073/pnas.1420712112,25561523,PMC4313829,Variation in Rapa Nui (Easter Island) land use indicates production and population peaks prior to European contact,Proceedings of the National Academy of Sciences,,"Agriculture; Anthropology, Cultural; Female; Glass; History, 15th Century; History, 16th Century; History, 17th Century; History, 18th Century; Humans; Male; Polynesia; Population Dynamics",2015-01-27,2015,112,4,1025-1030,All OA; Gold,Article,"Stevenson, Christopher M.; Puleston, Cedric O.; Vitousek, Peter M.; Chadwick, Oliver A.; Haoa, Sonia; Ladefoged, Thegn N.",,"Stevenson, Christopher M. (Virginia Commonwealth University); Puleston, Cedric O. (University of California, Davis); Vitousek, Peter M. (Stanford University); Chadwick, Oliver A. (University of California, Santa Barbara); Haoa, Sonia (); Ladefoged, Thegn N. (University of Auckland)",34,21,0.38,8.35,http://www.pnas.org/content/112/4/1025.full.pdf,https://app.dimensions.ai/details/publication/pub.1009992711,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
40,100,pub.1000040068,10.1016/j.proeps.2015.07.074,,,Evidence for Nutrient Biolifting in Hawaiian Climosequence Soils as Revealed by Alkaline Earth Metal Stable Isotope Systematics,Procedia Earth and Planetary Science,,,2015,2015,13,,312-315,All OA; Gold,Article,"Bullen, Thomas; Chadwick, Oliver","Bullen, Thomas","Bullen, Thomas (United States Geological Survey); Chadwick, Oliver (University of California, Santa Barbara)",1,0,,0.23,https://doi.org/10.1016/j.proeps.2015.07.074,https://app.dimensions.ai/details/publication/pub.1000040068,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
41,100,pub.1035914932,10.1016/j.gca.2014.08.030,,,Variation of lithium isotope geochemistry during basalt weathering and secondary mineral transformations in Hawaii,Geochimica et Cosmochimica Acta,,,2014-11,2014,145,Geochim. Cosmochim. Acta 74 2010,103-115,"All OA; Green, Published",Article,"Ryu, Jong-Sik; Vigier, Nathalie; Lee, Sin-Woo; Lee, Kwang-Sik; Chadwick, Oliver A.","Ryu, Jong-Sik","Ryu, Jong-Sik (Korea Basic Science Institute); Vigier, Nathalie (Villefranche Oceanographic Laboratory); Lee, Sin-Woo (Korea Basic Science Institute); Lee, Kwang-Sik (Korea Basic Science Institute); Chadwick, Oliver A. (University of California, Santa Barbara)",19,7,,2.96,https://escholarship.org/content/qt2rc8v73c/qt2rc8v73c.pdf?t=nupqx7,https://app.dimensions.ai/details/publication/pub.1035914932,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
42,100,pub.1028714149,10.1016/j.geoderma.2014.01.012,,,Mobilization of colloidal carbon during iron reduction in basaltic soils,Geoderma,,,2014-06,2014,221,,139-145,"All OA; Green, Published",Article,"Buettner, Shea W.; Kramer, Marc G.; Chadwick, Oliver A.; Thompson, Aaron","Thompson, Aaron","Buettner, Shea W. (University of Georgia); Kramer, Marc G. (University of Florida); Chadwick, Oliver A. (University of California, Santa Barbara); Thompson, Aaron (University of Georgia)",37,15,,7.29,https://escholarship.org/content/qt9x05j86w/qt9x05j86w.pdf?t=nupt14,https://app.dimensions.ai/details/publication/pub.1028714149,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
43,100,pub.1011167231,10.1111/jvs.12112,,,Resilience against exotic species invasion in a tropical montane forest,Journal of Vegetation Science,,,2014-05,2014,25,3,734-749,"All OA; Green, Published",Article,"Tweiten, Michael A.; Hotchkiss, Sara C.; Vitousek, Peter M.; Kellner, James R.; Chadwick, Oliver A.; Asner, Gregory P.",,"Tweiten, Michael A. (University of Wisconsin–Madison); Hotchkiss, Sara C. (University of Wisconsin–Madison); Vitousek, Peter M. (Stanford University); Kellner, James R. (University of Maryland, College Park); Chadwick, Oliver A. (University of California, Santa Barbara); Asner, Gregory P. (Department of Plant Biology)",2,0,,0.33,https://escholarship.org/content/qt4447z261/qt4447z261.pdf?t=nupr1k,https://app.dimensions.ai/details/publication/pub.1011167231,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
44,100,pub.1037829348,10.1890/es13-00328.1,,,"Indicators of soil fertility and opportunities for precontact agriculture in Kona, Hawai'i",Ecosphere,,,2014-04,2014,5,4,1-20,All OA; Gold,Article,"Lincoln, Noa; Chadwick, Oliver; Vitousek, Peter",,"Lincoln, Noa (Stanford University); Chadwick, Oliver (University of California, Santa Barbara); Vitousek, Peter (Stanford University)",15,9,,2.95,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES13-00328.1,https://app.dimensions.ai/details/publication/pub.1037829348,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
45,100,pub.1046228970,10.1002/esp.3505,,,Depth and character of rock weathering across a basaltic‐hosted climosequence on Hawai‘i,Earth Surface Processes and Landforms,,,2014-03-15,2014,39,3,381-398,"All OA; Green, Published",Article,"Goodfellow, Bradley W.; Chadwick, Oliver A.; Hilley, George E.",,"Goodfellow, Bradley W. (Stanford University; Stockholm University); Chadwick, Oliver A. (University of California, Santa Barbara); Hilley, George E. (Stanford University)",18,7,,2.79,https://escholarship.org/content/qt6tv0w0vm/qt6tv0w0vm.pdf?t=nupqz7,https://app.dimensions.ai/details/publication/pub.1046228970,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
46,100,pub.1009247609,10.1016/j.proeps.2014.08.031,,,Magnesium Isotope Fractionation During Arid Pedogenesis on the Island of Hawaii (USA),Procedia Earth and Planetary Science,,,2014,2014,10,,243-248,All OA; Gold,Article,"Trostle, Kyle; Derry, Louis; Vigier, Nathalie; Chadwick, Oliver","Trostle, Kyle","Trostle, Kyle (Cornell University); Derry, Louis (Cornell University); Vigier, Nathalie (French National Centre for Scientific Research); Chadwick, Oliver (University of California, Santa Barbara)",8,4,,1.58,https://doi.org/10.1016/j.proeps.2014.08.031,https://app.dimensions.ai/details/publication/pub.1009247609,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
47,200,pub.1052900368,10.12952/journal.elementa.000011,,,Pacific islands in the Anthropocene,Elementa: Science of the Anthropocene,,,2013-12-04,2013,1,,000011,All OA; Gold,Article,"Vitousek, Peter; Chadwick, Oliver",,"Vitousek, Peter (Stanford University); Chadwick, Oliver (University of California, Santa Barbara)",2,2,,,http://www.elementascience.org/articles/10.12952/journal.elementa.000011/galley/210/download/,https://app.dimensions.ai/details/publication/pub.1052900368,,,,,,
48,100,pub.1033749371,10.1007/s10021-013-9690-z,,,Pedogenic Thresholds and Soil Process Domains in Basalt-Derived Soils,Ecosystems,,,2013-12,2013,16,8,1379-1395,All OA; Gold,Article,"Vitousek, Peter M.; Chadwick, Oliver A.","Vitousek, Peter M.","Vitousek, Peter M. (Stanford University); Chadwick, Oliver A. (University of California, Santa Barbara)",49,23,,9,https://link.springer.com/content/pdf/10.1007%2Fs10021-013-9690-z.pdf,https://app.dimensions.ai/details/publication/pub.1033749371,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
49,100,pub.1018025449,10.1130/g34721.1,,,Shaping post-orogenic landscapes by climate and chemical weathering,Geology,,,2013-11,2013,41,11,1171-1174,"All OA; Green, Accepted & Submitted",Article,"Chadwick, Oliver A.; Roering, Josh J.; Heimsath, Arjun M.; Levick, Shaun R.; Asner, Gregory P.; Khomo, Lesego",,"Chadwick, Oliver A. (University of California, Santa Barbara); Roering, Josh J. (University of Oregon); Heimsath, Arjun M. (Arizona State University); Levick, Shaun R. (); Asner, Gregory P. (Department of Plant Biology); Khomo, Lesego (University of Cape Town)",31,7,,4.64,https://escholarship.org/content/qt69t4c291/qt69t4c291.pdf?t=nupr51,https://app.dimensions.ai/details/publication/pub.1018025449,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
50,200,pub.1022162628,10.1890/13.wb.016,,,What's in a name? The importance of soil taxonomy for ecology and biogeochemistry,Frontiers in Ecology and the Environment,,,2013-10,2013,11,8,405-406,Closed,Article,"Schimel, Joshua; Chadwick, Oliver",,"Schimel, Joshua (University of California, Santa Barbara); Chadwick, Oliver (University of California, Santa Barbara)",4,1,,,,https://app.dimensions.ai/details/publication/pub.1022162628,,,,,,
51,100,pub.1024854448,10.1016/j.gca.2013.06.003,,,Fractionation of yttrium and holmium during basaltic soil weathering,Geochimica et Cosmochimica Acta,,,2013-10,2013,119,Soil Sci. 167 2002,18-30,"All OA; Green, Published",Article,"Thompson, Aaron; Amistadi, Mary Kay; Chadwick, Oliver A.; Chorover, Jon","Thompson, Aaron","Thompson, Aaron (University of Georgia); Amistadi, Mary Kay (University of Arizona); Chadwick, Oliver A. (University of California, Santa Barbara); Chorover, Jon (University of Arizona)",19,10,,2.75,https://escholarship.org/content/qt60c2615p/qt60c2615p.pdf?t=nupr75,https://app.dimensions.ai/details/publication/pub.1024854448,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
52,100,pub.1005141797,10.1016/j.geoderma.2013.03.023,,,Chemical transfers along slowly eroding catenas developed on granitic cratons in southern Africa,Geoderma,,,2013-07,2013,202,Koedoe 29 1986,192-202,Closed,Article,"Khomo, Lesego; Bern, Carleton R.; Hartshorn, Anthony S.; Rogers, Kevin H.; Chadwick, Oliver A.","Khomo, Lesego","Khomo, Lesego (Max Planck Institute for Biogeochemistry); Bern, Carleton R. (United States Geological Survey); Hartshorn, Anthony S. (James Madison University); Rogers, Kevin H. (University of the Witwatersrand); Chadwick, Oliver A. (University of California, Santa Barbara)",10,4,,1.84,,https://app.dimensions.ai/details/publication/pub.1005141797,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
53,100,pub.1010009588,10.1007/s11104-012-1566-z,,,"Pathways of soil genesis in the Coast Range of Oregon, USA",Plant and Soil,,,2013-06,2013,367,1-2,57-75,Closed,Article,"Lindeburg, Katherine S.; Almond, Peter; Roering, Josh J.; Chadwick, Oliver A.","Almond, Peter","Lindeburg, Katherine S. (University of California, Santa Barbara); Almond, Peter (Lincoln University); Roering, Josh J. (University of Oregon); Chadwick, Oliver A. (University of California, Santa Barbara)",8,1,,1.47,,https://app.dimensions.ai/details/publication/pub.1010009588,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
54,200,pub.1033516209,10.5194/bg-10-2655-2013,,,"Corrigendum to ""Topo-edaphic controls over woody plant biomass in South African savannas"" published in Biogeosciences, 9, 1809–1821, 2012",Biogeosciences,,,2013-04-19,2013,10,4,2655-2655,All OA; Gold,Article,"Colgan, M. S.; Asner, G. P.; Levick, S. R.; Martin, R. E.; Chadwick, O. A.",,"Colgan, M. S. (Department of Plant Biology; Stanford University); Asner, G. P. (Department of Plant Biology); Levick, S. R. (Department of Plant Biology); Martin, R. E. (Department of Plant Biology); Chadwick, O. A. (University of California, Santa Barbara)",0,0,,,https://www.biogeosciences.net/10/2655/2013/bg-10-2655-2013.pdf,https://app.dimensions.ai/details/publication/pub.1033516209,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
55,100,pub.1036112961,10.1016/j.jas.2012.08.028,,,"Irrigated taro (Colocasia esculenta) farming in North Kohala, Hawai‘i: sedimentology and soil nutrient analyses",Journal of Archaeological Science,,,2013-03,2013,40,3,1528-1538,Closed,Article,"McCoy, Mark D.; Ribeiro, Anna T. Browne; Graves, Michael W.; Chadwick, Oliver A.; Vitousek, Peter M.","McCoy, Mark D.","McCoy, Mark D. (University of Otago); Ribeiro, Anna T. Browne (The Ohio State University); Graves, Michael W. (University of New Mexico); Chadwick, Oliver A. (University of California, Santa Barbara); Vitousek, Peter M. (Stanford University)",2,1,,0.38,,https://app.dimensions.ai/details/publication/pub.1036112961,0402 Geochemistry; 2101 Archaeology; 0403 Geology; 21 History and Archaeology; 04 Earth Sciences,0402 Geochemistry,2101 Archaeology,0403 Geology,21 History and Archaeology,04 Earth Sciences
56,100,pub.1007748562,10.1007/s10533-012-9718-z,,,Long-term effects of agriculture on soil carbon pools and carbon chemistry along a Hawaiian environmental gradient,Biogeochemistry,,,2013-03,2013,112,1-3,229-243,Closed,Article,"Cusack, Daniela F.; Chadwick, Oliver A.; Ladefoged, Thegn; Vitousek, Peter M.","Cusack, Daniela F.","Cusack, Daniela F. (University of California, Santa Barbara; University of California Los Angeles); Chadwick, Oliver A. (University of California, Santa Barbara); Ladefoged, Thegn (University of Auckland); Vitousek, Peter M. (Stanford University)",16,7,,2.94,,https://app.dimensions.ai/details/publication/pub.1007748562,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
57,100,pub.1024228839,10.1080/15564894.2012.745457,,,Prehistoric Obsidian Exchange on Rapa Nui,The Journal of Island and Coastal Archaeology,,,2013-01,2013,8,1,108-121,Closed,Article,"Stevenson, Christopher M.; Ladefoged, Thegn N.; Haoa, Sonia; Chadwick, Oliver; Puleston, Cedric",,"Stevenson, Christopher M. (); Ladefoged, Thegn N. (); Haoa, Sonia (); Chadwick, Oliver (); Puleston, Cedric ()",6,6,,2.13,,https://app.dimensions.ai/details/publication/pub.1024228839,2101 Archaeology; 21 History and Archaeology,2101 Archaeology,21 History and Archaeology,,,
58,100,pub.1034050827,10.1007/s10533-011-9695-7,,,"Tree species effects on coupled cycles of carbon, nitrogen, and acidity in mineral soils at a common garden experiment",Biogeochemistry,,,2012-11,2012,111,1-3,601-614,Closed,Article,"Mueller, Kevin E.; Eissenstat, David M.; Hobbie, Sarah E.; Oleksyn, Jacek; Jagodzinski, Andrzej M.; Reich, Peter B.; Chadwick, Oliver A.; Chorover, Jon","Mueller, Kevin E.","Mueller, Kevin E. (Pennsylvania State University); Eissenstat, David M. (Pennsylvania State University); Hobbie, Sarah E. (University of Minnesota); Oleksyn, Jacek (Institute of Dendrology); Jagodzinski, Andrzej M. (Institute of Dendrology; University of Life Sciences in Poznań); Reich, Peter B. (University of Minnesota); Chadwick, Oliver A. (University of California, Santa Barbara); Chorover, Jon (University of Arizona)",89,34,,14.34,,https://app.dimensions.ai/details/publication/pub.1034050827,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
59,100,pub.1027275394,10.1080/00045608.2012.715054,,,"Holocene and Anthropocene Landscape Change: Arroyo Formation on Santa Cruz Island, California",Annals of the American Association of Geographers,,,2012-11,2012,102,6,1229-1250,"All OA; Green, Accepted & Submitted",Article,"Perroy, Ryan L.; Bookhagen, Bodo; Chadwick, Oliver A.; Howarth, Jeffrey T.",,"Perroy, Ryan L. (); Bookhagen, Bodo (); Chadwick, Oliver A. (); Howarth, Jeffrey T. ()",26,13,,4.51,http://www.geog.ucsb.edu/%7Ebodo/pdf/perroy12_SCI_erosion.pdf,https://app.dimensions.ai/details/publication/pub.1027275394,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
60,100,pub.1024174829,10.1016/j.jag.2012.04.008,,,Spectral responses to plant available soil moisture in a Californian grassland,International Journal of Applied Earth Observation and Geoinformation,,,2012-10,2012,19,,31-44,Closed,Article,"Liu, Shishi; Roberts, Dar A.; Chadwick, Oliver A.; Still, Chris J.","Liu, Shishi","Liu, Shishi (Oak Ridge National Laboratory; University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Chadwick, Oliver A. (University of California, Santa Barbara); Still, Chris J. (University of California, Santa Barbara)",15,5,,3.09,,https://app.dimensions.ai/details/publication/pub.1024174829,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
