,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Rachel M Haymon. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,100,pub.1039408660,10.1016/0012-821x(91)90226-8,,,Hydrothermal vent distribution along the East Pacific Rise crest (9°09′–54′N) and its relationship to magmatic and tectonic processes on fast-spreading mid-ocean ridges,Earth and Planetary Science Letters,,,1991-06,1991,104,4-Feb,513-534,Closed,Article,"Haymon, Rachel M.; Fornari, Daniel J.; Edwards, Margo H.; Carbotte, Suzanne; Wright, Dawn; Macdonald, Ken C.",,"Haymon, Rachel M. (University of California, Santa Barbara); Fornari, Daniel J. (Columbia University); Edwards, Margo H. (Columbia University); Carbotte, Suzanne (University of California, Santa Barbara); Wright, Dawn (University of California, Santa Barbara); Macdonald, Ken C. (University of California, Santa Barbara)",324,12,,,,https://app.dimensions.ai/details/publication/pub.1039408660,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
37,100,pub.1004610090,10.1029/90eo00362,,,Active eruption seen on East Pacific Rise,Eos,,,1991,1991,72,46,505-507,Closed,Article,"Haymon, R. M.; Carbotte, S.; Wright, D.; Beedle, N.; Johnson, F.; Fornari, D. J.; von Damm, K.; Grebmeier, J.; Lilley, M.; McLaughlin, E.; Olson, E.; Edmond, J.; Perfit, M. R.; Smith, M.; Shanks, W.C., III; Lutz, R.; Seewald, J.; Reudelhuber, D.; DeVito, M. C.",,"Haymon, R. M. (); Carbotte, S. (); Wright, D. (); Beedle, N. (); Johnson, F. (); Fornari, D. J. (); von Damm, K. (); Grebmeier, J. (); Lilley, M. (); McLaughlin, E. (); Olson, E. (); Edmond, J. (); Perfit, M. R. (); Smith, M. (); Shanks, W.C., III (); Lutz, R. (); Seewald, J. (); Reudelhuber, D. (); DeVito, M. C. ()",14,0,,,,https://app.dimensions.ai/details/publication/pub.1004610090,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
38,200,pub.1088804435,10.1130/dnag-gna-n.125,,,Hydrothermal processes and products on the Galapagos Rift and East Pacific Rise,,The Eastern Pacific Ocean and Hawaii,,1989,1989,,,125-144,Closed,Chapter,"Haymon, Rachel M.",,"Haymon, Rachel M. ()",17,0,,,,https://app.dimensions.ai/details/publication/pub.1088804435,,,,,,
39,100,pub.1042871377,10.1130/0091-7613(1989)017<0531:hdzbms>2.3.co;2,,,Hydrothermal discharge zones beneath massive sulfide deposits mapped in the Oman ophiolite,Geology,,,1989,1989,17,6,531-535,Closed,Article,"Haymon, Rachel M.; Koski, Randolph A.; Abrams, Michael J.",,"Haymon, Rachel M. (University of California, Santa Barbara); Koski, Randolph A. (United States Geological Survey); Abrams, Michael J. (Jet Propulsion Lab)",44,2,,,,https://app.dimensions.ai/details/publication/pub.1042871377,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
40,100,pub.1011721561,10.1130/0091-7613(1989)017<0212:akrelf>2.3.co;2,,,A 220 km2 recently erupted lava field on the East Pacific Rise near lat 8°S,Geology,,,1989,1989,17,3,212-216,Closed,Article,"Macdonald, Ken C.; Haymon, Rachel; Shor, Alexander",,"Macdonald, Ken C. (University of California, Santa Barbara); Haymon, Rachel (University of California, Santa Barbara); Shor, Alexander (University of Hawaii at Manoa)",86,5,,,,https://app.dimensions.ai/details/publication/pub.1011721561,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
41,100,pub.1019296187,10.1038/335217a0,,,A new view of the mid-ocean ridge from the behaviour of ridge-axis discontinuities,Nature,,,1988-09,1988,335,6187,217-225,Closed,Article,"Macdonald, Ken C.; Fox, P. J.; Perram, L. J.; Eisen, M. F.; Haymon, R. M.; Miller, S. P.; Carbotte, S. M.; Cormier, M.-H.; Shor, A. N.",,"Macdonald, Ken C. (University of California, Santa Barbara); Fox, P. J. (University of Rhode Island); Perram, L. J. (University of California, Santa Barbara); Eisen, M. F. (University of Rhode Island); Haymon, R. M. (University of California, Santa Barbara); Miller, S. P. (University of California, Santa Barbara); Carbotte, S. M. (University of California, Santa Barbara); Cormier, M.-H. (University of California, Santa Barbara); Shor, A. N. (University of Hawaii at Manoa)",354,23,,,,https://app.dimensions.ai/details/publication/pub.1019296187,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
42,100,pub.1017042865,10.1016/0012-821x(88)90033-7,,,Geochemical and structural studies of the Lamont seamounts: seamounts as indicators of mantle processes,Earth and Planetary Science Letters,,,1988-06,1988,89,1,63-83,Closed,Article,"Fornari, Daniel J.; Perfit, Michael R.; Allan, James F.; Batiza, Rodey; Haymon, Rachel; Barone, Angela; Ryan, William B.F.; Smith, Terri; Simkin, Tom; Luckman, Mary Ann",,"Fornari, Daniel J. (Columbia University); Perfit, Michael R. (University of Florida); Allan, James F. (University of British Columbia); Batiza, Rodey (Northwestern University); Haymon, Rachel (University of California, Santa Barbara); Barone, Angela (Columbia University); Ryan, William B.F. (Columbia University); Smith, Terri (Washington University in St. Louis); Simkin, Tom (Smithsonian Institution); Luckman, Mary Ann (Smithsonian Institution)",95,7,,,,https://app.dimensions.ai/details/publication/pub.1017042865,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
43,100,pub.1049561516,10.1029/jb093ib04p02875,,,Deep‐tow and sea beam studies of dueling propagating ridges on the East Pacific Rise near 20°40′S,Journal of Geophysical Research,,,1988,1988,93,B4,2875-2898,Closed,Article,"Macdonald, Ken C.; Haymon, R. M.; Miller, S. P.; Sempere, J.‐C.; Fox, P. J.",,"Macdonald, Ken C. (); Haymon, R. M. (); Miller, S. P. (); Sempere, J.‐C. (); Fox, P. J. ()",99,1,,,,https://app.dimensions.ai/details/publication/pub.1049561516,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
44,100,pub.1007115345,10.1130/0016-7606(1987)98<157:hsaodo>2.0.co;2,,,"Hydrothermal sulfide and oxide deposits on seamounts near 21°N, East Pacific Rise",Geological Society of America Bulletin,,,1987,1987,98,2,157-168,Closed,Article,"ALT, JEFFREY C.; LONSDALE, PETER; HAYMON, RACHEL; MUEHLENBACHS, KARLIS",,"ALT, JEFFREY C. (Washington University in St. Louis); LONSDALE, PETER (Scripps Institution of Oceanography); HAYMON, RACHEL (University of California, Santa Barbara); MUEHLENBACHS, KARLIS (University of Alberta)",105,10,,,,https://app.dimensions.ai/details/publication/pub.1007115345,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
45,100,pub.1011020763,10.1016/0016-7037(86)90249-8,,,The formation of high temperature clay minerals from basalt alteration during hydrothermal discharge on the East Pacific Rise axis at 21°N,Geochimica et Cosmochimica Acta,,,1986-09,1986,50,9,1933-1939,Closed,Article,"Haymon, Rachel M; Kastner, Miriam",,"Haymon, Rachel M (University of California, Santa Barbara); Kastner, Miriam (University of California, San Diego)",29,2,,,,https://app.dimensions.ai/details/publication/pub.1011020763,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
46,400,pub.1062528374,10.1126/science.223.4643.1407,17746052,,"Fossils of Hydrothermal Vent Worms from Cretaceous Sulfide Ores of the Samail Ophiolite, Oman",Science,,,3/30/84,1984,223,4643,1407-1409,Closed,Article,"HAYMON, RACHEL M.; KOSKI, RANDOLPH A.; SINCLAIR, COLIN",,"HAYMON, RACHEL M. (University of California, Santa Barbara); KOSKI, RANDOLPH A. (United States Geological Survey); SINCLAIR, COLIN ()",94,4,0.15,,,https://app.dimensions.ai/details/publication/pub.1062528374,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
47,100,pub.1037124506,10.1016/0012-821x(83)90128-0,,,"Sulfur isotope systematics at the 21°N site, East Pacific Rise",Earth and Planetary Science Letters,,,1983-12,1983,66,,91-100,Closed,Article,"Kerridge, John F.; Haymon, Rachel M.; Kastner, Miriam",,"Kerridge, John F. (University of California Los Angeles); Haymon, Rachel M. (Scripps Institution of Oceanography); Kastner, Miriam (Scripps Institution of Oceanography)",52,3,,,,https://app.dimensions.ai/details/publication/pub.1037124506,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
48,100,pub.1037389935,10.1038/301695a0,,,Growth history of hydrothermal black smoker chimneys,Nature,,,1983-02,1983,301,5902,695-698,Closed,Article,"Haymon, Rachel M.",,"Haymon, Rachel M. (University of California, Santa Barbara)",177,20,,,,https://app.dimensions.ai/details/publication/pub.1037389935,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
49,100,pub.1029347398,10.1016/0012-821x(81)90041-8,,,Hot spring deposits on the East Pacific Rise at 21°N: preliminary description of mineralogy and genesis,Earth and Planetary Science Letters,,,1981-05,1981,53,3,363-381,Closed,Article,"Haymon, Rachel M.; Kastner, Miriam",,"Haymon, Rachel M. (Scripps Institution of Oceanography); Kastner, Miriam (Scripps Institution of Oceanography)",272,9,,,,https://app.dimensions.ai/details/publication/pub.1029347398,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
50,100,pub.1046865138,10.1016/0012-821x(80)90123-5,,,Helium-3 and manganese at the 21°N East Pacific Rise hydrothermal site,Earth and Planetary Science Letters,,,1980-10,1980,50,1,115-127,Closed,Article,"Lupton, J.E.; Klinkhammer, G.P.; Normark, W.R.; Haymon, R.; MacDonald, K.C.; Weiss, R.F.; Craig, H.",,"Lupton, J.E. (Scripps Institution of Oceanography); Klinkhammer, G.P. (University of Rhode Island); Normark, W.R. (United States Geological Survey); Haymon, R. (Scripps Institution of Oceanography); MacDonald, K.C. (Scripps Institution of Oceanography); Weiss, R.F. (Scripps Institution of Oceanography); Craig, H. (Scripps Institution of Oceanography)",110,2,,,,https://app.dimensions.ai/details/publication/pub.1046865138,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
51,400,pub.1062520807,10.1126/science.207.4438.1421,17779602,,East Pacific Rise: Hot Springs and Geophysical Experiments,Science,,,3/28/80,1980,207,4438,1421-1433,Closed,Article,"Spiess, F. N.; Macdonald, Ken C.; Atwater, T.; Ballard, R.; Carranza, A.; Cordoba, D.; Cox, C.; Garcia, V. M. Diaz; Francheteau, J.; Guerrero, J.; Hawkins, J.; Haymon, R.; Hessler, R.; Juteau, T.; Kastner, M.; Larson, R.; Luyendyk, B.; Macdougall, J. D.; Miller, S.; Normark, W.; Orcutt, J.; Rangin, C.",,"Spiess, F. N. (University of California, San Diego); Macdonald, Ken C. (University of California, San Diego); Atwater, T. (Massachusetts Institute of Technology); Ballard, R. (Woods Hole Oceanographic Institution); Carranza, A. (); Cordoba, D. (National Autonomous University of Mexico); Cox, C. (University of California, San Diego); Garcia, V. M. Diaz (); Francheteau, J. (); Guerrero, J. (National Autonomous University of Mexico); Hawkins, J. (University of California, San Diego); Haymon, R. (University of California, San Diego); Hessler, R. (University of California, San Diego); Juteau, T. (University of Strasbourg); Kastner, M. (University of California, San Diego); Larson, R. (); Luyendyk, B. (University of California, Santa Barbara); Macdougall, J. D. (University of California, San Diego); Miller, S. (University of California, San Diego); Normark, W. (United States Geological Survey); Orcutt, J. (University of California, San Diego); Rangin, C. ()",527,25,0.81,,,https://app.dimensions.ai/details/publication/pub.1062520807,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
