,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Hallie C Eakin. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,100,pub.1051653520,10.1108/ijshe-09-2014-0125,,,Collaborative framework for designing a sustainability science programme,International Journal of Sustainability in Higher Education,,,5/3/16,2016,Volume 17,Issue 3,378-403,Closed,Article,"Charli-Joseph, Lakshmi; Escalante, Ana E.; Eakin, Hallie; Solares, Ma. José; Mazari-Hiriart, Marisa; Nation, Marcia; Gómez-Priego, Paola; Pérez-Tejada, César A. Domínguez; Bojórquez-Tapia, Luis A.",,"Charli-Joseph, Lakshmi (); Escalante, Ana E. (); Eakin, Hallie (); Solares, Ma. José (); Mazari-Hiriart, Marisa (); Nation, Marcia (); Gómez-Priego, Paola (); Pérez-Tejada, César A. Domínguez (); Bojórquez-Tapia, Luis A. ()",4,2,,,,https://app.dimensions.ai/details/publication/pub.1051653520,05 Environmental Sciences; 13 Education,05 Environmental Sciences,13 Education,,,
35,100,pub.1028486770,10.1007/s10113-015-0789-y,,,Cognitive and institutional influences on farmers’ adaptive capacity: insights into barriers and opportunities for transformative change in central Arizona,Regional Environmental Change,,,2016-03,2016,16,3,801-814,Closed,Article,"Eakin, Hallie; York, Abigail; Aggarwal, Rimjhim; Waters, Summer; Welch, Jessica; Rubiños, Cathy; Smith-Heisters, Skaidra; Bausch, Chrissie; Anderies, John M.","Eakin, Hallie","Eakin, Hallie (Arizona State University); York, Abigail (Arizona State University); Aggarwal, Rimjhim (Arizona State University); Waters, Summer (); Welch, Jessica (Arizona State University); Rubiños, Cathy (Arizona State University); Smith-Heisters, Skaidra (Arizona State University); Bausch, Chrissie (Arizona State University); Anderies, John M. (Arizona State University)",24,21,,18.95,,https://app.dimensions.ai/details/publication/pub.1028486770,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
36,100,pub.1018955017,10.1007/s10460-015-9589-8,,,Development pathways at the agriculture–urban interface: the case of Central Arizona,Agriculture and Human Values,,,2015-12,2015,32,4,743-759,Closed,Article,"Bausch, Julia C.; Eakin, Hallie; Smith-Heisters, Skaidra; York, Abigail M.; White, Dave D.; Rubiños, Cathy; Aggarwal, Rimjhim M.","Bausch, Julia C.","Bausch, Julia C. (Arizona State University); Eakin, Hallie (Arizona State University); Smith-Heisters, Skaidra (Arizona State University); York, Abigail M. (Arizona State University); White, Dave D. (Arizona State University); Rubiños, Cathy (Arizona State University); Aggarwal, Rimjhim M. (Arizona State University)",9,5,,5.91,,https://app.dimensions.ai/details/publication/pub.1018955017,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
37,100,pub.1047582644,10.1016/j.gloenvcha.2015.09.014,,,Reframing adaptation: The political nature of climate change adaptation,Global Environmental Change,,,2015-11,2015,35,,523-533,Closed,Article,"Eriksen, Siri H.; Nightingale, Andrea J.; Eakin, Hallie","Eriksen, Siri H.","Eriksen, Siri H. (Norwegian University of Life Sciences); Nightingale, Andrea J. (Norwegian University of Life Sciences; Swedish University of Agricultural Sciences); Eakin, Hallie (Arizona State University)",174,129,,87.97,,https://app.dimensions.ai/details/publication/pub.1047582644,1608 Sociology; 1604 Human Geography; 16 Studies in Human Society,1608 Sociology,1604 Human Geography,16 Studies in Human Society,,
38,100,pub.1044410088,10.1007/s13412-015-0280-6,,,Adapting a social-ecological resilience framework for food systems,Journal of Environmental Studies and Sciences,,,2015-09,2015,5,3,474-484,"All OA; Green, Accepted & Submitted",Article,"Hodbod, Jennifer; Eakin, Hallie","Hodbod, Jennifer","Hodbod, Jennifer (Arizona State University); Eakin, Hallie (Arizona State University)",24,16,,5.74,https://repository.asu.edu/attachments/160672/content/Hodbod%20%20Eakin_Accepted_Adapting%20a%20SER%20framework%20for%20food%20systems.pdf,https://app.dimensions.ai/details/publication/pub.1044410088,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
39,100,pub.1026013496,10.1016/j.worlddev.2014.12.012,,,Correlates of Maize Land and Livelihood Change Among Maize Farming Households in Mexico,World Development,,,2015-06,2015,70,,78-91,Closed,Article,"Eakin, Hallie; Appendini, Kirsten; Sweeney, Stuart; Perales, Hugo",,"Eakin, Hallie (Arizona State University); Appendini, Kirsten (College of Mexico); Sweeney, Stuart (University of California, Santa Barbara); Perales, Hugo (El Colegio de la Frontera Sur)",10,9,,5.21,,https://app.dimensions.ai/details/publication/pub.1026013496,16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics,14 Economics,
40,100,pub.1050951575,10.1080/17565529.2014.951021,,,Information and communication technologies and climate change adaptation in Latin America and the Caribbean: a framework for action,Climate and Development,,,5/27/15,2015,7,3,208-222,Closed,Article,"Eakin, Hallie; Wightman, Pedro M.; Hsu, David; Ramón, Vladimir R. Gil; Fuentes-Contreras, Eduardo; Cox, Megan P.; Hyman, Tracy-Ann N.; Pacas, Carlos; Borraz, Fernando; González-Brambila, Claudia; de León Barido, Diego Ponce; Kammen, Daniel M.",,"Eakin, Hallie (); Wightman, Pedro M. (); Hsu, David (); Ramón, Vladimir R. Gil (); Fuentes-Contreras, Eduardo (); Cox, Megan P. (); Hyman, Tracy-Ann N. (); Pacas, Carlos (); Borraz, Fernando (); González-Brambila, Claudia (); de León Barido, Diego Ponce (); Kammen, Daniel M. ()",13,8,,,,https://app.dimensions.ai/details/publication/pub.1050951575,16 Studies in Human Society; 05 Environmental Sciences,16 Studies in Human Society,05 Environmental Sciences,,,
41,100,pub.1051859139,10.1016/j.apgeog.2014.11.005,,,"“We and us, not I and me”: Justice, social capital, and household vulnerability in a Nova Scotia fishery",Applied Geography,,,2015-05,2015,59,,107-116,"All OA; Green, Accepted & Submitted",Article,"Barnett, Allain J.; Eakin, Hallie C.","Barnett, Allain J.","Barnett, Allain J. (Arizona State University); Eakin, Hallie C. (Arizona State University)",19,6,,7.55,https://repository.asu.edu/attachments/146390/content/ajbarnet-cgmrm.pdf,https://app.dimensions.ai/details/publication/pub.1051859139,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
42,200,pub.1017315015,10.1111/jors.12194,,,"Handbook on Climate Change and Agriculture, edited by Ariel Dinar and Robert Mendelsohn. 2011. Cheltenham, U.K. and Northampton, Massachusetts: Edward Elgar. 515 + xvi. ISBN: 978‐1‐84980‐116 4, $220.50 (cloth); ISBN: 978‐1‐78100‐194‐3, $48 (paper).",Journal of Regional Science,,,2015-03,2015,55,2,334-336,Closed,Article,"Eakin, Hallie C.",,"Eakin, Hallie C. (Arizona State University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1017315015,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics
43,100,pub.1008971583,10.1002/9781118845028.ch25,,,The ‘turn to capacity’ in vulnerability research,,Applied Studies in Climate Adaptation,,11/17/14,2014,,,225-230,Closed,Chapter,"Eakin, Hallie",,"Eakin, Hallie (Arizona State University)",1,0,,0.23,,https://app.dimensions.ai/details/publication/pub.1008971583,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
44,100,pub.1007979642,10.1016/j.gloenvcha.2013.12.002,,,Reconceptualising adaptation to climate change as part of pathways of change and response,Global Environmental Change,,,2014-09,2014,28,,325-336,All OA; Gold,Article,"Wise, R.M.; Fazey, I.; Smith, M. Stafford; Park, S.E.; Eakin, H.C.; Van Garderen, E.R.M. Archer; Campbell, B.","Wise, R.M.","Wise, R.M. (); Fazey, I. (University of Dundee); Smith, M. Stafford (Commonwealth Scientific and Industrial Research Organisation); Park, S.E. (); Eakin, H.C. (Arizona State University); Van Garderen, E.R.M. Archer (University of the Witwatersrand); Campbell, B. (University of Copenhagen)",357,193,,124.55,https://doi.org/10.1016/j.gloenvcha.2013.12.002,https://app.dimensions.ai/details/publication/pub.1007979642,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
45,100,pub.1010786714,10.1177/0042098013506064,,,"Growing buildings in corn fields: Urban expansion and the persistence of maize in the Toluca Metropolitan Area, Mexico",Urban Studies,,,2014-08,2014,51,10,2185-2201,Closed,Article,"Lerner, Amy; Sweeney, Stuart; Eakin, Hallie",,"Lerner, Amy (Rutgers, The State University of New Jersey); Sweeney, Stuart (University of California, Santa Barbara); Eakin, Hallie (Arizona State University)",7,4,,3.41,,https://app.dimensions.ai/details/publication/pub.1010786714,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
46,100,pub.1044402648,10.1016/j.gloenvcha.2014.04.013,,,Differentiating capacities as a means to sustainable climate change adaptation,Global Environmental Change,,,2014-07,2014,27,,8-Jan,Closed,Article,"Eakin, H.C.; Lemos, M.C.; Nelson, D.R.","Eakin, H.C.","Eakin, H.C. (Arizona State University); Lemos, M.C. (University of Michigan); Nelson, D.R. (University of Georgia)",119,67,,41.52,,https://app.dimensions.ai/details/publication/pub.1044402648,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
47,100,pub.1018289995,10.1007/s11625-014-0243-y,,,Agro-environmental sustainability assessment using multicriteria decision analysis and system analysis,Sustainability Science,,,2014-07,2014,9,3,303-319,Closed,Article,"Bausch, Julia C.; Bojórquez-Tapia, Luis; Eakin, Hallie","Bausch, Julia C.","Bausch, Julia C. (Arizona State University); Bojórquez-Tapia, Luis (National Autonomous University of Mexico); Eakin, Hallie (Arizona State University)",12,5,,2.47,,https://app.dimensions.ai/details/publication/pub.1018289995,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
48,200,pub.1087387277,10.7551/mitpress/9780262026901.003.0008,,,Significance of Telecoupling for Exploration of Land-Use Change,,Rethinking Global Land Use in an Urban Era,,3/31/14,2014,,,141-161,Closed,Chapter,"Eakin, Hallie; DeFries, Ruth; Kerr, Suzi; Lambin, Eric F.; Liu, Jianguo; Marcotullio, Peter J.; Messerli, Peter; Reenberg, Anette; Rueda, Ximena; Swaffield, Simon R.; Wicke, Birka; Zimmerer, Karl",,"Eakin, Hallie (); DeFries, Ruth (); Kerr, Suzi (); Lambin, Eric F. (); Liu, Jianguo (); Marcotullio, Peter J. (); Messerli, Peter (); Reenberg, Anette (); Rueda, Ximena (); Swaffield, Simon R. (); Wicke, Birka (); Zimmerer, Karl ()",68,38,,,,https://app.dimensions.ai/details/publication/pub.1087387277,,,,,,
49,100,pub.1016945074,10.1007/s10668-013-9466-9,,,Adaptation in a multi-stressor environment: perceptions and responses to climatic and economic risks by coffee growers in Mesoamerica,"Environment, Development and Sustainability",,,2014-02,2014,16,1,123-139,Closed,Article,"Eakin, Hallie; Tucker, Catherine M.; Castellanos, Edwin; Diaz-Porras, Rafael; Barrera, Juan F.; Morales, Helda","Eakin, Hallie","Eakin, Hallie (Arizona State University); Tucker, Catherine M. (Indiana University Bloomington); Castellanos, Edwin (University of the Valley of Guatemala); Diaz-Porras, Rafael (National University of Costa Rica); Barrera, Juan F. (El Colegio de la Frontera Sur); Morales, Helda (El Colegio de la Frontera Sur)",23,14,,8.02,,https://app.dimensions.ai/details/publication/pub.1016945074,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
50,200,pub.1007522739,10.1016/j.apgeog.2013.10.008,,,Corrigendum to “Mexican maize production: Evolving organizational and spatial structures since 1980” [Appl Geogr 39 (2012) 78–92],Applied Geography,,,2014-01,2014,46,,171,Closed,Article,"Sweeney, Stuart; Steigerwald, Douglas G.; Davenport, Frank; Eakin, Hallie","Sweeney, Stuart","Sweeney, Stuart (University of California, Santa Barbara); Steigerwald, Douglas G. (University of California, Santa Barbara); Davenport, Frank (University of California, Santa Barbara); Eakin, Hallie (Arizona State University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1007522739,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
51,100,pub.1035500736,10.1111/joac.12005,,,"Agrarian Winners of Neoliberal Reform: The ‘Maize Boom’ of Sinaloa, Mexico",Journal of Agrarian Change,,,2014-01,2014,14,1,26-51,Closed,Article,"Eakin, Hallie; Bausch, Julia C.; Sweeney, Stuart",,"Eakin, Hallie (Arizona State University); Bausch, Julia C. (Arizona State University); Sweeney, Stuart (University of California, Santa Barbara)",21,8,,12.33,,https://app.dimensions.ai/details/publication/pub.1035500736,1605 Policy and Administration; 1606 Political Science; 16 Studies in Human Society,1605 Policy and Administration,1606 Political Science,16 Studies in Human Society,,
52,100,pub.1001256136,10.1111/dech.12074,,,Selling Maize in Mexico: The Persistence of Peasant Farming in an Era of Global Markets,Development and Change,,,2014-01,2014,45,1,133-155,Closed,Article,"Eakin, Hallie; Perales, Hugo; Appendini, Kirsten; Sweeney, Stuart",,"Eakin, Hallie (); Perales, Hugo (); Appendini, Kirsten (); Sweeney, Stuart ()",22,11,,10.7,,https://app.dimensions.ai/details/publication/pub.1001256136,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
53,400,pub.1018869137,10.1007/s00267-013-0156-z,23979525,,Does External Funding Help Adaptation? Evidence from Community-Based Water Management in the Colombian Andes,Environmental Management,,Colombia; Conservation of Natural Resources; Data Collection; Fund Raising; Humans; Interviews as Topic; Rural Population; Water Supply,2013-11,2013,52,5,1103-1114,All OA; Gold,Article,"Murtinho, Felipe; Eakin, Hallie; López-Carr, David; Hayes, Tanya M.","Murtinho, Felipe","Murtinho, Felipe (Seattle University); Eakin, Hallie (Arizona State University); López-Carr, David (University of California, Santa Barbara); Hayes, Tanya M. (Seattle University; Indiana University Bloomington)",15,6,0.06,2.98,https://link.springer.com/content/pdf/10.1007%2Fs00267-013-0156-z.pdf,https://app.dimensions.ai/details/publication/pub.1018869137,1117 Public Health and Health Services; 11 Medical and Health Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,1117 Public Health and Health Services,11 Medical and Health Sciences,05 Environmental Sciences,0502 Environmental Science and Management,
54,100,pub.1033694698,10.1007/s10745-013-9590-z,,,"Water Scarcity in the Andes: A Comparison of Local Perceptions and Observed Climate, Land Use and Socioeconomic Changes",Human Ecology,,,2013-10,2013,41,5,667-681,Closed,Article,"Murtinho, Felipe; Tague, Christina; de Bievre, Bert; Eakin, Hallie; Lopez-Carr, David","Murtinho, Felipe","Murtinho, Felipe (Seattle University); Tague, Christina (University of California, Santa Barbara); de Bievre, Bert (); Eakin, Hallie (Arizona State University); Lopez-Carr, David (University of California, Santa Barbara)",20,6,,12.17,,https://app.dimensions.ai/details/publication/pub.1033694698,16 Studies in Human Society; 1601 Anthropology,16 Studies in Human Society,1601 Anthropology,,,
55,400,pub.1010356623,10.1080/21632324.2013.766552,25685638,PMC4326006,"Chiapas’ delayed entry into the international labour market: a story of peasant isolation, exploitation, and coercion",Migration and Development,,,2013-06,2013,2,1,18-Jan,"All OA; Green, Accepted & Submitted",Article,"Davis, Jason; Eakin, Hallie",,"Davis, Jason (University of North Carolina at Chapel Hill); Eakin, Hallie (Arizona State University)",3,1,0.29,1.01,http://europepmc.org/articles/pmc4326006?pdf=render,https://app.dimensions.ai/details/publication/pub.1010356623,16 Studies in Human Society; 1604 Human Geography; 1603 Demography,16 Studies in Human Society,1604 Human Geography,1603 Demography,,
56,100,pub.1014705477,10.1016/j.apgeog.2012.12.005,,,Mexican maize production: Evolving organizational and spatial structures since 1980,Applied Geography,,,2013-05,2013,39,,78-92,Closed,Article,"Sweeney, Stuart; Steigerwald, Douglas G.; Davenport, Frank; Eakin, Hallie","Sweeney, Stuart","Sweeney, Stuart (University of California, Santa Barbara); Steigerwald, Douglas G. (University of California, Santa Barbara); Davenport, Frank (University of California, Santa Barbara); Eakin, Hallie (Arizona State University)",26,11,,5.46,,https://app.dimensions.ai/details/publication/pub.1014705477,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
57,100,pub.1011776779,10.1016/j.jrurstud.2012.11.001,,,"Understanding peri-urban maize production through an examination of household livelihoods in the Toluca Metropolitan Area, Mexico",Journal of Rural Studies,,,2013-04,2013,30,,52-63,Closed,Article,"Lerner, Amy M.; Eakin, Hallie; Sweeney, Stuart","Lerner, Amy M.","Lerner, Amy M. (University of California, Santa Barbara); Eakin, Hallie (Arizona State University); Sweeney, Stuart (University of California, Santa Barbara)",19,5,,5.94,,https://app.dimensions.ai/details/publication/pub.1011776779,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
58,100,pub.1011225708,10.1016/j.envsci.2012.07.003,,,Assessing the adaptation strategies of farmers facing multiple stressors: Lessons from the Coffee and Global Changes project in Mesoamerica,Environmental Science & Policy,,,2013-02,2013,26,,19-28,Closed,Article,"Castellanos, Edwin J.; Tucker, Catherine; Eakin, Hallie; Morales, Helda; Barrera, Juan F.; Díaz, Rafael","Castellanos, Edwin J.","Castellanos, Edwin J. (University of the Valley of Guatemala); Tucker, Catherine (Indiana University Bloomington); Eakin, Hallie (Arizona State University); Morales, Helda (El Colegio de la Frontera Sur); Barrera, Juan F. (El Colegio de la Frontera Sur); Díaz, Rafael (National University of Costa Rica)",16,7,,7.39,,https://app.dimensions.ai/details/publication/pub.1011225708,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
59,200,pub.1009642263,10.1017/cbo9780511845710.023,,,"Coffee, Disasters and Social-Ecological Resilience in Guatemala and Chiapas, Mexico",,Natural Disasters and Adaptation to Climate Change,,2013,2013,,,174-180,All OA; Gold,Chapter,"Eakin, Hallie; Morales, Helda; Castellanos, Edwin; Cruz-Bello, Gustavo; Barrera, Juan F.",,"Eakin, Hallie (); Morales, Helda (); Castellanos, Edwin (); Cruz-Bello, Gustavo (); Barrera, Juan F. ()",0,0,,,http://www.haciendachiapas.gob.mx/rendicion-ctas/cuentas-publicas/informacion/CP2005/TomoI/Stan.pdf,https://app.dimensions.ai/details/publication/pub.1009642263,,,,,,
60,100,pub.1087456391,10.5822/978-1-61091-484-0_16,,,Climate Change and U.S.-Mexico Border Communities,,Assessment of Climate Change in the Southwest United States,,2013,2013,,,340-384,Closed,Chapter,"Wilder, Margaret; Garfin, Gregg; Ganster, Paul; Eakin, Hallie; Romero-Lankao, Patricia; Lara-Valencia, Francisco; Cortez-Lara, Alfonso A.; Mumme, Stephen; Neri, Carolina; Muñoz-Arriola, Francisco; Varady, Robert G.","Wilder, Margaret","Wilder, Margaret (University of Arizona); Garfin, Gregg (University of Arizona); Ganster, Paul (San Diego State University); Eakin, Hallie (Arizona State University); Romero-Lankao, Patricia (National Center for Atmospheric Research); Lara-Valencia, Francisco (Arizona State University); Cortez-Lara, Alfonso A. (); Mumme, Stephen (Colorado State University); Neri, Carolina (); Muñoz-Arriola, Francisco (Scripps Institution of Oceanography); Varady, Robert G. (University of Arizona)",16,7,,32.24,,https://app.dimensions.ai/details/publication/pub.1087456391,2103 Historical Studies; 21 History and Archaeology,2103 Historical Studies,21 History and Archaeology,,,
61,100,pub.1043339725,10.1007/978-94-007-6692-1_16,,,Building Adaptive Capacity to Climate Change in Less Developed Countries,,Climate Science for Serving Society,,2013,2013,,,437-457,Closed,Chapter,"Lemos, Maria Carmen; Agrawal, Arun; Eakin, Hallie; Nelson, Don R.; Engle, Nathan L.; Johns, Owen","Lemos, Maria Carmen","Lemos, Maria Carmen (University of Michigan); Agrawal, Arun (University of Michigan); Eakin, Hallie (Arizona State University); Nelson, Don R. (University of Georgia); Engle, Nathan L. (University of Michigan); Johns, Owen (University of Michigan)",58,22,,11.94,,https://app.dimensions.ai/details/publication/pub.1043339725,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
62,100,pub.1042025413,10.1007/s10113-011-0263-4,,,Livelihoods and landscapes at the threshold of change: disaster and resilience in a Chiapas coffee community,Regional Environmental Change,,,2012-09,2012,12,3,475-488,Closed,Article,"Eakin, Hallie; Benessaiah, Karina; Barrera, Juan F.; Cruz-Bello, Gustavo M.; Morales, Helda","Eakin, Hallie","Eakin, Hallie (Arizona State University); Benessaiah, Karina (Arizona State University); Barrera, Juan F. (El Colegio de la Frontera Sur); Cruz-Bello, Gustavo M. (National Autonomous University of Mexico); Morales, Helda (El Colegio de la Frontera Sur)",24,8,,5.38,,https://app.dimensions.ai/details/publication/pub.1042025413,16 Studies in Human Society; 1604 Human Geography; 05 Environmental Sciences; 0502 Environmental Science and Management,16 Studies in Human Society,1604 Human Geography,05 Environmental Sciences,0502 Environmental Science and Management,
63,100,pub.1009634481,10.1016/j.gloenvcha.2011.09.010,,,Managing private and public adaptation to climate change,Global Environmental Change,,,2012-02,2012,22,1,11-Mar,All OA; Gold,Article,"Tompkins, Emma L.; Eakin, Hallie","Tompkins, Emma L.","Tompkins, Emma L. (University of Southampton); Eakin, Hallie (Arizona State University)",115,53,,66.28,https://doi.org/10.1016/j.gloenvcha.2011.09.010,https://app.dimensions.ai/details/publication/pub.1009634481,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
64,400,pub.1029726780,10.1111/j.1475-4959.2010.00394.x,22180921,,An obsolete dichotomy? Rethinking the rural–urban interface in terms of food security and production in the global south,Geographical Journal,,"Agriculture; Cultural Characteristics; Developing Countries; Food Industry; Food Supply; History, 21st Century; Population Dynamics; Public Policy; Rural Population; Socioeconomic Factors; Urban Population",2011-12,2011,177,4,311-320,Closed,Article,"LERNER, AMY M; EAKIN, HALLIE",,"LERNER, AMY M (University of California, Santa Barbara); EAKIN, HALLIE (Arizona State University)",55,21,0.32,17.18,,https://app.dimensions.ai/details/publication/pub.1029726780,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
65,100,pub.1012925061,10.1002/wcc.133,,,Resilience implications of policy responses to climate change,Wiley Interdisciplinary Reviews Climate Change,,,2011-09,2011,2,5,757-766,Closed,Article,"Adger, W. Neil; Brown, Katrina; Nelson, Donald R.; Berkes, Fikret; Eakin, Hallie; Folke, Carl; Galvin, Kathleen; Gunderson, Lance; Goulden, Marisa; O'Brien, Karen; Ruitenbeek, Jack; Tompkins, Emma L.",,"Adger, W. Neil (University of East Anglia); Brown, Katrina (University of East Anglia); Nelson, Donald R. (University of Georgia); Berkes, Fikret (University of Manitoba); Eakin, Hallie (Arizona State University); Folke, Carl (Stockholm University); Galvin, Kathleen (Colorado State University); Gunderson, Lance (Emory University); Goulden, Marisa (University of East Anglia); O'Brien, Karen (University of Oslo); Ruitenbeek, Jack (); Tompkins, Emma L. (University of Southampton)",159,54,,26.27,,https://app.dimensions.ai/details/publication/pub.1012925061,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
66,100,pub.1008563077,10.1007/s11069-010-9652-0,,,"Linking multi-temporal analysis and community consultation to evaluate the response to the impact of Hurricane Stan in coffee areas of Chiapas, Mexico",Natural Hazards,,,2011-07,2011,58,1,103-116,Closed,Article,"Cruz-Bello, Gustavo M.; Eakin, Hallie; Morales, Helda; Barrera, Juan F.","Cruz-Bello, Gustavo M.","Cruz-Bello, Gustavo M. (National Autonomous University of Mexico); Eakin, Hallie (Arizona State University); Morales, Helda (El Colegio de la Frontera Sur); Barrera, Juan F. (El Colegio de la Frontera Sur)",7,1,,0.93,,https://app.dimensions.ai/details/publication/pub.1008563077,17 Psychology and Cognitive Sciences; 0406 Physical Geography and Environmental Geoscience; 1701 Psychology; 04 Earth Sciences; 0401 Atmospheric Sciences,17 Psychology and Cognitive Sciences,0406 Physical Geography and Environmental Geoscience,1701 Psychology,04 Earth Sciences,0401 Atmospheric Sciences
67,400,pub.1036469368,10.1007/s00267-010-9603-2,21234565,,Adaptive Capacity and Social-Environmental Change: Theoretical and Operational Modeling of Smallholder Coffee Systems Response in Mesoamerican Pacific Rim,Environmental Management,,"Adaptation, Psychological; Agriculture; Central America; Coffee; Conservation of Natural Resources; Environmental Policy; Humans; Mexico; Models, Theoretical; Pacific Ocean; Social Change",2011-03,2011,47,3,352-367,Closed,Article,"Eakin, Hallie; Bojórquez-Tapia, Luis A.; Diaz, Rafael Monterde; Castellanos, Edwin; Haggar, Jeremy","Bojórquez-Tapia, Luis A.","Eakin, Hallie (Arizona State University); Bojórquez-Tapia, Luis A. (National Autonomous University of Mexico); Diaz, Rafael Monterde (Polytechnic University of Valencia); Castellanos, Edwin (University of the Valley of Guatemala); Haggar, Jeremy ()",13,3,0.17,4.98,,https://app.dimensions.ai/details/publication/pub.1036469368,14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1608 Sociology; 1402 Applied Economics,14 Economics,16 Studies in Human Society,1604 Human Geography,1608 Sociology,1402 Applied Economics
68,400,pub.1036125311,10.1007/s00267-010-9605-0,21229245,PMC3056008,Public Sector Reform and Governance for Adaptation: Implications of New Public Management for Adaptive Capacity in Mexico and Norway,Environmental Management,,"Adaptation, Psychological; Climate Change; Conservation of Natural Resources; Environmental Policy; Floods; Humans; Mexico; Norway; Private Sector; Public Sector; Risk Assessment; Social Responsibility; Water Supply",2011-03,2011,47,3,338-351,All OA; Gold,Article,"Eakin, Hallie; Eriksen, Siri; Eikeland, Per-Ove; Øyen, Cecilie","Eakin, Hallie","Eakin, Hallie (Arizona State University); Eriksen, Siri (Norwegian University of Life Sciences); Eikeland, Per-Ove (Fridtjof Nansen Institute); Øyen, Cecilie (Norwegian University of Science and Technology)",41,9,0.09,19.56,https://link.springer.com/content/pdf/10.1007%2Fs00267-010-9605-0.pdf,https://app.dimensions.ai/details/publication/pub.1036125311,1605 Policy and Administration; 1606 Political Science; 16 Studies in Human Society,1605 Policy and Administration,1606 Political Science,16 Studies in Human Society,,
69,100,pub.1052418669,10.1002/wcc.100,,,"Are adaptation studies effective, and what can enhance their practical impact?",Wiley Interdisciplinary Reviews Climate Change,,,2011-03,2011,2,2,141-153,Closed,Article,"Eakin, Hallie C.; Patt, Anthony",,"Eakin, Hallie C. (Arizona State University); Patt, Anthony (International Institute for Applied Systems Analysis)",47,7,,18.04,,https://app.dimensions.ai/details/publication/pub.1052418669,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
70,100,pub.1043093635,10.1016/j.gloenvcha.2010.11.001,,,"Social identity, perception and motivation in adaptation to climate risk in the coffee sector of Chiapas, Mexico",Global Environmental Change,,,2011-02,2011,21,1,66-76,Closed,Article,"Frank, Elisa; Eakin, Hallie; López-Carr, David","Eakin, Hallie","Frank, Elisa (University of California, Santa Barbara); Eakin, Hallie (Arizona State University); López-Carr, David (University of California, Santa Barbara)",99,35,,18.24,,https://app.dimensions.ai/details/publication/pub.1043093635,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
71,200,pub.1006855023,10.1016/j.gloenvcha.2009.08.002,,,Institutions and change: The challenge of building adaptive capacity in Latin America,Global Environmental Change,,,2010-02,2010,20,1,3-Jan,Closed,Article,"Eakin, Hallie; Lemos, Maria Carmen","Eakin, Hallie","Eakin, Hallie (Arizona State University); Lemos, Maria Carmen (University of Michigan)",40,5,,,,https://app.dimensions.ai/details/publication/pub.1006855023,,,,,,
