,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Bernard Kirtman. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,100,pub.1051917737,10.1002/qua.23160,,,Vibrational contribution to static and dynamic (Hyper)polarizabilities of zigzag BN nanotubes calculated by the finite field nuclear relaxation method,International Journal of Quantum Chemistry,,,5/5/12,2012,112,9,2160-2170,Closed,Article,"Ferrabone, Matteo; Kirtman, Bernard; Lacivita, Valentina; Rérat, Michel; Orlando, Roberto; Dovesi, Roberto",,"Ferrabone, Matteo (University of Turin); Kirtman, Bernard (University of California, Santa Barbara); Lacivita, Valentina (University of Turin); Rérat, Michel (University of Pau and Pays de l'Adour); Orlando, Roberto (University of Eastern Piedmont Amadeo Avogadro); Dovesi, Roberto (University of Turin)",15,0,,2.43,,https://app.dimensions.ai/details/publication/pub.1051917737,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
37,200,pub.1098546038,10.1063/1.4771780,,,Critical assessment of density functional theory for computing vibrational (hyper)polarizabilities,AIP Conference Proceedings,,,2012,2012,,,655-658,Closed,Proceeding,"Zaleśny, R.; Bulik, I. W.; Mikołajczyk, M.; Bartkowiak, W.; Luis, J. M.; Kirtman, B.; Avramopoulos, A.; Papadopoulos, M. G.",,"Zaleśny, R. (); Bulik, I. W. (); Mikołajczyk, M. (); Bartkowiak, W. (); Luis, J. M. (); Kirtman, B. (); Avramopoulos, A. (); Papadopoulos, M. G. ()",2,1,,,,https://app.dimensions.ai/details/publication/pub.1098546038,,,,,,
38,200,pub.1098546031,10.1063/1.4771773,,,Implementation of a vector potential method in an ab initio Hartree-Fock code,AIP Conference Proceedings,,,2012,2012,,,627-630,Closed,Proceeding,"Tevekeliyska, Violina; Springborg, Michael; Champagne, Benoı̂t; Kirtman, Bernard",,"Tevekeliyska, Violina (); Springborg, Michael (); Champagne, Benoı̂t (); Kirtman, Bernard ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1098546031,,,,,,
39,200,pub.1098546029,10.1063/1.4771771,,,Anharmonic vibrational analysis of water at CCSD(T) level: Comparison of traditional and explicitly correlated methods,AIP Conference Proceedings,,,2012,2012,,,611-615,Closed,Proceeding,"Kahn, Kalju; Kirtman, Bernard; Noga, Jozef; Ten-no, Seiichiro",,"Kahn, Kalju (); Kirtman, Bernard (); Noga, Jozef (); Ten-no, Seiichiro ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1098546029,,,,,,
40,200,pub.1098546028,10.1063/1.4771770,,,Nonlinear optical properties and large amplitude anharmonic vibrational motions,AIP Conference Proceedings,,,2012,2012,,,607-610,Closed,Proceeding,"Luis, Josep M.; Reis, Heribert; Papadopoulos, Manthos; Kirtman, Bernard",,"Luis, Josep M. (); Reis, Heribert (); Papadopoulos, Manthos (); Kirtman, Bernard ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1098546028,,,,,,
41,200,pub.1098546017,10.1063/1.4771760,,,On the dependence of bulk properties on surfaces,AIP Conference Proceedings,,,2012,2012,,,567-572,Closed,Proceeding,"Springborg, Michael; Kirtman, Bernard; Tevekeliyska, Violina",,"Springborg, Michael (); Kirtman, Bernard (); Tevekeliyska, Violina ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1098546017,,,,,,
42,200,pub.1098546016,10.1063/1.4771759,,,Band structure of polymer extracted from oligomer calculations by elongation method and its applications to nanosystems,AIP Conference Proceedings,,,2012,2012,,,563-566,Closed,Proceeding,"Pomogaeva, Anna; Springborg, Michael; Kirtman, Bernard; Gu, Feng Long; Aoki, Yuriko",,"Pomogaeva, Anna (); Springborg, Michael (); Kirtman, Bernard (); Gu, Feng Long (); Aoki, Yuriko ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1098546016,,,,,,
43,200,pub.1098542605,10.1063/1.4736878,,,On the response of large systems to electrostatic fields,AIP Conference Proceedings,,,2012,2012,,,116-131,Closed,Proceeding,"Springborg, Michael; Kirtman, Bernard; Dong, Yi; Tevekeliyska, Violina",,"Springborg, Michael (); Kirtman, Bernard (); Dong, Yi (); Tevekeliyska, Violina ()",2,0,,,,https://app.dimensions.ai/details/publication/pub.1098542605,,,,,,
44,100,pub.1026808127,10.1007/s00214-011-1058-x,,,Alkali metal doping effect on static first hyperpolarizabilities of PMI chains,Theoretical Chemistry Accounts,,,2011-12,2011,130,6-Apr,727-737,Closed,Article,"Kang, Ling Zhi; Inerbaev, Talgat; Kirtman, Bernard; Gu, Feng Long","Gu, Feng Long","Kang, Ling Zhi (South China Normal University); Inerbaev, Talgat (South China Normal University); Kirtman, Bernard (University of California, Santa Barbara); Gu, Feng Long (South China Normal University; Japan Science and Technology Agency)",15,4,,2.28,,https://app.dimensions.ai/details/publication/pub.1026808127,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
45,100,pub.1023506668,10.1007/s00214-011-0983-z,,,On the dipolar electric field response of large systems,Theoretical Chemistry Accounts,,,2011-12,2011,130,6-Apr,687-700,Closed,Article,"Springborg, Michael; Kirtman, Bernard","Springborg, Michael","Springborg, Michael (Saarland University); Kirtman, Bernard (University of California, Santa Barbara)",11,0,,1.67,,https://app.dimensions.ai/details/publication/pub.1023506668,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
46,400,pub.1056083068,10.1021/jp203237m,21699207,,The first and second static electronic hyperpolarizabilities of zigzag boron nitride nanotubes. An ab initio approach through the coupled perturbed Kohn-Sham scheme.,The Journal of Physical Chemistry A,,"Boron Compounds; Electrons; Models, Molecular; Nanotubes; Quantum Theory",11/17/11,2011,115,45,12631-7,Closed,Article,"Orlando, Roberto; Bast, Radovan; Ruud, Kenneth; Ekström, Ulf; Ferrabone, Matteo; Kirtman, Bernard; Dovesi, Roberto",,"Orlando, Roberto (University of Eastern Piedmont Amadeo Avogadro); Bast, Radovan (); Ruud, Kenneth (); Ekström, Ulf (); Ferrabone, Matteo (); Kirtman, Bernard (); Dovesi, Roberto ()",25,1,0.72,3.8,,https://app.dimensions.ai/details/publication/pub.1056083068,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
47,400,pub.1057991761,10.1063/1.3649945,22029291,,Electric field polarization in conventional density functional theory: from quasilinear to two-dimensional and three-dimensional extended systems.,The Journal of Chemical Physics,,Electricity; Fluorides; Fullerenes; Hydrogen; Lithium Compounds; Polycyclic Compounds; Quantum Theory,10/21/11,2011,135,15,154101,Closed,Article,"Kirtman, Bernard; Lacivita, Valentina; Dovesi, Roberto; Reis, Heribert",,"Kirtman, Bernard (University of California, Santa Barbara); Lacivita, Valentina (); Dovesi, Roberto (); Reis, Heribert ()",23,6,1.04,,,https://app.dimensions.ai/details/publication/pub.1057991761,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
48,400,pub.1057991421,10.1063/1.3647566,21992274,,Communication: convergence of anharmonic infrared intensities of hydrogen fluoride in traditional and explicitly correlated coupled cluster calculations.,The Journal of Chemical Physics,,,10/7/11,2011,135,13,131103,All OA; Gold,Article,"Kahn, Kalju; Kirtman, Bernard; Hagen, Alexander; Noga, Jozef",,"Kahn, Kalju (University of California, Santa Barbara); Kirtman, Bernard (University of California, Santa Barbara); Hagen, Alexander (University of California, Santa Barbara); Noga, Jozef (Comenius University; Institute of Inorganic Chemistry)",3,0,0.11,0.79,https://aip.scitation.org/doi/pdf/10.1063/1.3647566,https://app.dimensions.ai/details/publication/pub.1057991421,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
49,400,pub.1056084668,10.1021/jp206331n,21790194,,"Electronic structure, bonding, spectra, and linear and nonlinear electric properties of Ti@C28.",The Journal of Physical Chemistry A,,Electrons; Fullerenes; Molecular Structure; Quantum Theory; Titanium,9/22/11,2011,115,37,10370-81,Closed,Article,"Skwara, Bartłomiej; Góra, Robert W; Zaleśny, Robert; Lipkowski, Paweł; Bartkowiak, Wojciech; Reis, Heribert; Papadopoulos, Manthos G; Luis, Josep M; Kirtman, Bernard",,"Skwara, Bartłomiej (Wrocław University of Technology); Góra, Robert W (); Zaleśny, Robert (); Lipkowski, Paweł (); Bartkowiak, Wojciech (); Reis, Heribert (); Papadopoulos, Manthos G (); Luis, Josep M (); Kirtman, Bernard ()",27,4,0.87,3.63,,https://app.dimensions.ai/details/publication/pub.1056084668,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
50,100,pub.1060635925,10.1103/physrevb.83.235421,,,Polarizability and hyperpolarizability of BN zigzag nanotubes calculated by the coupled perturbed Kohn-Sham scheme,Physical Review B,,,2011-06,2011,83,23,235421,Closed,Article,"Ferrabone, Matteo; Kirtman, Bernard; Rérat, Michel; Orlando, Roberto; Dovesi, Roberto",,"Ferrabone, Matteo (University of Turin); Kirtman, Bernard (University of California, Santa Barbara); Rérat, Michel (University of Pau and Pays de l'Adour); Orlando, Roberto (University of Eastern Piedmont Amadeo Avogadro); Dovesi, Roberto (University of Turin)",17,2,,2.59,,https://app.dimensions.ai/details/publication/pub.1060635925,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
51,400,pub.1006310915,10.1002/jcc.21674,20949516,,Electronic and vibrational linear and nonlinear polarizabilities of Li@C60 and [Li@C60]+,Journal of Computational Chemistry,,Electrons; Fullerenes; Lithium; Quantum Theory; Vibration,4/15/11,2011,32,5,908-914,Closed,Article,"Reis, H.; Loboda, O.; Avramopoulos, A.; Papadopoulos, M. G.; Kirtman, B.; Luis, J. M.; Zaleśny, R.",,"Reis, H. (National Hellenic Research Foundation); Loboda, O. (National Hellenic Research Foundation); Avramopoulos, A. (National Hellenic Research Foundation); Papadopoulos, M. G. (National Hellenic Research Foundation); Kirtman, B. (University of California, Santa Barbara); Luis, J. M. (University of Girona); Zaleśny, R. (Wrocław University of Technology)",20,0,0.83,2.86,,https://app.dimensions.ai/details/publication/pub.1006310915,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
52,100,pub.1035660500,10.1002/qua.22880,,,On the contribution of mixed terms in response function treatment of vibrational nonlinear optical properties,International Journal of Quantum Chemistry,,,3/15/11,2011,111,4,839-847,Closed,Article,"Kirtman, Bernard; Luis, Josep M.",,"Kirtman, Bernard (University of California, Santa Barbara); Luis, Josep M. (University of Girona)",14,2,,2,,https://app.dimensions.ai/details/publication/pub.1035660500,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
53,100,pub.1003259696,10.1007/978-90-481-2853-2_9,,,Elongation Method: Towards Linear Scaling for Electronic Structure of Random Polymers and other Quasilinear Materials,Challenges and Advances in Computational Chemistry and Physics,Linear-Scaling Techniques in Computational Chemistry and Physics,,2011,2011,13,,175-198,Closed,Chapter,"Gu, Feng Long; Kirtman, Bernard; Aoki, Yuriko","Gu, Feng Long","Gu, Feng Long (South China Normal University; Japan Science and Technology Agency); Kirtman, Bernard (University of California, Santa Barbara); Aoki, Yuriko (Kyushu University; Japan Science and Technology Agency)",1,0,,0.15,,https://app.dimensions.ai/details/publication/pub.1003259696,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
54,100,pub.1060634154,10.1103/physrevb.82.165442,,,Termination effects in electric field polarization of periodic quasi-one-dimensional systems,Physical Review B,,,2010-10,2010,82,16,165442,Closed,Article,"Springborg, Michael; Tevekeliyska, Violina; Kirtman, Bernard",,"Springborg, Michael (Saarland University); Tevekeliyska, Violina (Saarland University); Kirtman, Bernard (University of California, Santa Barbara)",18,1,,,,https://app.dimensions.ai/details/publication/pub.1060634154,02 Physical Sciences; 03 Chemical Sciences,02 Physical Sciences,03 Chemical Sciences,,,
55,400,pub.1057956379,10.1063/1.3464837,20726634,,Anharmonic vibrational analysis of water with traditional and explicitly correlated coupled cluster methods.,The Journal of Chemical Physics,,,8/21/10,2010,133,7,74106,"All OA; Green, Published",Article,"Kahn, Kalju; Kirtman, Bernard; Noga, Jozef; Ten-No, Seiichiro",,"Kahn, Kalju (University of California Los Angeles); Kirtman, Bernard (); Noga, Jozef (); Ten-No, Seiichiro ()",10,1,0.69,1.28,https://escholarship.org/content/qt4g45z2kz/qt4g45z2kz.pdf?t=nu0bgm,https://app.dimensions.ai/details/publication/pub.1057956379,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
56,100,pub.1045038356,10.1016/j.ssc.2010.01.039,,,First principles study on the electronic structure and effect of vanadium doping of BN nanowires,Solid State Communications,,,2010-04,2010,150,15-16,701-706,Closed,Article,"He, K.H.; Zheng, G.; Kirtman, B.; Chen, Q.L.; Wang, X.C.; Timón, V.; Ji, G.F.","Zheng, G.","He, K.H. (China University of Geosciences); Zheng, G. (China University of Geosciences); Kirtman, B. (University of California, Santa Barbara); Chen, Q.L. (China University of Geosciences); Wang, X.C. (China University of Geosciences); Timón, V. (Andalusian Earth Sciences Institute); Ji, G.F. (China Academy of Engineering Physics)",8,1,,1.54,,https://app.dimensions.ai/details/publication/pub.1045038356,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
57,100,pub.1028464243,10.1524/zpch.2010.6127,,,Extended Systems in Electrostatic Fields,Zeitschrift für Physikalische Chemie,,,2010-04,2010,224,4-Mar,617-630,Closed,Article,"Springborg, Michael; Tevekeliyska, Violina; Kirtman, Bernard; Champagne, Benoit; Dong, Yi",,"Springborg, Michael (); Tevekeliyska, Violina (); Kirtman, Bernard (); Champagne, Benoit (); Dong, Yi ()",2,0,,0.22,,https://app.dimensions.ai/details/publication/pub.1028464243,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
58,100,pub.1088472894,10.1524/9783486711639.327,,,Extended Systems in Electrostatic Fields,,Progress in Physical Chemistry Volume 3,,2010-01,2010,,,327-340,Closed,Chapter,"Springborg, Michael; Tevekeliyska, Violina; Kirtman, Bernard; Champagne, Benoît; Dong, Yi",,"Springborg, Michael (Saarland University); Tevekeliyska, Violina (Saarland University); Kirtman, Bernard (University of California, Santa Barbara); Champagne, Benoît (University of Namur); Dong, Yi (Saarland University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1088472894,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
59,400,pub.1010226447,10.1039/b918539a,20237721,,Periodic density functional theory calculations for 3-dimensional polyacetylene with empirical dispersion terms,Physical Chemistry Chemical Physics,,,2010,2010,12,13,3289-3293,Closed,Article,"Zicovich-Wilson, C. M.; Kirtman, B.; Civalleri, B.; Ramírez-Solís, A.",,"Zicovich-Wilson, C. M. (Universidad Autónoma del Estado de Morelos); Kirtman, B. (University of California Los Angeles); Civalleri, B. (University of Turin); Ramírez-Solís, A. (Universidad Autónoma del Estado de Morelos)",22,2,0.68,6.1,,https://app.dimensions.ai/details/publication/pub.1010226447,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
60,400,pub.1057927870,10.1063/1.3267048,19947696,,Calculation of the dielectric constant epsilon and first nonlinear susceptibility chi((2)) of crystalline potassium dihydrogen phosphate by the coupled perturbed Hartree-Fock and coupled perturbed Kohn-Sham schemes as implemented in the CRYSTAL code.,The Journal of Chemical Physics,,,11/28/09,2009,131,20,204509,Closed,Article,"Lacivita, Valentina; Rérat, Michel; Kirtman, Bernard; Ferrero, Mauro; Orlando, Roberto; Dovesi, Roberto",,"Lacivita, Valentina (University of Turin); Rérat, Michel (); Kirtman, Bernard (); Ferrero, Mauro (); Orlando, Roberto (); Dovesi, Roberto ()",16,1,0.37,,,https://app.dimensions.ai/details/publication/pub.1057927870,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
61,400,pub.1057927165,10.1063/1.3263919,19916596,,Calculation of the static electronic second hyperpolarizability or chi(3) tensor of three-dimensional periodic compounds with a local basis set.,The Journal of Chemical Physics,,,11/14/09,2009,131,18,184105,Closed,Article,"Orlando, Roberto; Ferrero, Mauro; Rérat, Michel; Kirtman, Bernard; Dovesi, Roberto",,"Orlando, Roberto (University of Eastern Piedmont Amadeo Avogadro); Ferrero, Mauro (); Rérat, Michel (); Kirtman, Bernard (); Dovesi, Roberto ()",15,2,0.19,,,https://app.dimensions.ai/details/publication/pub.1057927165,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
62,100,pub.1003585002,10.1002/qua.22177,,,Polarizabilities and second hyperpolarizabilities of hydrogen chains using the spin‐component‐scaled Møller–Plesset second‐order method,International Journal of Quantum Chemistry,,,11/5/09,2009,109,13,3103-3111,Closed,Article,"Champagne, Benoît; Kirtman, Bernard",,"Champagne, Benoît (); Kirtman, Bernard (University of California, Santa Barbara)",18,3,,2.29,,https://app.dimensions.ai/details/publication/pub.1003585002,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
63,400,pub.1057917957,10.1063/1.3185727,19655839,,Polarization of one-dimensional periodic systems in a static electric field: sawtooth potential treatment revisited.,The Journal of Chemical Physics,,,7/28/09,2009,131,4,44109,Closed,Article,"Kirtman, Bernard; Ferrero, Mauro; Rérat, Michel; Springborg, Michael",,"Kirtman, Bernard (University of California, Santa Barbara); Ferrero, Mauro (); Rérat, Michel (); Springborg, Michael ()",8,0,0.13,0.78,,https://app.dimensions.ai/details/publication/pub.1057917957,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
64,400,pub.1057917322,10.1063/1.3171615,19624190,,Treatment of nonlinear optical properties due to large amplitude anharmonic vibrational motions: umbrella motion in NH3.,The Journal of Chemical Physics,,Ammonia; Kinetics; Thermodynamics; Vibration,7/21/09,2009,131,3,34116,"All OA; Green, Published",Article,"Luis, Josep M; Reis, Heribert; Papadopoulos, Manthos; Kirtman, Bernard",,"Luis, Josep M (University of Girona); Reis, Heribert (); Papadopoulos, Manthos (); Kirtman, Bernard ()",34,7,1.32,6.91,https://dugi-doc.udg.edu/bitstream/10256/3243/1/517.pdf,https://app.dimensions.ai/details/publication/pub.1057917322,0205 Optical Physics; 02 Physical Sciences,0205 Optical Physics,02 Physical Sciences,,,
65,100,pub.1024938726,10.1139/v09-058,,,The response of extended systems to electrostatic fields1,Canadian Journal of Chemistry,,,2009-07,2009,87,7,984-993,Closed,Article,"Springborg, Michael; Kirtman, Bernard",,"Springborg, Michael (Saarland University); Kirtman, Bernard (University of California, Santa Barbara)",8,0,,0.9,,https://app.dimensions.ai/details/publication/pub.1024938726,03 Chemical Sciences; 0302 Inorganic Chemistry,03 Chemical Sciences,0302 Inorganic Chemistry,,,
66,400,pub.1057915194,10.1063/1.3131262,19466820,,Band structures built by the elongation method.,The Journal of Chemical Physics,,,5/21/09,2009,130,19,194106,Closed,Article,"Pomogaeva, Anna; Springborg, Michael; Kirtman, Bernard; Gu, Feng Long; Aoki, Yuriko",,"Pomogaeva, Anna (Kyushu University); Springborg, Michael (); Kirtman, Bernard (); Gu, Feng Long (); Aoki, Yuriko ()",15,0,0.38,2.91,,https://app.dimensions.ai/details/publication/pub.1057915194,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
67,400,pub.1057912563,10.1063/1.3109079,19405627,,Periodic density functional theory studies of Li-doped polythiophene: dependence of electronic and structural properties on dopant concentration.,The Journal of Chemical Physics,,,4/28/09,2009,130,16,164904,Closed,Article,"Ramírez-Solís, A; Kirtman, B; Bernal-Jáquez, R; Zicovich-Wilson, C M",,"Ramírez-Solís, A (University of California, Santa Barbara); Kirtman, B (); Bernal-Jáquez, R (); Zicovich-Wilson, C M ()",12,1,0.35,1.74,,https://app.dimensions.ai/details/publication/pub.1057912563,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
68,400,pub.1056111180,10.1021/jp808234x,19146443,,Linear and nonlinear optical properties of [60]fullerene derivatives.,The Journal of Physical Chemistry A,,,2/12/09,2009,113,6,1159-70,Closed,Article,"Loboda, O; Zaleśny, R; Avramopoulos, A; Luis, J-M; Kirtman, B; Tagmatarchis, N; Reis, H; Papadopoulos, M G",,"Loboda, O (National Hellenic Research Foundation); Zaleśny, R (); Avramopoulos, A (); Luis, J-M (); Kirtman, B (); Tagmatarchis, N (); Reis, H (); Papadopoulos, M G ()",82,11,2.36,11.88,,https://app.dimensions.ai/details/publication/pub.1056111180,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
69,400,pub.1057898169,10.1063/1.3043366,19123498,,Calculation of first and second static hyperpolarizabilities of one- to three-dimensional periodic compounds. Implementation in the CRYSTAL code.,The Journal of Chemical Physics,,,12/28/08,2008,129,24,244110,Closed,Article,"Ferrero, Mauro; Rérat, Michel; Kirtman, Bernard; Dovesi, Roberto",,"Ferrero, Mauro (University of Turin); Rérat, Michel (); Kirtman, Bernard (); Dovesi, Roberto ()",109,29,2.27,15.8,,https://app.dimensions.ai/details/publication/pub.1057898169,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
70,200,pub.1056074860,10.1021/jp077426l,,,Periodic Density Functional Theory Calculations for Na-doped Quasi-one-dimensional Polyacetylene Chains,The Journal of Physical Chemistry C,,,2008-06,2008,112,25,9493-9500,Closed,Article,"Ramírez-Solís, A.; Kirtman, B.; Bernal-Jáquez, R.; Zicovich-Wilson, C. M.",,"Ramírez-Solís, A. (); Kirtman, B. (); Bernal-Jáquez, R. (); Zicovich-Wilson, C. M. ()",7,0,,,,https://app.dimensions.ai/details/publication/pub.1056074860,09 Engineering; 10 Technology; 03 Chemical Sciences,09 Engineering,10 Technology,03 Chemical Sciences,,
71,400,pub.1057879455,10.1063/1.2889950,18361548,,Simple finite field nuclear relaxation method for calculating vibrational contribution to degenerate four-wave mixing.,The Journal of Chemical Physics,,,3/21/08,2008,128,11,114101,"All OA; Green, Published",Article,"Kirtman, Bernard; Luis, Josep M",,"Kirtman, Bernard (University of California, Santa Barbara); Luis, Josep M ()",12,0,0.44,3.23,https://dugi-doc.udg.edu/bitstream/10256/3245/1/521.pdf,https://app.dimensions.ai/details/publication/pub.1057879455,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
72,400,pub.1057879181,10.1063/1.2885051,18361555,,Calculation of electric dipole (hyper)polarizabilities by long-range-correction scheme in density functional theory: a systematic assessment for polydiacetylene and polybutatriene oligomers.,The Journal of Chemical Physics,,,3/21/08,2008,128,11,114108,Closed,Article,"Kirtman, Bernard; Bonness, Sean; Ramirez-Solis, Alejandro; Champagne, Benoit; Matsumoto, Hironori; Sekino, Hideo",,"Kirtman, Bernard (University of California, Santa Barbara); Bonness, Sean (); Ramirez-Solis, Alejandro (); Champagne, Benoit (); Matsumoto, Hironori (); Sekino, Hideo ()",100,9,2.62,21.43,,https://app.dimensions.ai/details/publication/pub.1057879181,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
73,100,pub.1042666371,10.1016/j.cplett.2008.01.078,,,How much can donor/acceptor-substitution change the responses of long push–pull systems to DC fields?,Chemical Physics Letters,,,2008-03,2008,454,3-Jan,105-113,"All OA; Green, Accepted & Submitted",Article,"Springborg, Michael; Kirtman, Bernard","Springborg, Michael","Springborg, Michael (Saarland University); Kirtman, Bernard (University of California, Santa Barbara)",13,1,,,http://arxiv.org/pdf/0801.4435,https://app.dimensions.ai/details/publication/pub.1042666371,10 Technology; 03 Chemical Sciences; 02 Physical Sciences,10 Technology,03 Chemical Sciences,02 Physical Sciences,,
74,400,pub.1057878455,10.1063/1.2840354,18298142,,Band structure built from oligomer calculations.,The Journal of Chemical Physics,,,2/21/08,2008,128,7,74109,Closed,Article,"Pomogaeva, Anna; Kirtman, Bernard; Gu, Feng Long; Aoki, Yoriko",,"Pomogaeva, Anna (Kyushu University); Kirtman, Bernard (); Gu, Feng Long (); Aoki, Yoriko ()",16,0,0.32,1.57,,https://app.dimensions.ai/details/publication/pub.1057878455,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
75,100,pub.1060623626,10.1103/physrevb.77.045102,,,Analysis of vector potential approach for calculating linear and nonlinear responses of infinite periodic systems to a finite static external electric field,Physical Review B,,,2008-01,2008,77,4,45102,Closed,Article,"Springborg, Michael; Kirtman, Bernard",,"Springborg, Michael (Saarland University); Kirtman, Bernard (University of California, Santa Barbara)",30,1,,2.95,,https://app.dimensions.ai/details/publication/pub.1060623626,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
76,400,pub.1057865467,10.1063/1.2770709,17764240,,Variational calculation of static and dynamic vibrational nonlinear optical properties.,The Journal of Chemical Physics,,,8/28/07,2007,127,8,84118,"All OA; Green, Published",Article,"Luis, Josep M; Torrent-Sucarrat, Miquel; Christiansen, Ove; Kirtman, Bernard",,"Luis, Josep M (University of Girona); Torrent-Sucarrat, Miquel (); Christiansen, Ove (); Kirtman, Bernard ()",26,2,0.75,5.39,https://dugi-doc.udg.edu/bitstream/10256/3273/1/524.pdf,https://app.dimensions.ai/details/publication/pub.1057865467,0205 Optical Physics; 02 Physical Sciences,0205 Optical Physics,02 Physical Sciences,,,
77,400,pub.1057858719,10.1063/1.2711202,17362061,,Efficient vector potential method for calculating electronic and nuclear response of infinite periodic systems to finite electric fields.,The Journal of Chemical Physics,,,3/14/07,2007,126,10,104107,Closed,Article,"Springborg, Michael; Kirtman, Bernard",,"Springborg, Michael (Saarland University); Kirtman, Bernard ()",29,3,0.63,2.89,,https://app.dimensions.ai/details/publication/pub.1057858719,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
