,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Carla M D'Antonio. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
24,100,pub.1052753238,10.1016/j.soilbio.2015.12.017,,,"Effects of substrate supply, pH, and char on net nitrogen mineralization and nitrification along a wildfire-structured age gradient in chaparral",Soil Biology and Biochemistry,,,2016-04,2016,95,Soil Biology Biochemistry 27 1995,87-99,Closed,Article,"Hanan, Erin J.; Schimel, Joshua P.; Dowdy, Kelsey; D'Antonio, Carla M.","Hanan, Erin J.","Hanan, Erin J. (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara); Dowdy, Kelsey (University of California, Santa Barbara); D'Antonio, Carla M. (University of California, Santa Barbara)",24,19,,6.34,,https://app.dimensions.ai/details/publication/pub.1052753238,0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences,
25,100,pub.1084747561,10.5822/978-1-61091-698-1_8,,,Invasive Species and Restoration Challenges,,Foundations of Restoration Ecology,,2016,2016,,,216-244,Closed,Chapter,"D’Antonio, Carla M.; August-Schmidt, Elizabeth; Fernandez-Going, Barbara",,"D’Antonio, Carla M. (); August-Schmidt, Elizabeth (); Fernandez-Going, Barbara ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1084747561,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
26,100,pub.1009000335,10.1007/978-3-319-24930-8_2,,,Exotic Annual Bromus Invasions: Comparisons Among Species and Ecoregions in the Western United States,Springer Series on Environmental Management,Exotic Brome-Grasses in Arid and Semiarid Ecosystems of the Western US,,2016,2016,,,11-60,Closed,Chapter,"Brooks, Matthew L.; Brown, Cynthia S.; Chambers, Jeanne C.; D’Antonio, Carla M.; Keeley, Jon E.; Belnap, Jayne","Brooks, Matthew L.","Brooks, Matthew L. (); Brown, Cynthia S. (Colorado State University); Chambers, Jeanne C. (Rocky Mountain Research Station); D’Antonio, Carla M. (University of California, Santa Barbara); Keeley, Jon E. (United States Geological Survey); Belnap, Jayne (United States Geological Survey)",29,14,,8.44,,https://app.dimensions.ai/details/publication/pub.1009000335,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
27,100,pub.1000284822,10.1016/j.rse.2015.10.024,,,Effects of fire severity and post-fire climate on short-term vegetation recovery of mixed-conifer and red fir forests in the Sierra Nevada Mountains of California,Remote Sensing of Environment,,,2015-12,2015,171,,311-325,Closed,Article,"Meng, Ran; Dennison, Philip E.; Huang, Chengquan; Moritz, Max A.; D'Antonio, Carla","Meng, Ran","Meng, Ran (University of Utah); Dennison, Philip E. (University of Utah); Huang, Chengquan (University of Maryland, College Park); Moritz, Max A. (University of California, Berkeley); D'Antonio, Carla (University of California, Santa Barbara)",33,18,,7.47,,https://app.dimensions.ai/details/publication/pub.1000284822,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
28,400,pub.1033777645,10.1890/14-2023.1,26649386,,Controls over native perennial grass exclusion and persistence in California grasslands invaded by annuals,Ecology,,"California; Computer Simulation; Grassland; Introduced Species; Models, Biological; Poaceae; Species Specificity; Uncertainty",2015-10,2015,96,10,2643-2652,All OA; Gold,Article,"Mordecai, Erin A.; Molinari, Nicole A.; Stahlheber, Karen A.; Gross, Kevin; D'Antonio, Carla",,"Mordecai, Erin A. (University of North Carolina System); Molinari, Nicole A. (University of California, Santa Barbara); Stahlheber, Karen A. (University of California, Santa Barbara); Gross, Kevin (); D'Antonio, Carla (University of California, Santa Barbara)",6,2,0,1.32,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/14-2023.1,https://app.dimensions.ai/details/publication/pub.1033777645,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
29,400,pub.1025453343,10.1890/14-2035.1,26594707,,The ghosts of trees past: savanna trees create enduring legacies in plant species composition,Ecology,,Biodiversity; California; Environmental Monitoring; Grassland; Quercus; Species Specificity; Time Factors; Trees,2015-09,2015,96,9,2510-2522,Closed,Article,"Stahlheber, Karen A.; Crispin, Kimberly L.; Anton, Cassidy; D'Antonio, Carla M.",,"Stahlheber, Karen A. (Michigan State University; University of Wisconsin–Madison); Crispin, Kimberly L. (University of California, Santa Barbara); Anton, Cassidy (University of California, Santa Barbara); D'Antonio, Carla M. (University of California, Santa Barbara)",12,5,0.21,2.84,,https://app.dimensions.ai/details/publication/pub.1025453343,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
30,100,pub.1026501130,10.2984/69.3.7,,,Preferential Associations of Invasive Lantana camara (Verbenaceae) in a Seasonally Dry Hawaiian Woodland1,Pacific Science,,,2015-07,2015,69,3,385-397,Closed,Article,"August-Schmidt, Elizabeth M.; Haro, Gianna; Bontrager, Anna; D'Antonio, Carla M.",,"August-Schmidt, Elizabeth M. (University of California, Santa Barbara); Haro, Gianna (University of California, Santa Barbara); Bontrager, Anna (University of California, Santa Barbara); D'Antonio, Carla M. (University of California, Santa Barbara)",3,0,,0.76,,https://app.dimensions.ai/details/publication/pub.1026501130,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
31,200,pub.1005383455,10.3732/ajb.1500105,26101408,,Taking the long view on the ecological effects of plant invasions,American Journal of Botany,,Ecological and Environmental Phenomena; Ecosystem; Herbivory; Introduced Species; Plants,2015-06-01,2015,102,6,817-818,All OA; Gold,Article,"Flory, S. Luke; D'Antonio, Carla M.",,"Flory, S. Luke (University of Florida); D'Antonio, Carla M. (University of California, Santa Barbara)",15,9,0.6,3.61,https://onlinelibrary.wiley.com/doi/pdf/10.3732/ajb.1500105,https://app.dimensions.ai/details/publication/pub.1005383455,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
32,400,pub.1031985792,10.1002/ece3.1294,25709807,PMC4314263,Evaluating nurse plants for restoring native woody species to degraded subtropical woodlands,Ecology and Evolution,,,2015-01,2015,5,2,300-313,All OA; Gold,Article,"Yelenik, Stephanie G.; DiManno, Nicole; D'Antonio, Carla M.",,"Yelenik, Stephanie G. (); DiManno, Nicole (University of Hawaii at Manoa); D'Antonio, Carla M. ()",13,4,0.25,3.02,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.1294,https://app.dimensions.ai/details/publication/pub.1031985792,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
33,100,pub.1026713048,10.1111/jvs.12212,,,Native and exotic plant species respond differently to wildfire and prescribed fire as revealed by meta‐analysis,Journal of Vegetation Science,,,2015-01,2015,26,1,102-113,Closed,Article,"Alba, Christina; Skálová, Hana; McGregor, Kirsty F.; D'Antonio, Carla; Pyšek, Petr",,"Alba, Christina (Academy of Sciences of the Czech Republic); Skálová, Hana (Academy of Sciences of the Czech Republic); McGregor, Kirsty F. (Academy of Sciences of the Czech Republic; Charles University); D'Antonio, Carla (University of California, Santa Barbara); Pyšek, Petr (Academy of Sciences of the Czech Republic; Charles University)",27,12,,5.29,,https://app.dimensions.ai/details/publication/pub.1026713048,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
34,400,pub.1044469449,10.1371/journal.pone.0110637,25337785,PMC4206446,Remote Sensing Analysis of Vegetation Recovery following Short-Interval Fires in Southern California Shrublands,PLoS ONE,,California; Climate; Ecosystem; Fires; Plant Development; Plant Dispersal; Plants; Remote Sensing Technology,2014-10-22,2014,9,10,e110637,All OA; Gold,Article,"Meng, Ran; Dennison, Philip E.; D’Antonio, Carla M.; Moritz, Max A.",,"Meng, Ran (University of Utah); Dennison, Philip E. (University of Utah); D’Antonio, Carla M. (University of California, Santa Barbara); Moritz, Max A. (University of California, Berkeley)",19,10,0.27,3.1,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0110637&type=printable,https://app.dimensions.ai/details/publication/pub.1044469449,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
35,100,pub.1004279848,10.1016/j.biocontrol.2014.04.010,,,Synergistic interactions between leaf beetle herbivory and fire enhance tamarisk (Tamarix spp.) mortality,Biological Control,,,2014-10,2014,77,,29-40,Closed,Article,"Drus, Gail M.; Dudley, Tom L.; D’Antonio, Carla M.; Even, Thomas J.; Brooks, Matt L.; Matchett, J.R.","Drus, Gail M.","Drus, Gail M. (Saint Francis University); Dudley, Tom L. (University of California, Santa Barbara); D’Antonio, Carla M. (University of California, Santa Barbara); Even, Thomas J. (University of California, Santa Barbara); Brooks, Matt L. (); Matchett, J.R. ()",9,5,,2.06,,https://app.dimensions.ai/details/publication/pub.1004279848,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
36,100,pub.1048137157,10.1111/rec.12103,,,Do Tree Canopies Enhance Perennial Grass Restoration in California Oak Savannas?,Restoration Ecology,,,2014-09,2014,22,5,574-581,Closed,Article,"Stahlheber, Karen A.; D'Antonio, Carla M.",,"Stahlheber, Karen A. (University of California, Santa Barbara); D'Antonio, Carla M. (University of California, Santa Barbara)",4,1,,0.79,,https://app.dimensions.ai/details/publication/pub.1048137157,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
37,100,pub.1006064749,10.1111/1365-2435.12206,,,"Structural, compositional and trait differences between native‐ and non‐native‐dominated grassland patches",Functional Ecology,,,2014-06,2014,28,3,745-754,All OA; Gold,Article,"Molinari, Nicole A.; D'Antonio, Carla M.",,"Molinari, Nicole A. (University of California, Santa Barbara); D'Antonio, Carla M. (University of California, Santa Barbara)",11,5,,2.18,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.12206,https://app.dimensions.ai/details/publication/pub.1006064749,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
38,100,pub.1007962816,10.2111/rem-d-12-00024.1,,,A Comparison of Bromus tectorum Growth and Mycorrhizal Colonization in Salt Desert vs. Sagebrush Habitats,Rangeland Ecology & Management,,,2014-05,2014,67,3,275-284,"All OA; Green, Accepted & Submitted",Article,"Haubensak, Karen A.; D'Antonio, Carla M.; Embry, Saundra; Blank, Robert",,"Haubensak, Karen A. (Agricultural Research Service); D'Antonio, Carla M. (Agricultural Research Service); Embry, Saundra (University of Nevada Reno); Blank, Robert (Agricultural Research Service)",11,5,,2.19,http://www.bioone.org/doi/pdf/10.1614/IPSM-D-16-00034.1,https://app.dimensions.ai/details/publication/pub.1007962816,0703 Crop and Pasture Production; 0602 Ecology; 0503 Soil Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,0602 Ecology,0503 Soil Sciences,0607 Plant Biology,05 Environmental Sciences
39,100,pub.1020760768,10.3120/0024-9637-61.2.218,,,How Does Simulated Gopher Disturbance Affect the Establishment of Holcus lanatus L. (Poaceae) in Calfornia Coastal Prairie?,Madroño,,,2014-04,2014,61,2,218-226,Closed,Article,"Thomsen, Meredith A; D'Antonio, Carla M",,"Thomsen, Meredith A (); D'Antonio, Carla M ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1020760768,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
40,100,pub.1017752505,10.1111/jbi.12285,,,"Pyrogeography, historical ecology, and the human dimensions of fire regimes",Journal of Biogeography,,,2014-04,2014,41,4,833-836,All OA; Gold,Article,"Roos, Christopher I.; Bowman, David M. J. S.; Balch, Jennifer K.; Artaxo, Paulo; Bond, William J.; Cochrane, Mark; D'Antonio, Carla M.; DeFries, Ruth; Mack, Michelle; Johnston, Fay H.; Krawchuk, Meg A.; Kull, Christian A.; Moritz, Max A.; Pyne, Stephen; Scott, Andrew C.; Swetnam, Thomas W.",,"Roos, Christopher I. (Southern Methodist University); Bowman, David M. J. S. (University of Tasmania); Balch, Jennifer K. (Pennsylvania State University); Artaxo, Paulo (University of Sao Paulo); Bond, William J. (University of Cape Town); Cochrane, Mark (South Dakota State University); D'Antonio, Carla M. (University of California, Santa Barbara); DeFries, Ruth (Columbia University); Mack, Michelle (University of Florida); Johnston, Fay H. (University of Tasmania); Krawchuk, Meg A. (Simon Fraser University); Kull, Christian A. (Monash University); Moritz, Max A. (University of California, Berkeley); Pyne, Stephen (Arizona State University); Scott, Andrew C. (Royal Holloway University of London); Swetnam, Thomas W. (University of Arizona)",18,5,,2.94,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jbi.12285,https://app.dimensions.ai/details/publication/pub.1017752505,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
41,100,pub.1031781113,10.1007/s10021-013-9725-5,,,"Resilience to Stress and Disturbance, and Resistance to Bromus tectorum L. Invasion in Cold Desert Shrublands of Western North America",Ecosystems,,,2014-03,2014,17,2,360-375,"All OA; Green, Accepted & Submitted",Article,"Chambers, Jeanne C.; Bradley, Bethany A.; Brown, Cynthia S.; D’Antonio, Carla; Germino, Matthew J.; Grace, James B.; Hardegree, Stuart P.; Miller, Richard F.; Pyke, David A.","Chambers, Jeanne C.","Chambers, Jeanne C. (); Bradley, Bethany A. (University of Massachusetts Amherst); Brown, Cynthia S. (Colorado State University); D’Antonio, Carla (University of California, Santa Barbara); Germino, Matthew J. (); Grace, James B. (); Hardegree, Stuart P. (Agricultural Research Service); Miller, Richard F. (Oregon State University); Pyke, David A. (United States Geological Survey)",148,67,,29.22,http://people.umass.edu/bethanyb/Chambers%20et%20al.%202014.pdf,https://app.dimensions.ai/details/publication/pub.1031781113,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
42,400,pub.1011990875,10.1890/13-0776.1,24640532,,Integrated assessment of biological invasions,Ecological Applications,,"Animals; Astacoidea; Celastrus; Demography; Introduced Species; Models, Biological; Models, Statistical; Mytilus; United States",2014-01,2014,24,1,25-37,"All OA; Green, Accepted & Submitted",Article,"Ibáñez, Inés; Diez, Jeffrey M.; Miller, Luke P.; Olden, Julian D.; Sorte, Cascade J. B.; Blumenthal, Dana M.; Bradley, Bethany A.; D'Antonio, Carla M.; Dukes, Jeffrey S.; Early, Regan I.; Grosholz, Edwin D.; Lawler, Joshua J.",,"Ibáñez, Inés (University of Michigan); Diez, Jeffrey M. (University of Michigan); Miller, Luke P. (Stanford University); Olden, Julian D. (University of Washington); Sorte, Cascade J. B. (University of Massachusetts Boston); Blumenthal, Dana M. (Agricultural Research Service); Bradley, Bethany A. (); D'Antonio, Carla M. (University of California, Santa Barbara); Dukes, Jeffrey S. (Purdue University West Lafayette); Early, Regan I. (University of Évora); Grosholz, Edwin D. (University of California, Davis); Lawler, Joshua J. (University of Washington)",33,6,0.83,6.52,https://deepblue.lib.umich.edu/bitstream/2027.42/116966/1/eap201424125.pdf,https://app.dimensions.ai/details/publication/pub.1011990875,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
43,400,pub.1047037298,10.1111/gcb.12370,24038796,,Predicting invasion in grassland ecosystems: is exotic dominance the real embarrassment of richness?,Global Change Biology,,Biodiversity; Ecosystem; Introduced Species; Plant Dispersal; Poaceae,2013-12,2013,19,12,3677-3687,"All OA; Green, Published",Article,"Seabloom, Eric W.; Borer, Elizabeth T.; Buckley, Yvonne; Cleland, Elsa E.; Davies, Kendi; Firn, Jennifer; Harpole, W. Stanley; Hautier, Yann; Lind, Eric; MacDougall, Andrew; Orrock, John L.; Prober, Suzanne M.; Adler, Peter; Alberti, Juan; Anderson, T. Michael; Bakker, Jonathan D.; Biederman, Lori A.; Blumenthal, Dana; Brown, Cynthia S.; Brudvig, Lars A.; Caldeira, Maria; Chu, Chengjin; Crawley, Michael J.; Daleo, Pedro; Damschen, Ellen I.; D'Antonio, Carla M.; DeCrappeo, Nicole M.; Dickman, Chris R.; Du, Guozhen; Fay, Philip A.; Frater, Paul; Gruner, Daniel S.; Hagenah, Nicole; Hector, Andrew; Helm, Aveliina; Hillebrand, Helmut; Hofmockel, Kirsten S.; Humphries, Hope C.; Iribarne, Oscar; Jin, Virginia L.; Kay, Adam; Kirkman, Kevin P.; Klein, Julia A.; Knops, Johannes M. H.; La Pierre, Kimberly J.; Ladwig, Laura M.; Lambrinos, John G.; Leakey, Andrew D. B.; Li, Qi; Li, Wei; McCulley, Rebecca; Melbourne, Brett; Mitchell, Charles E.; Moore, Joslin L.; Morgan, John; Mortensen, Brent; O'Halloran, Lydia R.; Pärtel, Meelis; Pascual, Jesús; Pyke, David A.; Risch, Anita C.; Salguero‐Gómez, Roberto; Sankaran, Mahesh; Schuetz, Martin; Simonsen, Anna; Smith, Melinda; Stevens, Carly; Sullivan, Lauren; Wardle, Glenda M.; Wolkovich, Elizabeth M.; Wragg, Peter D.; Wright, Justin; Yang, Louie",,"Seabloom, Eric W. (); Borer, Elizabeth T. (); Buckley, Yvonne (University of Queensland); Cleland, Elsa E. (); Davies, Kendi (University of Colorado Boulder); Firn, Jennifer (Queensland University of Technology); Harpole, W. Stanley (Iowa State University); Hautier, Yann (University of Zurich); Lind, Eric (); MacDougall, Andrew (University of Guelph); Orrock, John L. (University of Wisconsin–Madison); Prober, Suzanne M. (Ecosystem Sciences); Adler, Peter (Utah State University); Alberti, Juan (); Anderson, T. Michael (Wake Forest University); Bakker, Jonathan D. (University of Washington); Biederman, Lori A. (Iowa State University); Blumenthal, Dana (Agricultural Research Service); Brown, Cynthia S. (Colorado State University); Brudvig, Lars A. (Michigan State University); Caldeira, Maria (University of Lisbon); Chu, Chengjin (Lanzhou University); Crawley, Michael J. (Imperial College London); Daleo, Pedro (); Damschen, Ellen I. (University of Wisconsin–Madison); D'Antonio, Carla M. (University of California, Santa Barbara); DeCrappeo, Nicole M. (United States Geological Survey); Dickman, Chris R. (University of Sydney); Du, Guozhen (Lanzhou University); Fay, Philip A. (); Frater, Paul (Iowa State University); Gruner, Daniel S. (University of Maryland, College Park); Hagenah, Nicole (University of KwaZulu-Natal; Yale University); Hector, Andrew (University of Zurich); Helm, Aveliina (University of Tartu); Hillebrand, Helmut (); Hofmockel, Kirsten S. (Iowa State University); Humphries, Hope C. (University of Colorado Boulder); Iribarne, Oscar (); Jin, Virginia L. (); Kay, Adam (University of St. Thomas - Minnesota); Kirkman, Kevin P. (University of KwaZulu-Natal); Klein, Julia A. (Colorado State University); Knops, Johannes M. H. (University of Nebraska–Lincoln); La Pierre, Kimberly J. (Yale University); Ladwig, Laura M. (University of New Mexico); Lambrinos, John G. (Oregon State University); Leakey, Andrew D. B. (University of Illinois at Urbana Champaign); Li, Qi (Chinese Academy of Sciences); Li, Wei (Southwest Forestry University); McCulley, Rebecca (University of Kentucky); Melbourne, Brett (University of Colorado Boulder); Mitchell, Charles E. (University of North Carolina System); Moore, Joslin L. (University of Melbourne); Morgan, John (La Trobe University); Mortensen, Brent (Iowa State University); O'Halloran, Lydia R. (Oregon State University); Pärtel, Meelis (University of Tartu); Pascual, Jesús (); Pyke, David A. (United States Geological Survey); Risch, Anita C. (); Salguero‐Gómez, Roberto (University of Queensland); Sankaran, Mahesh (Tata Institute of Fundamental Research); Schuetz, Martin (); Simonsen, Anna (University of Toronto); Smith, Melinda (Colorado State University); Stevens, Carly (Lancaster University); Sullivan, Lauren (Iowa State University); Wardle, Glenda M. (University of Sydney); Wolkovich, Elizabeth M. (University of British Columbia); Wragg, Peter D. (); Wright, Justin (Duke University); Yang, Louie (University of California, Davis)",42,13,1.03,6.87,https://repository.si.edu/bitstream/handle/10088/35820/Seabloom_et_al_2013_Global_Change_Biology.pdf;https://repository.si.edu/bitstream/handle/10088/35820/Seabloom_et_al_2013_Global_Change_Biology.pdf,https://app.dimensions.ai/details/publication/pub.1047037298,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
44,400,pub.1005976871,10.1038/nature12798,24256723,,Self-reinforcing impacts of plant invasions change over time,Nature,,"Biomass; Ecosystem; Feedback, Physiological; Fires; Hawaii; Introduced Species; Nitrogen; Nitrogen Fixation; Poaceae; Seedlings; Soil; Species Specificity; Time Factors; Volcanic Eruptions",2013-11,2013,503,7477,517-520,Closed,Article,"Yelenik, Stephanie G.; D’Antonio, Carla M.","Yelenik, Stephanie G.","Yelenik, Stephanie G. (University of California, Santa Barbara); D’Antonio, Carla M. (University of California, Santa Barbara)",66,21,1.14,12.1,,https://app.dimensions.ai/details/publication/pub.1005976871,0602 Ecology; 0607 Plant Biology; 0501 Ecological Applications; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0607 Plant Biology,0501 Ecological Applications,06 Biological Sciences,05 Environmental Sciences
45,400,pub.1047093449,10.1371/journal.pone.0066289,23840435,PMC3688783,Non-Additive Effects on Decomposition from Mixing Litter of the Invasive Mikania micrantha H.B.K. with Native Plants,PLoS ONE,,"China; Ficus; Introduced Species; Mikania; Nitrogen Compounds; Plant Components, Aerial; Plant Weeds",2013-06-20,2013,8,6,e66289,All OA; Gold,Article,"Chen, Bao-Ming; Peng, Shao-Lin; D’Antonio, Carla M.; Li, Dai-Jiang; Ren, Wen-Tao",,"Chen, Bao-Ming (Sun Yat-sen University); Peng, Shao-Lin (Sun Yat-sen University); D’Antonio, Carla M. (University of California, Santa Barbara); Li, Dai-Jiang (Sun Yat-sen University); Ren, Wen-Tao (Sun Yat-sen University)",17,5,0.31,2.78,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0066289&type=printable,https://app.dimensions.ai/details/publication/pub.1047093449,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
46,400,pub.1046773589,10.1111/nyas.12104,23581682,,Bounded ranges of variation as a framework for future conservation and fire management,Annals of the New York Academy of Sciences,,,2013-05,2013,1286,1,92-107,Closed,Article,"Moritz, Max A.; Hurteau, Matthew D.; Suding, Katharine N.; D'Antonio, Carla M.",,"Moritz, Max A. (); Hurteau, Matthew D. (); Suding, Katharine N. (); D'Antonio, Carla M. ()",32,7,0.54,5.64,,https://app.dimensions.ai/details/publication/pub.1046773589,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
47,400,pub.1034059968,10.1111/ele.12017,23062213,,Poised to prosper? A cross‐system comparison of climate change effects on native and non‐native species performance,Ecology Letters,,Carbon Dioxide; Climate Change; Ecosystem; Introduced Species; Plant Physiological Phenomena; Temperature,2013-02,2013,16,2,261-270,All OA; Gold,Article,"Sorte, Cascade J. B.; Ibáñez, Ines; Blumenthal, Dana M.; Molinari, Nicole A.; Miller, Luke P.; Grosholz, Edwin D.; Diez, Jeffrey M.; D'Antonio, Carla M.; Olden, Julian D.; Jones, Sierra J.; Dukes, Jeffrey S.",,"Sorte, Cascade J. B. (University of Massachusetts Boston); Ibáñez, Ines (University of Michigan); Blumenthal, Dana M. (Agricultural Research Service); Molinari, Nicole A. (University of California, Santa Barbara); Miller, Luke P. (Stanford University); Grosholz, Edwin D. (University of California, Davis); Diez, Jeffrey M. (Swiss Federal Institute of Technology in Zurich); D'Antonio, Carla M. (University of California, Santa Barbara); Olden, Julian D. (University of Washington); Jones, Sierra J. (University of South Carolina); Dukes, Jeffrey S. (Purdue University West Lafayette)",636,49,2.78,103.97,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ele.12017,https://app.dimensions.ai/details/publication/pub.1034059968,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
48,400,pub.1029211764,10.1111/gcb.12046,23504729,,Introduced annual grass increases regional fire activity across the arid western USA (1980–2009),Global Change Biology,,Fires; Poaceae; United States,2013-01,2013,19,1,173-183,Closed,Article,"Balch, Jennifer K.; Bradley, Bethany A.; D'Antonio, Carla M.; Gómez‐Dans, José",,"Balch, Jennifer K. (Pennsylvania State University; University of California, Santa Barbara); Bradley, Bethany A. (University of Massachusetts Amherst); D'Antonio, Carla M. (University of California, Santa Barbara); Gómez‐Dans, José ()",255,97,3.56,52.43,,https://app.dimensions.ai/details/publication/pub.1029211764,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
49,100,pub.1045188326,10.1016/j.biocon.2012.09.008,,,Using livestock to manage plant composition: A meta-analysis of grazing in California Mediterranean grasslands,Biological Conservation,,,2013-01,2013,157,Rangeland Ecol. Manage. 64 2011,300-308,Closed,Article,"Stahlheber, Karen A.; D’Antonio, Carla M.","Stahlheber, Karen A.","Stahlheber, Karen A. (University of California, Santa Barbara); D’Antonio, Carla M. (University of California, Santa Barbara)",27,6,,4.76,,https://app.dimensions.ai/details/publication/pub.1045188326,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
