,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Roger M Nisbet. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
26,400,pub.1006031767,10.1890/14-0498.1,26552275,,Relating suborganismal processes to ecotoxicological and population level endpoints using a bioenergetic model,Ecological Applications,,"Animals; Daphnia; Energy Metabolism; Environmental Pollutants; Feeding Behavior; Hot Temperature; Models, Biological; Population Dynamics; Reproduction; Stress, Physiological; Toxicogenetics",2015-09,2015,25,6,1691-1710,"All OA; Green, Accepted & Submitted",Article,"Ananthasubramaniam, Bharath; McCauley, Edward; Gust, Kurt A.; Kennedy, Alan J.; Muller, Erik B.; Perkins, Edward J.; Nisbet, Roger M.",,"Ananthasubramaniam, Bharath (Charité – University Medicine Berlin; University of California, Santa Barbara); McCauley, Edward (University of California, Santa Barbara; University of Calgary); Gust, Kurt A. (Engineer Research and Development Center); Kennedy, Alan J. (Engineer Research and Development Center); Muller, Erik B. (University of California, Santa Barbara); Perkins, Edward J. (Engineer Research and Development Center); Nisbet, Roger M. (University of California, Santa Barbara)",13,7,1.01,2.09,https://escholarship.org/content/qt0pj879qk/qt0pj879qk.pdf?t=pt89nj,https://app.dimensions.ai/details/publication/pub.1006031767,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
27,400,pub.1050249527,10.1111/ele.12433,25858695,,Sport science for salmon and other species: ecological consequences of metabolic power constraints,Ecology Letters,,"Adenosine Triphosphate; Animal Migration; Animals; Ecology; Glycogen; Models, Theoretical; Rivers; Salmon; Swimming; Telemetry; Temperature; Water Movements",2015-06,2015,18,6,535-544,Closed,Article,"Martin, B. T.; Nisbet, R. M.; Pike, A.; Michel, C. J.; Danner, E. M.",,"Martin, B. T. (University of California, Santa Barbara); Nisbet, R. M. (University of California, Santa Barbara); Pike, A. (); Michel, C. J. (); Danner, E. M. ()",14,6,1.19,2.75,,https://app.dimensions.ai/details/publication/pub.1050249527,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
28,200,pub.1009424159,10.1093/biosci/biv013,,,Dynamic Energy Budget Theory: An Efficient and General Theory for Ecology,BioScience,,,2015-02-28,2015,65,4,341-341,All OA; Gold,Article,"Kearney, Michael R.; Domingos, Tiago; Nisbet, Roger",,"Kearney, Michael R. (); Domingos, Tiago (); Nisbet, Roger ()",5,2,,,https://academic.oup.com/bioscience/article-pdf/65/4/341/19417065/biv013.pdf,https://app.dimensions.ai/details/publication/pub.1009424159,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
29,400,pub.1047120830,10.1890/14-0656.1,29185666,,Limitations of extrapolating toxic effects on reproduction to the population level,Ecological Applications,,"Animals; Daphnia; Models, Biological; Population Dynamics; Reproduction; Stress, Physiological; Time Factors; Water Pollutants, Chemical",2014-12,2014,24,8,1972-1983,Closed,Article,"Martin, Benjamin; Jager, Tjalling; Nisbet, Roger M.; Preuss, Thomas G.; Grimm, Volker",,"Martin, Benjamin (Helmholtz Centre for Environmental Research; University of California, Santa Barbara); Jager, Tjalling (VU University Amsterdam); Nisbet, Roger M. (University of California, Santa Barbara); Preuss, Thomas G. (RWTH Aachen University); Grimm, Volker (Helmholtz Centre for Environmental Research; University of Potsdam; German Center for Integrative Biodiversity Research)",20,11,1.7,3.26,,https://app.dimensions.ai/details/publication/pub.1047120830,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
30,400,pub.1055508280,10.1021/es5031646,25354168,,Soybean plants modify metal oxide nanoparticle effects on soil bacterial communities.,Environmental Science & Technology,,Bacteria; Cerium; Metal Nanoparticles; Soil Microbiology; Soil Pollutants; Soybeans; Zinc Oxide,2014-11-18,2014,48,22,13489-96,Closed,Article,"Ge, Yuan; Priester, John H.; Van De Werfhorst, Laurie C.; Walker, Sharon L.; Nisbet, Roger M.; An, Youn-Joo; Schimel, Joshua P.; Gardea-Torresdey, Jorge L.; Holden, Patricia A.",,"Ge, Yuan (); Priester, John H. (); Van De Werfhorst, Laurie C. (); Walker, Sharon L. (University of California, Riverside); Nisbet, Roger M. (University of California, Santa Barbara); An, Youn-Joo (Konkuk University); Schimel, Joshua P. (University of California, Santa Barbara); Gardea-Torresdey, Jorge L. (The University of Texas at El Paso); Holden, Patricia A. ()",37,15,2.24,7.12,,https://app.dimensions.ai/details/publication/pub.1055508280,0605 Microbiology; 0503 Soil Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0605 Microbiology,0503 Soil Sciences,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
31,400,pub.1036867251,10.1007/s11538-014-0014-z,25348060,,Consequences of Dispersal Heterogeneity for Population Spread and Persistence,Bulletin of Mathematical Biology,,"Animals; Ecosystem; Mathematical Concepts; Models, Biological; Population Dynamics; Reproduction",2014-11,2014,76,11,2681-2710,"All OA; Green, Accepted & Submitted",Article,"Stover, Joseph P.; Kendall, Bruce E.; Nisbet, Roger M.","Stover, Joseph P.","Stover, Joseph P. (University of California, Santa Barbara; Lyon College); Kendall, Bruce E. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara)",5,2,0.24,0.65,https://escholarship.org/content/qt7s4995x4/qt7s4995x4.pdf?t=nezgr1,https://app.dimensions.ai/details/publication/pub.1036867251,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
32,100,pub.1014683039,10.1016/j.seares.2013.12.013,,,Impact of engineered zinc oxide nanoparticles on the energy budgets of Mytilus galloprovincialis,Journal of Sea Research,,,2014-11,2014,94,,29-36,Closed,Article,"Muller, Erik B.; Hanna, Shannon K.; Lenihan, Hunter S.; Miller, Robert J.; Nisbet, Roger M.","Muller, Erik B.","Muller, Erik B. (University of California, Santa Barbara); Hanna, Shannon K. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara)",19,10,,2.66,,https://app.dimensions.ai/details/publication/pub.1014683039,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
33,400,pub.1012138112,10.1111/gcb.12547,24526588,,Dynamic energy budget modeling reveals the potential of future growth and calcification for the coccolithophore Emiliania huxleyi in an acidified ocean,Global Change Biology,,"Calcification, Physiologic; Carbonates; Climate Change; Energy Metabolism; Haptophyta; Hydrogen-Ion Concentration; Models, Biological; Phytoplankton; Seawater",2014-06,2014,20,6,2031-2038,Closed,Article,"Muller, Erik B.; Nisbet, Roger M.",,"Muller, Erik B. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara)",18,5,0.35,,,https://app.dimensions.ai/details/publication/pub.1012138112,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
34,400,pub.1049431611,10.1111/1365-2656.12085,23668377,,Reconciling theories for metabolic scaling,Journal of Animal Ecology,,"Animals; Ecosystem; Energy Metabolism; Models, Biological; Oxygen Consumption",2014-01,2014,83,1,20-29,All OA; Gold,Article,"Maino, James L.; Kearney, Michael R.; Nisbet, Roger M.; Kooijman, Sebastiaan A. L. M.",,"Maino, James L. (University of Melbourne); Kearney, Michael R. (University of Melbourne); Nisbet, Roger M. (University of California, Santa Barbara); Kooijman, Sebastiaan A. L. M. (VU University Amsterdam)",50,17,2.6,8.16,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2656.12085,https://app.dimensions.ai/details/publication/pub.1049431611,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
35,200,pub.1096916190,10.1515/9781400847259,,,Consumer-Resource Dynamics (MPB-36),,,,2013-12-31,2013,,,,Closed,Monograph,"Murdoch, William W.; Briggs, Cheryl J.; Nisbet, Roger M.",,"Murdoch, William W. (); Briggs, Cheryl J. (); Nisbet, Roger M. ()",5,2,,,,https://app.dimensions.ai/details/publication/pub.1096916190,,,,,,
36,400,pub.1043688745,10.1371/journal.pone.0074456,24086348,PMC3781102,Environmental Feedbacks and Engineered Nanoparticles: Mitigation of Silver Nanoparticle Toxicity to Chlamydomonas reinhardtii by Algal-Produced Organic Compounds,PLoS ONE,,"Batch Cell Culture Techniques; Carbon; Chlamydomonas reinhardtii; Citrates; Environmental Monitoring; Feedback; Ions; Metal Nanoparticles; Models, Biological; Nanotechnology; Organic Chemicals",2013-09-23,2013,8,9,e74456,All OA; Gold,Article,"Stevenson, Louise M.; Dickson, Helen; Klanjscek, Tin; Keller, Arturo A.; McCauley, Edward; Nisbet, Roger M.",,"Stevenson, Louise M. (University of California, Santa Barbara); Dickson, Helen (University of California, Santa Barbara); Klanjscek, Tin (University of California, Santa Barbara; Rudjer Boskovic Institute); Keller, Arturo A. (University of California, Santa Barbara); McCauley, Edward (University of California, Santa Barbara; University of Calgary); Nisbet, Roger M. (University of California, Santa Barbara)",33,13,2.22,5.89,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0074456&type=printable,https://app.dimensions.ai/details/publication/pub.1043688745,10 Technology; 03 Chemical Sciences; 1007 Nanotechnology; 0399 Other Chemical Sciences,10 Technology,03 Chemical Sciences,1007 Nanotechnology,0399 Other Chemical Sciences,
37,100,pub.1021335335,10.1016/j.ecolmodel.2013.06.011,,,Modeling the influence of flow on invertebrate drift across spatial scales using a 2D hydraulic model and a 1D population model,Ecological Modelling,,,2013-09,2013,265,,207-220,"All OA; Green, Published",Article,"Anderson, Kurt E.; Harrison, Lee R.; Nisbet, Roger M.; Kolpas, Allison","Anderson, Kurt E.","Anderson, Kurt E. (University of California, Riverside); Harrison, Lee R. (); Nisbet, Roger M. (University of California, Santa Barbara); Kolpas, Allison (West Chester University)",20,8,,2.87,https://escholarship.org/content/qt7z33b073/qt7z33b073.pdf?t=o2owfa,https://app.dimensions.ai/details/publication/pub.1021335335,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
38,400,pub.1006616929,10.1002/smll.201201700,23027589,,Implementation of a Multidisciplinary Approach to Solve Complex Nano EHS Problems by the UC Center for the Environmental Implications of Nanotechnology,Small,,Environment; Environmental Pollutants; Nanostructures; Nanotechnology; United States; United States Environmental Protection Agency,2013-05-27,2013,9,9‐10,1428-1443,Closed,Article,"Xia, Tian; Malasarn, Davin; Lin, Sijie; Ji, Zhaoxia; Zhang, Haiyuan; Miller, Robert J.; Keller, Arturo A.; Nisbet, Roger M.; Harthorn, Barbara H.; Godwin, Hilary A.; Lenihan, Hunter S.; Liu, Rong; Gardea‐Torresdey, Jorge; Cohen, Yoram; Mädler, Lutz; Holden, Patricia A.; Zink, Jeffrey I.; Nel, Andre E.",,"Xia, Tian (University of California Los Angeles); Malasarn, Davin (University of California Los Angeles); Lin, Sijie (University of California Los Angeles); Ji, Zhaoxia (University of California Los Angeles); Zhang, Haiyuan (University of California Los Angeles); Miller, Robert J. (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara); Harthorn, Barbara H. (University of California, Santa Barbara); Godwin, Hilary A. (University of California Los Angeles); Lenihan, Hunter S. (University of California, Santa Barbara); Liu, Rong (University of California Los Angeles); Gardea‐Torresdey, Jorge (The University of Texas at El Paso); Cohen, Yoram (University of California Los Angeles); Mädler, Lutz (University of Bremen); Holden, Patricia A. (University of California, Santa Barbara); Zink, Jeffrey I. (University of California Los Angeles); Nel, Andre E. (University of California Los Angeles)",23,4,0.99,4.3,,https://app.dimensions.ai/details/publication/pub.1006616929,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
39,400,pub.1004426918,10.1371/journal.pone.0061800,23613941,PMC3629123,Impact of Engineered Zinc Oxide Nanoparticles on the Individual Performance of Mytilus galloprovincialis,PLoS ONE,,Animals; Least-Squares Analysis; Mytilus; Nanoparticles; Nanotechnology; Zinc; Zinc Oxide,2013-04-17,2013,8,4,e61800,All OA; Gold,Article,"Hanna, Shannon K.; Miller, Robert J.; Muller, Erik B.; Nisbet, Roger M.; Lenihan, Hunter S.",,"Hanna, Shannon K. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Muller, Erik B. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara); Lenihan, Hunter S. (University of California, Santa Barbara)",33,9,2.03,4.73,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0061800&type=printable,https://app.dimensions.ai/details/publication/pub.1004426918,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
40,400,pub.1058853730,10.1086/669904,23535615,,Predicting population dynamics from the properties of individuals: a cross-level test of dynamic energy budget theory.,The American Naturalist,,"Animals; Computer Simulation; Daphnia; Energy Metabolism; Food Chain; Food Deprivation; Models, Biological; Population Dynamics; Reproduction",2013-04,2013,181,4,506-19,Closed,Article,"Martin, Benjamin T; Jager, Tjalling; Nisbet, Roger M; Preuss, Thomas G; Grimm, Volker",,"Martin, Benjamin T (); Jager, Tjalling (); Nisbet, Roger M (); Preuss, Thomas G (); Grimm, Volker ()",56,17,2.58,,,https://app.dimensions.ai/details/publication/pub.1058853730,06 Biological Sciences,06 Biological Sciences,,,,
41,400,pub.1046226151,10.1007/s10646-013-1049-x,23430409,,Extrapolating ecotoxicological effects from individuals to populations: a generic approach based on Dynamic Energy Budget theory and individual-based modeling,Ecotoxicology,,"Aniline Compounds; Animals; Daphnia; Ecotoxicology; Environmental Exposure; Environmental Pollutants; Models, Theoretical",2013-04,2013,22,3,574-583,Closed,Article,"Martin, Benjamin T.; Jager, Tjalling; Nisbet, Roger M.; Preuss, Thomas G.; Hammers-Wirtz, Monika; Grimm, Volker","Martin, Benjamin T.","Martin, Benjamin T. (Helmholtz Centre for Environmental Research); Jager, Tjalling (VU University Amsterdam); Nisbet, Roger M. (University of California, Santa Barbara); Preuss, Thomas G. (RWTH Aachen University); Hammers-Wirtz, Monika (); Grimm, Volker (Helmholtz Centre for Environmental Research; University of Potsdam)",53,19,3.08,9.91,,https://app.dimensions.ai/details/publication/pub.1046226151,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
42,100,pub.1048208342,10.1890/12-0650.1,,,Bayesian inference for bioenergetic models,Ecology,,,2013-04,2013,94,4,882-894,Closed,Article,"Johnson, Leah R.; Pecquerie, Laure; Nisbet, Roger M.",,"Johnson, Leah R. (University of California, Santa Barbara); Pecquerie, Laure (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara)",13,8,,2.33,,https://app.dimensions.ai/details/publication/pub.1048208342,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
43,400,pub.1055150219,10.1021/ar300069t,23039211,,"Ecological nanotoxicology: integrating nanomaterial hazard considerations across the subcellular, population, community, and ecosystems levels.",Accounts of Chemical Research,,Animals; Ecology; Ecosystem; Humans; Nanostructures; Quantum Dots; Risk Factors; Toxicity Tests,2013-03-19,2013,46,3,813-22,Closed,Article,"Holden, Patricia A.; Nisbet, Roger M.; Lenihan, Hunter S.; Miller, Robert J.; Cherr, Gary N.; Schimel, Joshua P.; Gardea-Torresdey, Jorge L.",,"Holden, Patricia A. (); Nisbet, Roger M. (University of California, Santa Barbara); Lenihan, Hunter S. (); Miller, Robert J. (); Cherr, Gary N. (University of California, Davis); Schimel, Joshua P. (University of California, Santa Barbara); Gardea-Torresdey, Jorge L. (The University of Texas at El Paso)",85,23,4.37,,,https://app.dimensions.ai/details/publication/pub.1055150219,03 Chemical Sciences,03 Chemical Sciences,,,,
44,400,pub.1024649959,10.1007/s10646-012-1028-7,23291788,,Dynamic energy budget approach to modeling mechanisms of CdSe quantum dot toxicity,Ecotoxicology,,"Cadmium Compounds; Dose-Response Relationship, Drug; Energy Metabolism; Kinetics; Microbial Viability; Models, Biological; Oxidative Stress; Pseudomonas aeruginosa; Quantum Dots; Reactive Oxygen Species; Selenium Compounds; Solubility; Toxicity Tests",2013-03,2013,22,2,319-330,Closed,Article,"Klanjscek, Tin; Nisbet, Roger M.; Priester, John H.; Holden, Patricia A.","Klanjscek, Tin","Klanjscek, Tin (University of California, Santa Barbara; Rudjer Boskovic Institute); Nisbet, Roger M. (University of California, Santa Barbara); Priester, John H. (University of California, Santa Barbara); Holden, Patricia A. (University of California, Santa Barbara)",16,3,0.9,,,https://app.dimensions.ai/details/publication/pub.1024649959,03 Chemical Sciences; 05 Environmental Sciences; 06 Biological Sciences,03 Chemical Sciences,05 Environmental Sciences,06 Biological Sciences,,
45,200,pub.1001325577,10.1073/pnas.1215763109,,PMC3523820,Reply to Lombi et al.: Clear effects of manufactured nanomaterials to soybean,Proceedings of the National Academy of Sciences,,,2012-12-04,2012,109,49,e3337-e3337,All OA; Gold,Article,"Priester, John H.; Ge, Yuan; Mielke, Randall E.; Horst, Allison M.; Moritz, Shelly Cole; Espinosa, Katherine; Gelb, Jeff; Walker, Sharon L.; Nisbet, Roger M.; An, Youn-Joo; Schimel, Joshua P.; Palmer, Reid G.; Hernandez-Viezcas, Jose A.; Zhao, Lijuan; Gardea-Torresdey, Jorge L.; Holden, Patricia A.",,"Priester, John H. (); Ge, Yuan (); Mielke, Randall E. (California Institute of Technology); Horst, Allison M. (); Moritz, Shelly Cole (); Espinosa, Katherine (Iowa State University); Gelb, Jeff (); Walker, Sharon L. (University of California, Riverside); Nisbet, Roger M. (University of California, Santa Barbara); An, Youn-Joo (Konkuk University); Schimel, Joshua P. (University of California, Santa Barbara); Palmer, Reid G. (Iowa State University); Hernandez-Viezcas, Jose A. (The University of Texas at El Paso); Zhao, Lijuan (The University of Texas at El Paso); Gardea-Torresdey, Jorge L. (The University of Texas at El Paso); Holden, Patricia A. ()",1,0,,,http://www.pnas.org/content/109/49/E3337.full.pdf,https://app.dimensions.ai/details/publication/pub.1001325577,,,,,,
46,400,pub.1011265828,10.1073/pnas.1205431109,22908279,PMC3443164,Soybean susceptibility to manufactured nanomaterials with evidence for food quality and soil fertility interruption,Proceedings of the National Academy of Sciences,,"Agriculture; Cerium; Chromatography, Gas; Fertility; Food Quality; Mass Spectrometry; Microscopy, Electron; Nanostructures; Nanotechnology; Nitrogen Fixation; Soil Pollutants; Soybeans; X-Ray Absorption Spectroscopy; Zinc Oxide",2012-09-11,2012,109,37,e2451-e2456,All OA; Gold,Article,"Priester, John H.; Ge, Yuan; Mielke, Randall E.; Horst, Allison M.; Moritz, Shelly Cole; Espinosa, Katherine; Gelb, Jeff; Walker, Sharon L.; Nisbet, Roger M.; An, Youn-Joo; Schimel, Joshua P.; Palmer, Reid G.; Hernandez-Viezcas, Jose A.; Zhao, Lijuan; Gardea-Torresdey, Jorge L.; Holden, Patricia A.",,"Priester, John H. (University of California, Santa Barbara); Ge, Yuan (University of California, Santa Barbara); Mielke, Randall E. (University of California, Santa Barbara; California Institute of Technology); Horst, Allison M. (University of California, Santa Barbara); Moritz, Shelly Cole (); Espinosa, Katherine (Iowa State University); Gelb, Jeff (Carl Zeiss (United States)); Walker, Sharon L. (University of California, Riverside); Nisbet, Roger M. (University of California, Santa Barbara); An, Youn-Joo (Konkuk University); Schimel, Joshua P. (University of California, Santa Barbara); Palmer, Reid G. (Iowa State University); Hernandez-Viezcas, Jose A. (University of California, Santa Barbara; The University of Texas at El Paso); Zhao, Lijuan (University of California, Santa Barbara; The University of Texas at El Paso); Gardea-Torresdey, Jorge L. (University of California, Santa Barbara; The University of Texas at El Paso); Holden, Patricia A. (University of California, Santa Barbara)",227,66,9.19,39.39,http://www.pnas.org/content/109/37/E2451.full.pdf,https://app.dimensions.ai/details/publication/pub.1011265828,0703 Crop and Pasture Production; 0503 Soil Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,0503 Soil Sciences,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
47,100,pub.1046111825,10.1016/j.ecolmodel.2012.04.013,,,"Size dependence, facilitation, and microhabitats mediate space competition between coral and crustose coralline algae in a spatially explicit model",Ecological Modelling,,,2012-07,2012,237,,23-33,Closed,Article,"Buenau, Kate E.; Price, Nichole N.; Nisbet, Roger M.","Buenau, Kate E.","Buenau, Kate E. (University of California, Santa Barbara); Price, Nichole N. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara)",5,1,,0.71,,https://app.dimensions.ai/details/publication/pub.1046111825,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
48,100,pub.1006902100,10.1890/11-0792.1a,,,Niche and fitness differences relate the maintenance of diversity to ecosystem function: reply,Ecology,,,2012-06,2012,93,6,1487-1491,Closed,Article,"Carroll, Ian T.; Cardinale, Bradley J.; Nisbet, Roger M.",,"Carroll, Ian T. (University of California, Santa Barbara); Cardinale, Bradley J. (University of Michigan); Nisbet, Roger M. (University of California, Santa Barbara)",2,0,,0.32,,https://app.dimensions.ai/details/publication/pub.1006902100,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
49,200,pub.1010203016,10.1242/jeb.071845,,,Integrating dynamic energy budget (DEB) theory with traditional bioenergetic models,Journal of Experimental Biology,,,2012-04-01,2012,215,7,1246-1246,All OA; Gold,Article,"Nisbet, R. M.; Jusup, M.; Klanjscek, T.; Pecquerie, L.",,"Nisbet, R. M. (); Jusup, M. (); Klanjscek, T. (); Pecquerie, L. ()",2,0,,,http://jeb.biologists.org/content/215/7/1246.full.pdf,https://app.dimensions.ai/details/publication/pub.1010203016,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
50,400,pub.1015624925,10.1242/jeb.059675,22357583,,Integrating dynamic energy budget (DEB) theory with traditional bioenergetic models,Journal of Experimental Biology,,"Animals; Energy Metabolism; Models, Biological; Pacific Ocean; Salmon; Tuna",2012-03-15,2012,215,6,892-902,All OA; Gold,Article,"Nisbet, Roger M.; Jusup, Marko; Klanjscek, Tin; Pecquerie, Laure",,"Nisbet, Roger M. (University of California, Santa Barbara); Jusup, Marko (Rudjer Boskovic Institute; Yokohama National University); Klanjscek, Tin (University of California, Santa Barbara; Rudjer Boskovic Institute); Pecquerie, Laure (University of California, Santa Barbara)",70,20,2.1,8.39,http://jeb.biologists.org/content/215/6/892.full.pdf,https://app.dimensions.ai/details/publication/pub.1015624925,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
51,400,pub.1049195297,10.1111/j.1461-0248.2011.01727.x,22248081,,Directional biases and resource‐dependence in dispersal generate spatial patterning in a consumer–producer model,Ecology Letters,,"Biomass; Demography; Ecosystem; Environment; Models, Theoretical",2012-03,2012,15,3,209-217,Closed,Article,"Anderson, Kurt E.; Hilker, Frank M.; Nisbet, Roger M.",,"Anderson, Kurt E. (); Hilker, Frank M. (); Nisbet, Roger M. ()",12,2,0.47,1.44,,https://app.dimensions.ai/details/publication/pub.1049195297,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
52,400,pub.1036333664,10.1371/journal.pone.0026955,22328915,PMC3273461,Modeling Physiological Processes That Relate Toxicant Exposure and Bacterial Population Dynamics,PLoS ONE,,"Bacteria; Cadmium; Ecotoxicology; Models, Theoretical; Population Dynamics; Pseudomonas aeruginosa",2012-02-06,2012,7,2,e26955,All OA; Gold,Article,"Klanjscek, Tin; Nisbet, Roger M.; Priester, John H.; Holden, Patricia A.",,"Klanjscek, Tin (University of California, Santa Barbara; Rudjer Boskovic Institute); Nisbet, Roger M. (University of California, Santa Barbara); Priester, John H. (University of California, Santa Barbara); Holden, Patricia A. (University of California, Santa Barbara)",21,7,0.81,2.48,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0026955&type=printable,https://app.dimensions.ai/details/publication/pub.1036333664,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
53,100,pub.1021718092,10.1016/j.seares.2011.04.004,,,Entrainment of cell division in phytoplankton with dynamic energy budgets,Journal of Sea Research,,,2011-11,2011,66,4,447-455,Closed,Article,"Muller, Erik B.; Ananthasubramaniam, Bharath; Klanjšček, Tin; Nisbet, Roger M.","Muller, Erik B.","Muller, Erik B. (University of California, Santa Barbara); Ananthasubramaniam, Bharath (University of California, Santa Barbara); Klanjšček, Tin (University of California, Santa Barbara; Rudjer Boskovic Institute); Nisbet, Roger M. (University of California, Santa Barbara)",7,2,,0.76,,https://app.dimensions.ai/details/publication/pub.1021718092,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
54,100,pub.1009859714,10.1016/j.seares.2011.07.005,,,Analyzing variations in life-history traits of Pacific salmon in the context of Dynamic Energy Budget (DEB) theory,Journal of Sea Research,,,2011-11,2011,66,4,424-433,Closed,Article,"Pecquerie, Laure; Johnson, Leah R.; Kooijman, Sebastiaan A.L.M.; Nisbet, Roger M.","Pecquerie, Laure","Pecquerie, Laure (University of California, Santa Barbara); Johnson, Leah R. (University of California, Santa Barbara); Kooijman, Sebastiaan A.L.M. (VU University Amsterdam); Nisbet, Roger M. (University of California, Santa Barbara)",22,7,,2.38,,https://app.dimensions.ai/details/publication/pub.1009859714,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
55,400,pub.1044393847,10.1007/s00442-011-2004-2,21553265,,Benchmarks in organism performance and their use in comparative analyses,Oecologia,,"Animals; Anthozoa; Coral Reefs; Energy Metabolism; Environment; Models, Biological; Species Specificity; Stress, Physiological",2011-10,2011,167,2,379-390,Closed,Article,"Edmunds, Peter J.; Putnam, Hollie M.; Nisbet, Roger M.; Muller, Erik B.","Edmunds, Peter J.","Edmunds, Peter J. (California State University, Northridge); Putnam, Hollie M. (University of Hawaii at Manoa); Nisbet, Roger M. (University of California, Santa Barbara); Muller, Erik B. (University of California, Santa Barbara)",17,1,0.23,1.79,,https://app.dimensions.ai/details/publication/pub.1044393847,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
56,100,pub.1037659020,10.1111/j.1600-0706.2010.18972.x,,,Local interactions drive size dependent space competition between coral and crustose coralline algae,Oikos,,,2011-06,2011,120,6,941-949,Closed,Article,"Buenau, Kate E.; Price, Nichole N.; Nisbet, Roger M.",,"Buenau, Kate E. (University of California, Santa Barbara); Price, Nichole N. (University of California, Santa Barbara); Nisbet, Roger M. (University of California, Santa Barbara)",4,1,,0.42,,https://app.dimensions.ai/details/publication/pub.1037659020,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
