,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Christopher J Costello. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
28,500,pub.1091120473,10.1073/pnas.1705169114,28794280,PMC5576807,Marine reserves solve an important bycatch problem in fisheries,Proceedings of the National Academy of Sciences,,,2017-08-22,2017,114,34,8927-8934,All OA; Gold,Article,"Hastings, Alan; Gaines, Steven D.; Costello, Christopher",,"Hastings, Alan (University of California, Davis); Gaines, Steven D. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",10,7,0.89,4.27,https://www.pnas.org/content/pnas/114/34/8927.full.pdf,https://app.dimensions.ai/details/publication/pub.1091120473,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
29,500,pub.1090277284,10.1111/ele.12790,28656624,,To what extent can ecosystem services motivate protecting biodiversity?,Ecology Letters,,Biodiversity; Conservation of Natural Resources; Ecosystem; Uncertainty,2017-08,2017,20,8,935-946,All OA; Gold,Article,"Dee, Laura E.; De Lara, Michel; Costello, Christopher; Gaines, Steven D.",,"Dee, Laura E. (University of California, Santa Barbara; University of Minnesota); De Lara, Michel (École des Ponts ParisTech); Costello, Christopher (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara)",12,12,0.97,5,https://doi.org/10.1111/ele.12790,https://app.dimensions.ai/details/publication/pub.1090277284,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
30,100,pub.1015346387,10.1111/conl.12303,,,Unexpected Management Choices When Accounting for Uncertainty in Ecosystem Service Tradeoff Analyses,Conservation Letters,,,2017-07,2017,10,4,422-430,All OA; Gold,Article,"Cabral, Reniel B.; Halpern, Benjamin S.; Costello, Christopher; Gaines, Steven D.",,"Cabral, Reniel B. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara)",8,8,,3.57,https://doi.org/10.1111/conl.12303,https://app.dimensions.ai/details/publication/pub.1015346387,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
31,100,pub.1083893355,10.1016/j.euroecorev.2017.02.005,,,Private eradication of mobile public bads,European Economic Review,,,2017-05,2017,94,Q. J. Econ. 131 2 2016,23-44,"All OA; Green, Accepted & Submitted",Article,"Costello, Christopher; Quérou, Nicolas; Tomini, Agnes","Costello, Christopher","Costello, Christopher (University of California, Santa Barbara; National Bureau of Economic Research); Quérou, Nicolas (); Tomini, Agnes (Aix-Marseille University)",2,1,,2.13,http://www.lameta.univ-montp1.fr/Documents/DR2016-05.pdf,https://app.dimensions.ai/details/publication/pub.1083893355,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
32,500,pub.1084152712,10.1073/pnas.1607551114,28351981,PMC5393227,Range contraction enables harvesting to extinction,Proceedings of the National Academy of Sciences,,"Animals; Costs and Cost Analysis; Ecosystem; Extinction, Biological; Fisheries; Models, Biological; Population Density",2017-04-11,2017,114,15,3945-3950,All OA; Gold,Article,"Burgess, Matthew G.; Costello, Christopher; Fredston-Hermann, Alexa; Pinsky, Malin L.; Gaines, Steven D.; Tilman, David; Polasky, Stephen",,"Burgess, Matthew G. (University of California, Santa Barbara; University of Minnesota); Costello, Christopher (University of California, Santa Barbara); Fredston-Hermann, Alexa (University of California, Santa Barbara); Pinsky, Malin L. (Rutgers, The State University of New Jersey); Gaines, Steven D. (University of California, Santa Barbara); Tilman, David (University of California, Santa Barbara; University of Minnesota); Polasky, Stephen (University of Minnesota)",22,18,2.14,9.16,https://www.pnas.org/content/pnas/114/15/3945.full.pdf,https://app.dimensions.ai/details/publication/pub.1084152712,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
33,100,pub.1037860687,10.1111/faf.12179,,,Describing ecosystem contexts with single‐species models: a theoretical synthesis for fisheries,Fish and Fisheries,,,2017-03,2017,18,2,264-284,Closed,Article,"Burgess, Matthew G; Giacomini, Henrique C; Szuwalski, Cody S; Costello, Christopher; Gaines, Steven D",,"Burgess, Matthew G (University of California, Santa Barbara); Giacomini, Henrique C (University of Toronto); Szuwalski, Cody S (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Gaines, Steven D (University of California, Santa Barbara)",5,4,,1.95,,https://app.dimensions.ai/details/publication/pub.1037860687,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
34,200,pub.1083524172,10.1073/pnas.1620731114,28154135,PMC5320986,Fish harder; catch more?,Proceedings of the National Academy of Sciences,,Animals; Fisheries; Fishes; Humans,2017-02-14,2017,114,7,1442-1444,All OA; Gold,Article,"Costello, Christopher",,"Costello, Christopher (University of California, Santa Barbara)",5,5,0.13,,http://www.pnas.org/content/114/7/1442.full.pdf,https://app.dimensions.ai/details/publication/pub.1083524172,,,,,,
35,100,pub.1021891174,10.1111/nrm.12103,,,PRIVATE CONSERVATION IN TURF‐MANAGED FISHERIES,Natural Resource Modeling,,,2017-02,2017,30,1,30-51,Closed,Article,"COSTELLO, CHRISTOPHER; KAFFINE, DANIEL",,"COSTELLO, CHRISTOPHER (University of California, Santa Barbara); KAFFINE, DANIEL (University of Colorado Boulder)",1,1,,0.66,,https://app.dimensions.ai/details/publication/pub.1021891174,1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management; 14 Economics,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management,14 Economics,
36,500,pub.1017655105,10.1073/pnas.1612722114,28028218,PMC5278447,High fishery catches through trophic cascades in China,Proceedings of the National Academy of Sciences,,"Animals; Biodiversity; Biomass; China; Conservation of Natural Resources; Ecosystem; Fisheries; Fishes; Food Chain; Models, Biological; Predatory Behavior",2017-01-24,2017,114,4,717-721,All OA; Gold,Article,"Szuwalski, Cody S.; Burgess, Matthew G.; Costello, Christopher; Gaines, Steven D.",,"Szuwalski, Cody S. (University of California, Santa Barbara); Burgess, Matthew G. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara)",37,28,1.14,15.79,https://www.pnas.org/content/pnas/114/4/717.full.pdf,https://app.dimensions.ai/details/publication/pub.1017655105,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
37,100,pub.1074246558,10.5343/bms.2016.1081,,,Opportunities and precautions for integrating cooperation and individual transferable quotas with territorial use rights in fisheries,Bulletin of Marine Science,,,2017-01-01,2017,93,1,101-115,Closed,Article,"Ovando, Daniel; Poon, Sarah; Costello, Christopher",,"Ovando, Daniel (University of California, Santa Barbara); Poon, Sarah (); Costello, Christopher (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1074246558,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
38,100,pub.1072778623,10.5343/bms.2015.1095,,,A decision support tool for designing TURF-reserves,Bulletin of Marine Science,,,2017-01-01,2017,93,1,155-172,Closed,Article,"Oyanedel, Rodrigo; Macy Humberstone, Jennifer; Shattenkirk, Keith; Rodriguez Van-Dyck, Salvador; Joye Moyer, Kaia; Poon, Sarah; McDonald, Gavin; Ravelo-Salazar, Cherry; Mancao, Roquelito; Clemence, Michaela; Costello, Christopher",,"Oyanedel, Rodrigo (University of California, Santa Barbara); Macy Humberstone, Jennifer (University of California, Santa Barbara); Shattenkirk, Keith (University of California, Santa Barbara); Rodriguez Van-Dyck, Salvador (University of California, Santa Barbara); Joye Moyer, Kaia (University of California, Santa Barbara); Poon, Sarah (); McDonald, Gavin (University of California, Santa Barbara); Ravelo-Salazar, Cherry (); Mancao, Roquelito (); Clemence, Michaela (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",3,3,,1.34,,https://app.dimensions.ai/details/publication/pub.1072778623,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
39,100,pub.1031997409,10.1016/j.jebo.2016.05.021,,,Pollution control under a possible future shift in environmental preferences,Journal of Economic Behavior & Organization,,,2016-12,2016,132,,193-205,Closed,Article,"Nkuiya, Bruno; Costello, Christopher","Nkuiya, Bruno","Nkuiya, Bruno (University of Alberta); Costello, Christopher (University of California, Santa Barbara)",5,3,,4.09,,https://app.dimensions.ai/details/publication/pub.1031997409,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
40,100,pub.1029416235,10.1016/j.marpol.2016.07.032,,,Fish banks: An economic model to scale marine conservation,Marine Policy,,,2016-11,2016,73,Mar. Ecol. Prog. Ser. 384 2009,154-161,All OA; Gold,Article,"Sala, Enric; Costello, Christopher; De Bourbon Parme, Jaime; Fiorese, Marco; Heal, Geoff; Kelleher, Kieran; Moffitt, Russell; Morgan, Lance; Plunkett, Jayne; Rechberger, Kristin D.; Rosenberg, Andrew A.; Sumaila, Rashid","Sala, Enric","Sala, Enric (National Geographic Society); Costello, Christopher (University of California, Santa Barbara); De Bourbon Parme, Jaime (); Fiorese, Marco (); Heal, Geoff (Columbia University); Kelleher, Kieran (World Bank); Moffitt, Russell (Marine Conservation Institute); Morgan, Lance (Marine Conservation Institute); Plunkett, Jayne (Swiss Re (Switzerland)); Rechberger, Kristin D. (); Rosenberg, Andrew A. (); Sumaila, Rashid (University of British Columbia)",11,7,,3.6,https://doi.org/10.1016/j.marpol.2016.07.032,https://app.dimensions.ai/details/publication/pub.1029416235,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
41,400,pub.1026509098,10.1073/pnas.1520420113,27035953,PMC4983844,Global fishery prospects under contrasting management regimes,Proceedings of the National Academy of Sciences,,Animals; Biomass; Conservation of Natural Resources; Fisheries; Fishes; Food Supply; Humans,2016-05-03,2016,113,18,5125-5129,All OA; Gold,Article,"Costello, Christopher; Ovando, Daniel; Clavelle, Tyler; Strauss, C. Kent; Hilborn, Ray; Melnychuk, Michael C.; Branch, Trevor A.; Gaines, Steven D.; Szuwalski, Cody S.; Cabral, Reniel B.; Rader, Douglas N.; Leland, Amanda",,"Costello, Christopher (University of California, Santa Barbara); Ovando, Daniel (University of California, Santa Barbara); Clavelle, Tyler (University of California, Santa Barbara); Strauss, C. Kent (Environmental Defense Fund); Hilborn, Ray (University of Washington); Melnychuk, Michael C. (University of Washington); Branch, Trevor A. (University of Washington); Gaines, Steven D. (University of California, Santa Barbara); Szuwalski, Cody S. (University of California, Santa Barbara); Cabral, Reniel B. (University of California, Santa Barbara); Rader, Douglas N. (Environmental Defense Fund); Leland, Amanda (Environmental Defense Fund)",182,124,5.47,52.95,http://www.pnas.org/content/113/18/5125.full.pdf,https://app.dimensions.ai/details/publication/pub.1026509098,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
42,100,pub.1039563122,10.1016/j.marpol.2016.02.003,,,Designing and financing optimal enforcement for small-scale fisheries and dive tourism industries,Marine Policy,,,2016-05,2016,67,,105-117,Closed,Article,"McDonald, Gavin; Mangin, Tracey; Thomas, Lennon R.; Costello, Christopher","McDonald, Gavin","McDonald, Gavin (University of California, Santa Barbara); Mangin, Tracey (University of California, Santa Barbara); Thomas, Lennon R. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",8,6,,6.29,,https://app.dimensions.ai/details/publication/pub.1039563122,1801 Law; 1606 Political Science; 16 Studies in Human Society; 18 Law and Legal Studies; 05 Environmental Sciences; 0502 Environmental Science and Management,1801 Law,1606 Political Science,16 Studies in Human Society,18 Law and Legal Studies,05 Environmental Sciences
43,100,pub.1058865502,10.1086/684132,,,Distributional Effects of the Transition to Property Rights for a Common-Pool Resource,Marine Resource Economics,,,2016-01,2016,31,1,1-26,Closed,Article,"Grainger, Corbett A.; Costello, Christopher",,"Grainger, Corbett A. (); Costello, Christopher ()",18,11,,14.72,,https://app.dimensions.ai/details/publication/pub.1058865502,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
44,200,pub.1073068425,10.5670/oceanog.2015.51,,,"Solutions for Recovering and Sustaining the Bounty of the Ocean: Combining Fishery Reforms, Rights-Based Fisheries Management, and Marine Reserves",Oceanography,,,2015-06-01,2015,25,2,252-263,All OA; Gold,Article,"University, Oregon State; Barner, Allison; Lubchenco, Jane; Costello, Christopher; Gaines, Steven; Leland, Amanda; Jenks, Brett; Murawski, Steven; Schwaab, Eric; Spring, Margaret",,"University, Oregon State (); Barner, Allison (); Lubchenco, Jane (); Costello, Christopher (); Gaines, Steven (); Leland, Amanda (); Jenks, Brett (); Murawski, Steven (); Schwaab, Eric (); Spring, Margaret ()",26,14,,4.12,https://tos.org/oceanography/assets/docs/28-2_barner.pdf,https://app.dimensions.ai/details/publication/pub.1073068425,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
45,100,pub.1047934569,10.1016/j.jpubeco.2014.11.011,,,Partial enclosure of the commons,Journal of Public Economics,,,2015-01,2015,121,J. Econ. Theory 111 2003,69-78,"All OA; Green, Accepted & Submitted",Article,"Costello, Christopher; Quérou, Nicolas; Tomini, Agnes","Costello, Christopher","Costello, Christopher (National Bureau of Economic Research); Quérou, Nicolas (French National Centre for Scientific Research); Tomini, Agnes (Aix-Marseille University)",8,5,,5.77,http://www.lameta.univ-montp1.fr/Documents/DR2013-07.pdf,https://app.dimensions.ai/details/publication/pub.1047934569,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
46,100,pub.1020772921,10.1007/s10640-013-9713-4,,,Repeated Experimentation to Learn About a Flow-Pollutant Threshold,Environmental and Resource Economics,,,2014-08,2014,58,4,627-647,Closed,Article,"Groeneveld, Rolf Adriaan; Springborn, Michael; Costello, Christopher","Groeneveld, Rolf Adriaan","Groeneveld, Rolf Adriaan (Wageningen University & Research); Springborn, Michael (University of California, Davis); Costello, Christopher (University of California, Santa Barbara; National Bureau of Economic Research)",4,1,,2.48,,https://app.dimensions.ai/details/publication/pub.1020772921,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
47,100,pub.1038294460,10.1007/s10818-013-9158-4,,,Removing biases in forecasts of fishery status,Journal of Bioeconomics,,,2014-07,2014,16,2,213-219,Closed,Article,"Costello, Christopher; Deschênes, Olivier; Larsen, Ashley; Gaines, Steven","Costello, Christopher","Costello, Christopher (Laboratoire Montpelliérain d’Economie Théorique et Appliquée; University of California, Santa Barbara); Deschênes, Olivier (University of California, Berkeley); Larsen, Ashley (University of California, Santa Barbara); Gaines, Steven (University of California, Santa Barbara)",5,2,,2.31,,https://app.dimensions.ai/details/publication/pub.1038294460,1499 Other Economics; 1402 Applied Economics; 14 Economics,1499 Other Economics,1402 Applied Economics,14 Economics,,
48,400,pub.1053261357,10.1098/rspb.2013.2252,24573841,PMC3953828,Integrating scientific guidance into marine spatial planning,Proceedings of The Royal Society B Biological Sciences,,"Animal Distribution; Animals; Community Participation; Conservation of Natural Resources; Ecosystem; Fisheries; Fishes; Government Regulation; Models, Biological; Pacific Ocean; Population Dynamics; Sea Urchins",2014-04-22,2014,281,1781,20132252,"All OA; Green, Published",Article,"Rassweiler, Andrew; Costello, Christopher; Hilborn, Ray; Siegel, David A.",,"Rassweiler, Andrew (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Hilborn, Ray (University of Washington); Siegel, David A. (University of California, Santa Barbara)",36,16,0.65,,http://europepmc.org/articles/pmc3953828?pdf=render,https://app.dimensions.ai/details/publication/pub.1053261357,11 Medical and Health Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,11 Medical and Health Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
49,400,pub.1000849095,10.1371/journal.pbio.1001826,24667759,PMC3965379,Close the High Seas to Fishing?,PLoS Biology,,"Animals; Conservation of Natural Resources; Fisheries; Fishes; Models, Theoretical; Oceans and Seas",2014-03-25,2014,12,3,e1001826,All OA; Gold,Article,"White, Crow; Costello, Christopher",,"White, Crow (California Polytechnic State University); Costello, Christopher (University of California, Santa Barbara)",53,22,0.72,9.9,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1001826&type=printable,https://app.dimensions.ai/details/publication/pub.1000849095,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
50,100,pub.1025693900,10.1016/j.jeem.2013.12.005,,,Capitalizing property rights insecurity in natural resource assets,Journal of Environmental Economics and Management,,,2014-03,2014,67,2,224-240,"All OA; Green, Accepted & Submitted",Article,"Grainger, Corbett A.; Costello, Christopher J.","Grainger, Corbett A.","Grainger, Corbett A. (University of Wisconsin–Madison); Costello, Christopher J. (University of California, Santa Barbara; National Bureau of Economic Research)",12,7,,7.43,http://www2.toulouse.inra.fr/lerna/seminaires/Property_Rights_COSTELLO.pdf,https://app.dimensions.ai/details/publication/pub.1025693900,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
51,400,pub.1030965158,10.1890/12-1919.1,24640529,,Conservation markets for wildlife management with case studies from whaling,Ecological Applications,,Animals; Commerce; Conservation of Natural Resources; Population Dynamics; Public Sector; Whales,2014-01,2014,24,1,4-14,All OA; Gold,Article,"Gerber, Leah R.; Costello, Christopher; Gaines, Steven D",,"Gerber, Leah R. (); Costello, Christopher (University of California, Santa Barbara); Gaines, Steven D (University of California, Santa Barbara)",7,2,0.08,1.29,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/12-1919.1,https://app.dimensions.ai/details/publication/pub.1030965158,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
52,200,pub.1017422547,10.1890/13-1541.1,24640531,,"Facilitate, don't forbid, trade between conservationists and resource harvesters",Ecological Applications,,Animals; Conservation of Natural Resources; Whales,2014-01,2014,24,1,23-24,Closed,Article,"Gerber, Leah R.; Costello, Christopher; Gaines, Steven D.",,"Gerber, Leah R. (); Costello, Christopher (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara)",1,1,0,,,https://app.dimensions.ai/details/publication/pub.1017422547,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
53,300,pub.1034537036,10.1371/journal.pbio.1001730,24339746,PMC3858214,Encourage Sustainability by Giving Credit for Marine Protected Areas in Seafood Certification,PLoS Biology,,"Animals; Conservation of Natural Resources; Fisheries; Fishes; Models, Economic; Oceans and Seas; Seafood",2013-12-10,2013,11,12,e1001730,All OA; Gold,Article,"Lester, Sarah E.; Costello, Christopher; Rassweiler, Andrew; Gaines, Steven D.; Deacon, Robert",,"Lester, Sarah E. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Rassweiler, Andrew (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Deacon, Robert (University of California, Santa Barbara)",8,2,0.07,1.41,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1001730&type=printable,https://app.dimensions.ai/details/publication/pub.1034537036,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
54,200,pub.1018555539,10.1073/pnas.1315109110,24065819,PMC3791706,Forecasting fisheries collapse,Proceedings of the National Academy of Sciences,,"Animals; Conservation of Natural Resources; Endangered Species; Extinction, Biological; Fisheries; Fishes; Models, Biological",2013-10-01,2013,110,40,15859-15860,All OA; Gold,Article,"Gaines, Steven D.; Costello, Christopher",,"Gaines, Steven D. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",4,2,0.1,,http://www.pnas.org/content/110/40/15859.full.pdf,https://app.dimensions.ai/details/publication/pub.1018555539,,,,,,
55,100,pub.1038390468,10.1016/j.jeem.2012.12.003,,,The value of adaption: Climate change and timberland management,Journal of Environmental Economics and Management,,,2013-05,2013,65,3,452-468,Closed,Article,"Guo, Christopher; Costello, Christopher","Costello, Christopher","Guo, Christopher (RAND Corporation); Costello, Christopher (University of California, Santa Barbara; National Bureau of Economic Research)",18,7,,6.4,,https://app.dimensions.ai/details/publication/pub.1038390468,14 Economics; 1401 Economic Theory; 1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management,14 Economics,1401 Economic Theory,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management
56,400,pub.1027620210,10.1371/journal.pone.0058799,23573192,PMC3616030,A General Business Model for Marine Reserves,PLoS ONE,,"Algorithms; Animals; Biodiversity; Computer Simulation; Conservation of Natural Resources; Environmental Policy; Fisheries; Holidays; Humans; Models, Biological; Models, Econometric",2013-04-03,2013,8,4,e58799,All OA; Gold,Article,"Sala, Enric; Costello, Christopher; Dougherty, Dawn; Heal, Geoffrey; Kelleher, Kieran; Murray, Jason H.; Rosenberg, Andrew A.; Sumaila, Rashid",,"Sala, Enric (National Geographic Society; Centro de Estudios Avanzados de Blane); Costello, Christopher (University of California, Santa Barbara); Dougherty, Dawn (University of California, Santa Barbara); Heal, Geoffrey (Columbia University); Kelleher, Kieran (World Bank); Murray, Jason H. (University of South Carolina); Rosenberg, Andrew A. (); Sumaila, Rashid (University of British Columbia)",53,19,0.38,14.61,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0058799&type=printable,https://app.dimensions.ai/details/publication/pub.1027620210,06 Biological Sciences; 1402 Applied Economics; 0602 Ecology; 14 Economics,06 Biological Sciences,1402 Applied Economics,0602 Ecology,14 Economics,
57,100,pub.1052064712,10.1016/j.ocecoaman.2012.06.006,,,A comparison of approaches used for economic analysis in marine protected area network planning in California,Ocean & Coastal Management,,,2013-03,2013,74,Hum. Organ. 65 2006,77-89,Closed,Article,"White, J. Wilson; Scholz, Astrid J.; Rassweiler, Andrew; Steinback, Charles; Botsford, Louis W.; Kruse, Sarah; Costello, Christopher; Mitarai, Satoshi; Siegel, David A.; Drake, Patrick T.; Edwards, Christopher A.","White, J. Wilson","White, J. Wilson (University of California, Davis; University of North Carolina Wilmington); Scholz, Astrid J. (Ecotrust); Rassweiler, Andrew (University of California, Santa Barbara); Steinback, Charles (Ecotrust); Botsford, Louis W. (University of California, Davis); Kruse, Sarah (Ecotrust); Costello, Christopher (University of California, Santa Barbara); Mitarai, Satoshi (Okinawa Institute of Science and Technology); Siegel, David A. (University of California, Santa Barbara); Drake, Patrick T. (University of California, Santa Cruz); Edwards, Christopher A. (University of California, Santa Cruz)",37,4,,6.92,,https://app.dimensions.ai/details/publication/pub.1052064712,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
58,100,pub.1019137348,10.1016/j.marpol.2012.05.022,,,Evaluating tradeoffs among ecosystem services to inform marine spatial planning,Marine Policy,,,2013-03,2013,38,,80-89,"All OA; Green, Accepted & Submitted",Article,"Lester, Sarah E.; Costello, Christopher; Halpern, Benjamin S.; Gaines, Steven D.; White, Crow; Barth, John A.","Lester, Sarah E.","Lester, Sarah E. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); White, Crow (University of California, Santa Barbara); Barth, John A. (Oregon State University)",142,54,,26.56,https://digitalcommons.calpoly.edu/cgi/viewcontent.cgi?article=1436&context=bio_fac,https://app.dimensions.ai/details/publication/pub.1019137348,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
59,100,pub.1051314936,10.1016/j.marpol.2012.03.012,,,Conservation incentives and collective choices in cooperative fisheries,Marine Policy,,,2013-01,2013,37,Science 314 2006,132-140,Closed,Article,"Ovando, Daniel A.; Deacon, Robert T.; Lester, Sarah E.; Costello, Christopher; Van Leuvan, Tonya; McIlwain, Karlynn; Strauss, C. Kent; Arbuckle, Michael; Fujita, Rod; Gelcich, Stefan; Uchida, Hirotsugu","Ovando, Daniel A.","Ovando, Daniel A. (University of California, Santa Barbara); Deacon, Robert T. (University of California, Berkeley); Lester, Sarah E. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Van Leuvan, Tonya (); McIlwain, Karlynn (); Strauss, C. Kent (); Arbuckle, Michael (World Bank); Fujita, Rod (Environmental Defense Fund); Gelcich, Stefan (); Uchida, Hirotsugu (University of Rhode Island)",42,14,,7.86,,https://app.dimensions.ai/details/publication/pub.1051314936,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
60,400,pub.1062466766,10.1126/science.1223389,23019613,,Status and Solutions for the World’s Unassessed Fisheries,Science,,Animals; Conservation of Natural Resources; Fisheries; Multivariate Analysis; Seafood,2012-10-26,2012,338,6106,517-520,Closed,Article,"Costello, Christopher; Ovando, Daniel; Hilborn, Ray; Gaines, Steven D.; Deschenes, Olivier; Lester, Sarah E.",,"Costello, Christopher (University of California, Santa Barbara); Ovando, Daniel (University of California, Santa Barbara); Hilborn, Ray (University of Washington); Gaines, Steven D. (University of California, Santa Barbara); Deschenes, Olivier (University of California, Berkeley); Lester, Sarah E. (University of California, Santa Barbara)",320,101,2.94,46.36,,https://app.dimensions.ai/details/publication/pub.1062466766,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
