,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Richard Lee Church. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
43,200,pub.1049768706,10.1177/0160017611403142,,,Introduction to the ISOLDE X Special Issue,International Regional Science Review,,,2011-07,2011,34,3,283-284,Closed,Article,"Murray, Alan T.; Church, Richard L.",,"Murray, Alan T. (Arizona State University); Church, Richard L. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1049768706,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1499 Other Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1499 Other Economics
44,100,pub.1024077978,10.1177/0160017610386483,,,Constructs for Multilevel Closest Assignment in Location Modeling,International Regional Science Review,,,2011-07,2011,34,3,339-367,Closed,Article,"Lei, Ting L.; Church, Richard L.",,"Lei, Ting L. (University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara)",19,0,,9.15,,https://app.dimensions.ai/details/publication/pub.1024077978,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
45,100,pub.1000399386,10.1016/j.ejor.2010.08.030,,,Designing robust coverage networks to hedge against worst-case facility losses,European Journal of Operational Research,,,2011-02,2011,209,1,23-36,Closed,Article,"O’Hanley, Jesse R.; Church, Richard L.","O’Hanley, Jesse R.","O’Hanley, Jesse R. (University of Kent); Church, Richard L. (University of California, Santa Barbara)",66,17,,18.86,,https://app.dimensions.ai/details/publication/pub.1000399386,0103 Numerical and Computational Mathematics; 01 Mathematical Sciences,0103 Numerical and Computational Mathematics,01 Mathematical Sciences,,,
46,100,pub.1019443833,10.1111/j.1538-4632.2010.00810.x,,,The p‐Regions Problem. p‐区域问题,Geographical Analysis,,,2011-01,2011,43,1,104-126,Closed,Article,"Duque, Juan C.; Church, Richard L.; Middleton, Richard S.",,"Duque, Juan C. (EAFIT University); Church, Richard L. (University of California, Santa Barbara); Middleton, Richard S. (Los Alamos National Laboratory)",44,17,,9.07,,https://app.dimensions.ai/details/publication/pub.1019443833,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
47,200,pub.1057643719,10.1061/(asce)te.1943-5436.0000162,,,Optimum Location of Motorway Interchanges: Users’ Perspective,Journal of Transportation Engineering,,,2010-11,2010,136,11,956-963,Closed,Article,"Repolho, Hugo M.; Church, Richard L.; Antunes, António P.",,"Repolho, Hugo M. (); Church, Richard L. (); Antunes, António P. ()",6,1,,1.53,,https://app.dimensions.ai/details/publication/pub.1057643719,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
48,100,pub.1001561478,10.1016/j.endm.2010.05.075,,,On a bi-level formulation to protect uncapacitated p-median systems with facility recovery time and frequent disruptions,Electronic Notes in Discrete Mathematics,,,2010-08,2010,36,,591-598,Closed,Article,"Losada, Chaya; Scaparra, M. Paola; Church, Richard L.",,"Losada, Chaya (University of Kent); Scaparra, M. Paola (University of Kent); Church, Richard L. (University of California, Santa Barbara)",16,7,,6.45,,https://app.dimensions.ai/details/publication/pub.1001561478,08 Information and Computing Sciences; 01 Mathematical Sciences; 0101 Pure Mathematics; 0802 Computation Theory and Mathematics,08 Information and Computing Sciences,01 Mathematical Sciences,0101 Pure Mathematics,0802 Computation Theory and Mathematics,
49,100,pub.1003063316,10.1016/j.seps.2008.02.012,,,Improving accessibility to rural health services: The maximal covering network improvement problem,Socio-Economic Planning Sciences,,,2009-06,2009,43,2,102-110,Closed,Article,"Murawski, Lisa; Church, Richard L.","Church, Richard L.","Murawski, Lisa (); Church, Richard L. (University of California, Santa Barbara)",51,14,,12.27,,https://app.dimensions.ai/details/publication/pub.1003063316,0102 Applied Mathematics; 01 Mathematical Sciences; 12 Built Environment and Design; 1205 Urban and Regional Planning,0102 Applied Mathematics,01 Mathematical Sciences,12 Built Environment and Design,1205 Urban and Regional Planning,
50,200,pub.1017212520,10.1111/j.1538-4632.2009.00748.x,,,In Tribute to Dr. Charles S. ReVelle,Geographical Analysis,,,2009-01,2009,41,1,3-8,All OA; Gold,Article,"Church, Richard L.; Current, John R.; Daskin, Mark S.",,"Church, Richard L. (University of California, Santa Barbara); Current, John R. (The Ohio State University); Daskin, Mark S. ()",0,0,,0,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1538-4632.2009.00748.x,https://app.dimensions.ai/details/publication/pub.1017212520,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
51,100,pub.1011338176,10.1111/j.1468-2257.2008.00449.x,,,A Framework for Modeling Rail Transport Vulnerability,Growth and Change,,,2008-12,2008,39,4,617-641,Closed,Article,"PETERSON, STEVEN K.; CHURCH, RICHARD L.",,"PETERSON, STEVEN K. (Washington State University); CHURCH, RICHARD L. (University of California, Santa Barbara)",20,8,,5.47,,https://app.dimensions.ai/details/publication/pub.1011338176,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics
52,200,pub.1103196103,10.1002/9780470432761,,,"Business Site Selection, Location Analysis and GIS",,,,2008-09-23,2008,,,,Closed,Monograph,"Church, Richard L.; Murray, Alan T.",,"Church, Richard L. (); Murray, Alan T. ()",35,13,,,,https://app.dimensions.ai/details/publication/pub.1103196103,,,,,,
53,100,pub.1032653539,10.1016/j.ejor.2007.05.027,,,An exact solution approach for the interdiction median problem with fortification,European Journal of Operational Research,,,2008-08,2008,189,1,76-92,Closed,Article,"Scaparra, Maria P.; Church, Richard L.","Scaparra, Maria P.","Scaparra, Maria P. (University of Kent); Church, Richard L. (University of California, Santa Barbara)",81,19,,17.85,,https://app.dimensions.ai/details/publication/pub.1032653539,0103 Numerical and Computational Mathematics; 01 Mathematical Sciences,0103 Numerical and Computational Mathematics,01 Mathematical Sciences,,,
54,100,pub.1043524474,10.1016/j.cor.2006.09.019,,,A bilevel mixed-integer program for critical infrastructure protection planning,Computers & Operations Research,,,2008-06,2008,35,6,1905-1923,Closed,Article,"Scaparra, Maria P.; Church, Richard L.","Scaparra, Maria P.","Scaparra, Maria P. (University of Kent); Church, Richard L. (University of California, Santa Barbara)",214,61,,49.68,,https://app.dimensions.ai/details/publication/pub.1043524474,0102 Applied Mathematics; 0103 Numerical and Computational Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,0103 Numerical and Computational Mathematics,01 Mathematical Sciences,,
55,100,pub.1041968662,10.1080/13658810701587495,,,Spatial optimization as a generative technique for sustainable multiobjective land‐use allocation,International Journal of Geographical Information Science,,,2008-06,2008,22,6,601-622,Closed,Article,"Ligmann‐Zielinska, Arika; Church, Richard L.; Jankowski, Piotr",,"Ligmann‐Zielinska, Arika (San Diego State University; University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara); Jankowski, Piotr (San Diego State University)",111,31,,18.72,,https://app.dimensions.ai/details/publication/pub.1041968662,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
56,100,pub.1041803583,10.1016/j.cor.2006.03.004,,,Regional service coverage modeling,Computers & Operations Research,,,2008-02,2008,35,2,339-355,Closed,Article,"Murray, Alan T.; O’Kelly, Morton E.; Church, Richard L.","Murray, Alan T.","Murray, Alan T. (The Ohio State University); O’Kelly, Morton E. (The Ohio State University); Church, Richard L. (University of California, Santa Barbara)",54,12,,12.54,,https://app.dimensions.ai/details/publication/pub.1041803583,0102 Applied Mathematics; 0103 Numerical and Computational Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,0103 Numerical and Computational Mathematics,01 Mathematical Sciences,,
57,100,pub.1029915650,10.1016/j.cor.2006.03.006,,,BEAMR: An exact and approximate model for the p-median problem,Computers & Operations Research,,,2008-02,2008,35,2,417-426,Closed,Article,"Church, Richard L.","Church, Richard L.","Church, Richard L. (University of California, Santa Barbara)",26,6,,6.04,,https://app.dimensions.ai/details/publication/pub.1029915650,0102 Applied Mathematics; 0103 Numerical and Computational Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,0103 Numerical and Computational Mathematics,01 Mathematical Sciences,,
58,100,pub.1018580276,10.1007/s10109-007-0042-4,,,Optimal dispersion and central places,Journal of Geographical Systems,,,2007-06,2007,9,2,167-187,Closed,Article,"Curtin, Kevin M.; Church, Richard L.","Curtin, Kevin M.","Curtin, Kevin M. (The University of Texas at Dallas); Church, Richard L. (University of California, Santa Barbara)",9,0,,1.4,,https://app.dimensions.ai/details/publication/pub.1018580276,09 Engineering; 16 Studies in Human Society; 0406 Physical Geography and Environmental Geoscience; 0909 Geomatic Engineering; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0406 Physical Geography and Environmental Geoscience,0909 Geomatic Engineering,1604 Human Geography
59,100,pub.1038076006,10.1111/j.1538-4632.2007.00698.x,,,Protecting Critical Assets: The r‐Interdiction Median Problem with Fortification,Geographical Analysis,,,2007-04,2007,39,2,129-146,All OA; Gold,Article,"Church, Richard L.; Scaparra, Maria Paola",,"Church, Richard L. (University of California, Santa Barbara); Scaparra, Maria Paola (University of Kent)",147,32,,22.89,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1538-4632.2007.00698.x,https://app.dimensions.ai/details/publication/pub.1038076006,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
60,100,pub.1018894281,10.1016/j.biocon.2006.10.004,,,The importance of in situ site loss in nature reserve selection: Balancing notions of complementarity and robustness,Biological Conservation,,,2007-03,2007,135,2,170-180,Closed,Article,"O’Hanley, Jesse Rush; Church, Richard L.; Gilless, J. Keith","O’Hanley, Jesse Rush","O’Hanley, Jesse Rush (University of Kent); Church, Richard L. (University of California, Santa Barbara); Gilless, J. Keith (University of California, Berkeley)",11,2,,1.25,,https://app.dimensions.ai/details/publication/pub.1018894281,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
61,100,pub.1005801893,10.1016/j.biocon.2006.08.009,,,Locating and protecting critical reserve sites to minimize expected and worst-case losses,Biological Conservation,,,2007-01,2007,134,1,130-141,Closed,Article,"O’Hanley, Jesse Rush; Church, Richard L.; Gilless, J. Keith","O’Hanley, Jesse Rush","O’Hanley, Jesse Rush (University of Kent); Church, Richard L. (University of California, Santa Barbara); Gilless, J. Keith (University of California, Berkeley)",32,7,,3.64,,https://app.dimensions.ai/details/publication/pub.1005801893,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
62,100,pub.1085130853,10.1007/978-0-387-71815-6_17,,,Tactical-Level Forest Management Models,International Series In Operations Research amp; Mana,Handbook Of Operations Research In Natural Resources,,2007,2007,99,,343-363,Closed,Chapter,"Church, Richard L.",,"Church, Richard L. (University of California, Santa Barbara)",16,2,,4.7,,https://app.dimensions.ai/details/publication/pub.1085130853,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
63,100,pub.1009626915,10.1007/978-3-540-68056-7_11,,,Analysis of Facility Systems’ Reliability When Subject to Attack or a Natural Disaster,Advances in Spatial Science,Critical Infrastructure,,2007,2007,,,221-241,Closed,Chapter,"Church, Richard; Scaparra, M. Paola",,"Church, Richard (); Scaparra, M. Paola (University of Kent)",36,8,,10.58,,https://app.dimensions.ai/details/publication/pub.1009626915,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
64,200,pub.1088576095,10.1287/educ.1063.0025,,,Planning for Disruptions in Supply Chain Networks,,"Models, Methods, and Applications for Innovative Decision Making",,2006-09,2006,,,234-257,All OA; Gold,Chapter,"Snyder, Lawrence V.; Scaparra, Maria P.; Daskin, Mark S.; Church, Richard L.",,"Snyder, Lawrence V. (); Scaparra, Maria P. (); Daskin, Mark S. (); Church, Richard L. ()",149,34,,,https://pubsonline.informs.org/doi/pdf/10.1287/educ.1063.0025,https://app.dimensions.ai/details/publication/pub.1088576095,,,,,,
65,100,pub.1024394870,10.1111/j.1538-4632.2006.00685.x,,,A Family of Location Models for Multiple‐Type Discrete Dispersion,Geographical Analysis,,,2006-07,2006,38,3,248-270,All OA; Gold,Article,"Curtin, Kevin M.; Church, Richard L.",,"Curtin, Kevin M. (The University of Texas at Dallas); Church, Richard L. (University of California, Santa Barbara)",23,3,,3.68,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1538-4632.2006.00685.x,https://app.dimensions.ai/details/publication/pub.1024394870,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
66,100,pub.1024567481,10.1007/3-540-35589-8_54,,,Development Density-Based Optimization Modeling of Sustainable Land Use Patterns,,Progress in Spatial Data Handling,,2006,2006,,,881-896,Closed,Chapter,"Ligmann-Zielinska, Arika; Church, Richard; Jankowski, Piotr",,"Ligmann-Zielinska, Arika (University of California, Santa Barbara); Church, Richard (University of California, Santa Barbara); Jankowski, Piotr (San Diego State University)",4,0,,0.94,,https://app.dimensions.ai/details/publication/pub.1024567481,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
67,100,pub.1000286447,10.1007/s10666-005-9005-7,,,The SITES reserve selection system: A critical review,Environmental Modeling & Assessment,,,2005-09,2005,10,3,215-228,"All OA; Green, Accepted & Submitted",Article,"Fischer, Douglas T.; Church, Richard L.","Fischer, Douglas T.","Fischer, Douglas T. (University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara)",25,1,,4.85,https://escholarship.org/content/qt9hg8w8wz/qt9hg8w8wz.pdf?t=lnpy7g,https://app.dimensions.ai/details/publication/pub.1000286447,0103 Numerical and Computational Mathematics; 01 Mathematical Sciences,0103 Numerical and Computational Mathematics,01 Mathematical Sciences,,,
68,100,pub.1024610222,10.1007/s10732-005-7000-4,,,A GRASP and Path Relinking Heuristic for Rural Road Network Development,Journal of Heuristics,,,2005-01,2005,11,1,89-108,Closed,Article,"Scaparra, Maria P.; Church, Richard L.","Church, Richard L.","Scaparra, Maria P. (University of Kent); Church, Richard L. ()",22,1,,5.2,,https://app.dimensions.ai/details/publication/pub.1024610222,08 Information and Computing Sciences; 0802 Computation Theory and Mathematics; 0102 Applied Mathematics; 01 Mathematical Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0802 Computation Theory and Mathematics,0102 Applied Mathematics,01 Mathematical Sciences,0801 Artificial Intelligence and Image Processing
69,100,pub.1002519958,10.1111/j.1467-8306.2004.00410.x,,,Identifying Critical Infrastructure: The Median and Covering Facility Interdiction Problems,Annals of the American Association of Geographers,,,2004-09,2004,94,3,491-502,Closed,Article,"Church, Richard L.; Scaparra, Maria P.; Middleton, Richard S.",,"Church, Richard L. (University of California, Santa Barbara); Scaparra, Maria P. (University of California, Santa Barbara); Middleton, Richard S. (University of California, Santa Barbara)",217,43,,33.31,,https://app.dimensions.ai/details/publication/pub.1002519958,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
70,100,pub.1045663483,10.1111/j.1467-8306.2003.09304003.x,,,Constructing Cell‐Based Habitat Patches Useful in Conservation Planning,Annals of the American Association of Geographers,,,2003-12,2003,93,4,814-827,Closed,Article,"Church, Richard L.; Gerrard, Ross A.; Gilpin, Michael; Stine, Peter",,"Church, Richard L. (); Gerrard, Ross A. (); Gilpin, Michael (Montana State University); Stine, Peter ()",39,3,,6.04,,https://app.dimensions.ai/details/publication/pub.1045663483,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
71,100,pub.1016256605,10.1111/j.1538-4632.2003.tb01115.x,,,The Multi‐level Location Set Covering Model,Geographical Analysis,,,2003-10,2003,35,4,277-289,"All OA; Green, Accepted & Submitted",Article,"Church, Richard L.; Gerrard, Ross A.",,"Church, Richard L. (); Gerrard, Ross A. ()",16,3,,2.45,http://www.sam.gmu.edu/doc/rsai00.pdf,https://app.dimensions.ai/details/publication/pub.1016256605,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
72,100,pub.1000965683,10.1023/a:1026142406234,,,COBRA: A New Formulation of the Classic p-Median Location Problem,Annals of Operations Research,,,2003-09,2003,122,1-4,103-120,Closed,Article,"Church, Richard L.",,"Church, Richard L. (University of California, Santa Barbara)",39,4,,,,https://app.dimensions.ai/details/publication/pub.1000965683,"08 Information and Computing Sciences; 01 Mathematical Sciences; 15 Commerce, Management, Tourism and Services",08 Information and Computing Sciences,01 Mathematical Sciences,"15 Commerce, Management, Tourism and Services",,
73,100,pub.1044316946,10.1016/s0305-0548(99)00104-5,,,Geographical information systems and location science,Computers & Operations Research,,,2002-05,2002,29,6,541-562,Closed,Article,"Church, Richard L.",,"Church, Richard L. (University of California, Santa Barbara)",170,27,,35,,https://app.dimensions.ai/details/publication/pub.1044316946,0102 Applied Mathematics; 0103 Numerical and Computational Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,0103 Numerical and Computational Mathematics,01 Mathematical Sciences,,
74,100,pub.1030229813,10.1016/s0169-2046(00)00119-5,,,Habitat evaluation using GIS A case study applied to the San Joaquin Kit Fox,Landscape and Urban Planning,,,2001-01,2001,52,4,239-255,Closed,Article,"Gerrard, Ross; Stine, Peter; Church, Richard; Gilpin, Michael","Gerrard, Ross","Gerrard, Ross (University of California, Santa Barbara); Stine, Peter (California State University, Sacramento); Church, Richard (University of California, Santa Barbara); Gilpin, Michael (University of California, San Diego)",27,3,,3.56,,https://app.dimensions.ai/details/publication/pub.1030229813,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
75,100,pub.1004047085,10.1023/a:1018991116559,,,Forest management models and combinatorial algorithms: analysis of state of the art,Annals of Operations Research,,,2000-11,2000,96,1-4,271-285,Closed,Article,"Weintraub, Andres; Church, Richard L.; Murray, Alan T.; Guignard, Monique",,"Weintraub, Andres (University of Chile); Church, Richard L. (University of California, Santa Barbara); Murray, Alan T. (The Ohio State University); Guignard, Monique (University of Pennsylvania)",24,4,,,,https://app.dimensions.ai/details/publication/pub.1004047085,"08 Information and Computing Sciences; 01 Mathematical Sciences; 15 Commerce, Management, Tourism and Services",08 Information and Computing Sciences,01 Mathematical Sciences,"15 Commerce, Management, Tourism and Services",,
76,100,pub.1048836045,10.1111/j.1538-4632.2000.tb00430.x,,,Contiguity Constraints for Single‐Region Site Search Problems,Geographical Analysis,,,2000-10,2000,32,4,306-329,All OA; Gold,Article,"Cova, Thomas J.; Church, Richard L.",,"Cova, Thomas J. (University of Utah); Church, Richard L. (University of California, Santa Barbara)",77,8,,13.43,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1538-4632.2000.tb00430.x,https://app.dimensions.ai/details/publication/pub.1048836045,09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 1604 Human Geography; 04 Earth Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,1604 Human Geography
77,100,pub.1042421907,10.1016/s0198-9715(00)00015-6,,,Exploratory spatial optimization in site search: a neighborhood operator approach,Computers Environment and Urban Systems,,,2000-09,2000,24,5,401-419,Closed,Article,"Cova, T.J.; Church, R.L.","Cova, T.J.","Cova, T.J. (University of Utah); Church, R.L. (University of California, Santa Barbara)",31,4,,5.89,,https://app.dimensions.ai/details/publication/pub.1042421907,09 Engineering; 0909 Geomatic Engineering; 12 Built Environment and Design; 1205 Urban and Regional Planning,09 Engineering,0909 Geomatic Engineering,12 Built Environment and Design,1205 Urban and Regional Planning,
78,100,pub.1003940681,10.1016/s0038-0121(99)00019-1,,,The school boundary stability problem over time,Socio-Economic Planning Sciences,,,2000-09,2000,34,3,159-176,Closed,Article,"Lemberg, David S; Church, Richard L","Lemberg, David S","Lemberg, David S (Western Michigan University); Church, Richard L (University of California, Santa Barbara)",24,6,,5.24,,https://app.dimensions.ai/details/publication/pub.1003940681,0102 Applied Mathematics; 01 Mathematical Sciences; 12 Built Environment and Design; 1205 Urban and Regional Planning,0102 Applied Mathematics,01 Mathematical Sciences,12 Built Environment and Design,1205 Urban and Regional Planning,
79,100,pub.1043915187,10.1016/s0377-2217(99)00215-5,,,Support system development for forest ecosystem management,European Journal of Operational Research,,,2000-03,2000,121,2,247-258,Closed,Article,"Church, Richard L; Murray, Alan T; Figueroa, Michael A; Barber, Klaus H","Murray, Alan T","Church, Richard L (University of California, Santa Barbara); Murray, Alan T (The Ohio State University); Figueroa, Michael A (University of California, Santa Barbara); Barber, Klaus H ()",30,8,,7.65,,https://app.dimensions.ai/details/publication/pub.1043915187,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
80,100,pub.1007852171,10.1016/s0968-090x(00)00019-x,,,Mapping evacuation risk on transportation networks using a spatial optimization model,Transportation Research Part C Emerging Technologies,,,2000-02,2000,8,1-6,321-336,Closed,Article,"Church, Richard L.; Cova, Thomas J.","Church, Richard L.","Church, Richard L. (University of California, Santa Barbara); Cova, Thomas J. (University of Utah)",74,16,,,,https://app.dimensions.ai/details/publication/pub.1007852171,"08 Information and Computing Sciences; 09 Engineering; 15 Commerce, Management, Tourism and Services",08 Information and Computing Sciences,09 Engineering,"15 Commerce, Management, Tourism and Services",,
81,100,pub.1049936935,10.1023/a:1018922728855,,,Forest planning at the tactical level,Annals of Operations Research,,,2000-01,2000,95,1-4,3-18,Closed,Article,"Church, Richard L.; Murray, Alan T.; Barber, Klaus H.",,"Church, Richard L. (University of California, Santa Barbara); Murray, Alan T. (The Ohio State University); Barber, Klaus H. ()",8,2,,1.98,,https://app.dimensions.ai/details/publication/pub.1049936935,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
82,100,pub.1023252154,10.1007/s001680050101,,,Location expression standards for ITS: Testing the LRMS Cross Street Profile,The Annals of Regional Science,,,1999-05,1999,33,2,197-212,Closed,Article,"Noronha, Val; Goodchild, Michael; Church, Richard; Fohl, Pete",,"Noronha, Val (University of California, Santa Barbara); Goodchild, Michael (University of California, Santa Barbara); Church, Richard (University of California, Santa Barbara); Fohl, Pete ()",3,0,,,,https://app.dimensions.ai/details/publication/pub.1023252154,16 Studies in Human Society; 1604 Human Geography; 12 Built Environment and Design; 1205 Urban and Regional Planning,16 Studies in Human Society,1604 Human Geography,12 Built Environment and Design,1205 Urban and Regional Planning,
83,100,pub.1039389794,10.1016/s0966-8349(98)00051-5,,,Locational issues in forest management,Location Science,,,1998-05,1998,6,1-4,137-153,Closed,Article,"Church, Richard L.; Murray, Alan T.; Weintraub, Andres","Church, Richard L.","Church, Richard L. (University of California, Santa Barbara); Murray, Alan T. (University of Queensland); Weintraub, Andres (University of Chile)",29,3,,,,https://app.dimensions.ai/details/publication/pub.1039389794,0705 Forestry Sciences; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,07 Agricultural and Veterinary Sciences,,,
84,100,pub.1023677852,10.1111/j.1435-5597.1998.tb00706.x,,,IMPACT MODELS FOR SITING UNDESIRABLE FACILITIES,Papers in Regional Science,,,1998-01,1998,77,1,19-36,Closed,Article,"Murray, Alan T.; Church, Richard L.; Gerrard, Ross A.; Tsui, Wing‐Sing",,"Murray, Alan T. (); Church, Richard L. (University of California, Santa Barbara); Gerrard, Ross A. (University of California, Santa Barbara); Tsui, Wing‐Sing ()",26,4,,,,https://app.dimensions.ai/details/publication/pub.1023677852,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
85,100,pub.1048851811,10.1111/j.1467-9671.1997.tb00004.x,,,Selecting conservation reserves using species‐covering models: Adapting the ARC/INFO GIS,Transactions in GIS,,,1997-10,1997,2,1,45-60,Closed,Article,"GERRARD, ROSS A; CHURCH, RICHARD L; STOMS, DAVID M; DAVIS, FRANK W",,"GERRARD, ROSS A (University of California, Santa Barbara); CHURCH, RICHARD L (University of California, Santa Barbara); STOMS, DAVID M (University of California, Santa Barbara); DAVIS, FRANK W (University of California, Santa Barbara)",15,2,,,,https://app.dimensions.ai/details/publication/pub.1048851811,08 Information and Computing Sciences; 09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 1604 Human Geography; 0804 Data Format,08 Information and Computing Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,1604 Human Geography
86,100,pub.1031447264,10.1016/s0377-2217(96)00175-0,,,Facets for node packing,European Journal of Operational Research,,,1997-09,1997,101,3,598-608,Closed,Article,"Murray, Alan T.; Church, Richard L.",,"Murray, Alan T. (Queensland University of Technology); Church, Richard L. (Queensland University of Technology; University of California, Santa Barbara)",17,2,,,,https://app.dimensions.ai/details/publication/pub.1031447264,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
87,100,pub.1026890142,10.1016/s0305-0548(96)00048-2,,,Solving the anti-covering location problem using Lagrangian relaxation,Computers & Operations Research,,,1997-02,1997,24,2,127-140,Closed,Article,"Murray, Alan T.; Church, Richard L.","Murray, Alan T.","Murray, Alan T. (Queensland University of Technology); Church, Richard L. (University of California, Santa Barbara)",18,3,,,,https://app.dimensions.ai/details/publication/pub.1026890142,0103 Numerical and Computational Mathematics; 01 Mathematical Sciences,0103 Numerical and Computational Mathematics,01 Mathematical Sciences,,,
